Date,Symbol,Column1,Std deviation,Annual std dev,Roc
2026-09-17 15:29,RAINBOW,2150.7626,1.2614,22.2777,3.841
2026-09-17 15:29,SGMART,2141.7698,2.7356,1.7e+308,85.4335
2026-09-17 15:29,TVSMOTOR,2128.4373,1.7156,27.4178,16.2152
2026-09-17 15:29,RISHABH,2119.1333,3.3229,51.4871,88.0072
2026-09-17 15:29,EBGNG,2112.0016,3.657,53.2461,75.086
2026-09-17 15:29,SOTL,2106.11,4.1331,48.657,67.9786
2026-09-17 15:29,STAR,2085.6436,2.3444,38.5258,37.7956
2026-09-17 15:29,GRASIM,2085.0251,1.4086,22.8582,10.2575
2026-09-17 15:29,NELCO,2075.4113,3.2909,46.5016,6.0074
2026-09-17 15:29,NUVAMA,2067.6592,2.3912,36.6173,31.7047
2026-09-17 15:29,YUKEN,2058.6662,2.3539,37.7999,11.6846
2026-09-17 15:29,DEEPINDS,2057.7364,3.0713,46.6376,36.9559
2026-09-17 15:29,TDPOWERSYS,2049.3638,4.0465,54.48,160.9402
2026-09-17 15:29,GABRIEL,2044.4023,2.8495,49.4045,0.078
2026-09-17 15:29,DEEPAKFERT,2032.3088,2.206,41.1657,-9.1059
2026-09-17 15:29,STOVEKRAFT,2029.5185,2.3128,43.884,17.0939
2026-09-17 15:29,POLYMED,2005.021,2.6095,42.6883,-14.202
2026-09-17 15:29,AKUMS,1983.3155,2.1003,32.7931,60.9024
2026-09-17 15:29,EICHERMOT,1959.7488,1.4429,26.9018,7.4568
2026-09-17 15:29,GLAXO,1959.128,1.7009,25.4683,2.1451
2026-09-17 15:29,CNXMNC,1942.694,0.7909,14.4491,2.6038
2026-09-17 15:29,CARBORUNIV,1936.1819,2.2961,33.5485,13.0281
2026-09-17 15:29,AEROFLEX,1934.6318,4.501,59.9727,162.891
2026-09-17 15:29,ALKYLAMINE,1916.9574,2.9279,40.6492,-11.2705
2026-09-17 15:29,KPIL,1910.1349,1.703,29.5271,10.2679
2026-09-17 15:29,GRANULES,1902.0727,1.8026,30.1242,60.1767
2026-09-17 15:29,GANECOS,1897.111,2.612,50.2635,-22.464
2026-09-17 15:29,SHREEJISPG,1893.0801,2.3667,42.9453,170.662
2026-09-17 15:29,ADANIGREEN,1875.0949,2.3006,43.6461,23.6247
2026-09-17 15:29,KAPSTON,1867.5288,2.9499,41.7837,251.9907
2026-09-17 15:29,JINDALPOLY,1862.6917,2.6946,49.7638,18.6759
2026-09-17 15:29,SUNDRMFAST,1836.3341,1.7634,27.1386,18.1564
