Date,Abv 10ma,Abv 20ma,Abv 50ma,Abv 200ma
2025-12-01,32.0537,27.3821,27.6596,31.8224
2025-11-28,33.6749,28.6446,28.5515,31.9981
2025-11-27,32.6816,28.0726,27.7002,31.6108
2025-11-26,34.1872,28.0857,27.8528,32.3242
2025-11-25,20.0373,21.5284,23.3924,29.8229
2025-11-24,16.8445,20.0928,22.5058,29.1879
2025-11-21,21.1853,23.6118,25.4316,31.7779
2025-11-20,28.5114,29.258,30.2846,33.6444
2025-11-19,29.9253,29.9253,30.9524,34.4071
2025-11-18,31.4806,30.3596,31.2004,34.9837
2025-11-17,39.0981,36.9131,34.821,37.1455
2025-11-14,34.8761,33.8943,33.3801,35.8579
2025-11-13,34.7846,33.0524,33.6142,36.7978
2025-11-12,37.7049,34.6604,34.6604,37.4707
2025-11-11,28.2099,27.8819,30.2249,35.8013
2025-11-10,27.5396,29.124,31.1277,36.1603
2025-11-07,26.8293,29.8311,31.8949,36.0225
2025-11-06,23.1816,27.4988,31.4876,35.5702
2025-11-04,37.2126,39.0896,39.2304,40.5443
2025-11-03,48.226,47.1989,44.3511,42.577
2025-10-31,42.9445,42.4741,41.4393,41.1571
2025-10-30,51.5522,48.8711,44.873,42.286
2025-10-29,55.0329,50.7996,44.826,42.8975
2025-10-28,44.2046,42.656,40.6851,40.9198
2025-10-27,46.5702,43.4438,40.504,41.7172
2025-10-24,44.8146,41.9052,39.2773,40.4974
2025-10-23,52.723,45.3521,41.1268,41.6901
2025-10-21,59.8966,47.9079,42.078,42.031
2025-10-20,42.3634,37.7394,36.0579,39.6544
2025-10-17,33.9286,33.2707,33.6466,38.0639
2025-10-16,41.1184,36.9831,36.4662,39.7556
2025-10-15,34.0856,31.9699,34.2266,38.2228
2025-10-14,23.7535,26.0583,30.6679,36.6416
2025-10-13,33.4583,34.1612,36.5511,39.8782
2025-10-10,45.4974,41.3013,39.4154,41.9142
2025-10-09,37.3528,36.9289,37.2115,40.7913
2025-10-08,34.3853,34.8563,36.6934,40.0848
2025-10-07,38.661,36.9637,38.1424,40.5941
2025-10-06,42.333,38.8053,39.1816,40.5927
2025-10-03,48.3231,41.0959,40.3873,42.1823
2025-10-01,33.018,31.1731,34.579,39.4986
2025-09-30,20.1613,21.8691,27.704,35.5787
2025-09-29,16.6824,20.794,28.2609,35.5388
2025-09-26,13.9457,20.5616,27.9391,35.9829
2025-09-25,26.3584,34.938,40.0858,41.897
2025-09-24,34.938,42.04,46.1392,44.7569
2025-09-23,42.9389,48.855,50,46.2786
2025-09-22,49.122,53.8681,52.4917,48.1728
2025-09-19,62.5298,63.2458,57.136,49.642
2025-09-18,65.7279,65.5847,57.5179,49.3556
2025-09-17,68.0841,65.8385,57.0951,49.3072
2025-09-16,66.4911,62.6616,54.3322,48.0613
2025-09-15,60.7143,58.2381,49.3333,45.5714
2025-09-12,55.5981,53.0144,46.2679,43.7799
2025-09-11,57.799,53.9713,46.0287,43.3971
2025-09-10,59.4737,53.4928,45.5502,43.5885
2025-09-09,50.8612,46.2201,40.3828,41.0526
2025-09-08,52.4059,46.5936,40.4478,41.496
2025-09-05,49.3301,42.201,39.1866,39.4258
2025-09-04,48.4442,42.9871,38.8703,40.2106
2025-09-03,62.482,49.1615,41.5908,41.2075
2025-09-02,50.3597,40.9113,36.259,39.0408
2025-09-01,40.086,33.827,32.4415,37.3149
2025-08-29,23.6425,24.075,26.9101,33.9741
2025-08-28,22.6225,24.6878,27.2815,34.2939
2025-08-26,29.1066,28.4822,31.0759,37.0797
2025-08-25,48.8506,42.0019,38.2184,41.8103
2025-08-22,49.9038,41.2897,38.7392,41.2897
2025-08-21,58.7584,46.1983,41.5303,41.6747
2025-08-20,61.8383,45.8614,41.0972,41.6747
2025-08-19,55.7803,41.474,38.0058,41.3295
2025-08-18,41.9185,32.9496,34.2446,39.0887
2025-08-14,28.4957,24.4937,28.9778,36.0174
2025-08-13,33.1081,27.027,31.1293,37.9344
2025-08-12,27.3517,23.396,28.5094,36.7583
