date,time,group,% 3 quarter ago,% 2 quarter ago,% 1 quarter ago,% current quarter,change in % in 3 qtrs,change in % in 1 qtr
2026-09-04,15:29,BBNPPGOLD,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BBOX,0.1642,2.5882,3.1124,3.5285,3.3643,0.4161
2026-09-04,15:29,BECTORFOOD,20.0781,22.0541,25.2113,25.9538,5.8757,0.7425
2026-09-04,15:29,BENARAS,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BERGEPAINT,10.7116,11.0808,11.7133,11.7948,1.0832,0.0815
2026-09-04,15:29,BFSI,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BHARATBOND-APR30,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BHARATBOND-APR31,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BHARATBOND-APR32,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BHARATBOND-APR33,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BHARATSE,0.1201,0.2133,0.2152,0.2214,0.1013,0.0062
2026-09-04,15:29,BHARTIARTL,19.5142,19.6562,20.6529,20.7644,1.2502,0.1115
2026-09-04,15:29,BHARTIHEXA,10.2369,10.2754,10.6005,10.6391,0.4022,0.0386
2026-09-04,15:29,BIKAJI,14.7644,16.6182,17.2819,17.4969,2.7325,0.215
2026-09-04,15:29,BLACKROSE,1.7e+308,1.7e+308,0.1521,0.1766,1.7e+308,0.0245
2026-09-04,15:29,BLEL,1.7e+308,1.7e+308,1.7e+308,11.4906,1.7e+308,1.7e+308
2026-09-04,15:29,BLS,2.9004,2.9283,2.9874,3.0965,0.1961,0.1091
2026-09-04,15:29,BLUECLOUDS,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BLUESTARCO,25.3239,26.7573,27.7873,28.2498,2.9259,0.4625
2026-09-04,15:29,BNKETFAXIS,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BOROSCI,0.1031,0.1946,0.2695,0.2701,0.167,0.0006
2026-09-04,15:29,BPLPHARMA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BRAHMINFRA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BRIGHTBR,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BSE500IETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BSLGOLDETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BSLNIFTY,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BSLSENETFG,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BUILDPRO,1.7e+308,4.4187,12.1313,13.6712,1.7e+308,1.5399
2026-09-04,15:29,CAMS,20.7573,21.9965,22.0707,23.5521,2.7948,1.4814
2026-09-04,15:29,CARERATING,29.3821,29.7563,31.3017,31.5799,2.1978,0.2782
2026-09-04,15:29,CARRARO,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CARYSIL,11.3327,11.3407,11.73,11.9121,0.5794,0.1821
2026-09-04,15:29,CASHIETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CEMNTGROWW,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CENTURYPLY,18.1389,18.3565,19.1652,19.4075,1.2686,0.2423
2026-09-04,15:29,CFEL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CGPOWER,16.264,17.5612,18.0823,18.3037,2.0397,0.2214
2026-09-04,15:29,CGVAK,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CHEMCRUX,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CHEMICAL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CHOICEGOLD,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
