date,time,group,% 3 qtr ago,% 2 qtr ago,% 1 qtr ago,% current qtr,change in 3 qtrs
2026-09-04,15:29,ARTNIRMAN,73.7458,73.7458,73.7458,73.7458,0
2026-09-04,15:29,ARVSMART,49.8245,49.8245,53.8252,53.8252,4.0007
2026-09-04,15:29,ASAHIINDIA,51.5704,51.5704,51.5704,51.5718,0.0014
2026-09-04,15:29,ASAHISONG,66.9957,66.9957,66.9957,66.9957,0
2026-09-04,15:29,ASAL,75,75,75,75,0
2026-09-04,15:29,ASALCBR,61.2241,61.2241,62.3523,62.3523,1.1282
2026-09-04,15:29,ASHAPURMIN,47.7882,47.8773,48.0286,48.0316,0.2434
2026-09-04,15:29,ASHIANA,61.1061,61.1061,61.1061,61.1061,0
2026-09-04,15:29,ASHIMASYN,73.4857,73.4857,73.4857,73.4857,0
2026-09-04,15:29,ASHOKA,54.4767,54.4767,54.4767,54.4767,0
2026-09-04,15:29,ASIANPAINT,52.6258,52.6258,52.6258,52.6258,0
2026-09-04,15:29,ASIANTILES,33.4625,33.7212,38.7924,38.7924,5.3299
2026-09-04,15:29,ASPINWALL,64.4598,64.4598,64.4598,64.4598,0
2026-09-04,15:29,ASTERDM,40.3907,40.3929,40.3929,40.3929,0.0022
2026-09-04,15:29,ASTRAL,54.0999,54.2116,54.2219,54.2219,0.122
2026-09-04,15:29,ASTRAMICRO,6.5362,6.5362,6.5362,6.5362,0
2026-09-04,15:29,ASTRAZEN,75,75,75,75,0
2026-09-04,15:29,ATGL,74.8006,74.8006,74.8006,74.8006,0
2026-09-04,15:29,ATL,65.8187,67.1655,67.1655,67.1655,1.3468
2026-09-04,15:29,ATLANTAELE,87.2745,87.2745,87.2745,87.2749,0.0004
2026-09-04,15:29,ATLASCYCLE,41.9213,41.9213,41.9213,41.9213,0
2026-09-04,15:29,ATUL,45.2093,45.2188,45.2228,45.3306,0.1213
2026-09-04,15:29,AUROPHARMA,51.8161,51.8161,51.8161,51.8829,0.0668
2026-09-04,15:29,AURUM,47.0372,47.365,47.4082,47.8892,0.852
2026-09-04,15:29,AUSOMENT,73.696,73.696,73.696,73.696,0
2026-09-04,15:29,AUTOAXLES,71.0379,71.0379,71.0379,71.0379,0
2026-09-04,15:29,AUTOIND,32.6005,32.6005,32.6005,32.6005,0
2026-09-04,15:29,AVADHSUGAR,60.3902,60.3902,60.3902,60.3902,0
2026-09-04,15:29,AVANTIFEED,43.2272,43.2272,43.2272,43.2272,0
2026-09-04,15:29,AVONMORE,58.4611,58.4611,58.4611,58.4611,0
2026-09-04,15:29,AVTNPL,75,75,75,75,0
2026-09-04,15:29,AWHCL,46.0852,46.0852,46.0852,46.0852,0
2026-09-04,15:29,AZAD,55.418,55.8428,55.8428,55.8428,0.4248
2026-09-04,15:29,BAFNAPH,75,75,75,75,0
2026-09-04,15:29,BAGFILMS,46.8619,46.8619,49.3689,51.7388,4.8769
2026-09-04,15:29,BAIDFIN,36.2483,45.7053,47.3889,47.3889,11.1406
2026-09-04,15:29,BAJAJCON,40.9514,42.9687,42.9687,42.9687,2.0173
2026-09-04,15:29,BAJAJHLDNG,51.4618,51.4618,51.4618,51.4618,0
2026-09-04,15:29,BAJAJINDEF,69.6116,69.6116,69.6116,69.6116,0
2026-09-04,15:29,BALAJEE,65.4247,65.4247,65.4247,65.4247,0
2026-09-04,15:29,BALKRISIND,58.2929,58.2929,58.2929,58.2929,0
2026-09-04,15:29,BALPHARMA,50.8589,50.8589,50.8589,50.8589,0
2026-09-04,15:29,BALRAMCHIN,42.8563,42.8549,42.8549,42.8564,0.0001
