date,time,group,ltp,vwap
2026-09-07,15:29,MSTCLTD,785.65,773.25
2026-09-07,15:29,MTARTECH,7519,7400.88
2026-09-07,15:29,NAZARA,370.3,368.75
2026-09-07,15:29,NEPHROPLUS,710.85,707.79
2026-09-07,15:29,PAISALO,79.41,78.07
2026-09-07,15:29,PARADEEP,157.98,157.55
2026-09-07,15:29,PARAS,1489.4,1465.17
2026-09-07,15:29,PARKHOSPS,286.8,285.87
2026-09-07,15:29,PCJEWELLER,13.93,13.36
2026-09-07,15:29,PFOCUS,311.75,309.37
2026-09-07,15:29,PRICOLLTD,779.35,778.18
2026-09-07,15:29,PRUDENT,3367.7,3364.96
2026-09-07,15:29,PVRINOX,1156.5,1152.86
2026-09-07,15:29,RKFORGE,706.25,702.65
2026-09-07,15:29,SANSERA,3896.3,3876.73
2026-09-07,15:29,SEDEMAC,2876.2,2847.34
2026-09-07,15:29,SENCO,365.1,364.83
2026-09-07,15:29,SENORES,1497.5,1475.64
2026-09-07,15:29,SHREEJISPG,699.8,688.12
2026-09-07,15:29,SKIPPER,604.4,601.71
2026-09-07,15:29,SKYGOLD,788.15,786.97
2026-09-07,15:29,SMLMAH,6393.5,6314.7
2026-09-07,15:29,SPLPETRO,802.5,795.75
2026-09-07,15:29,STAR,1178.8,1159.27
2026-09-07,15:29,SUPRIYA,909.1,903.43
2026-09-07,15:29,SWANDEF,2496,2482.55
2026-09-07,15:29,TBOTEK,1705.4,1704.95
2026-09-07,15:29,THYROCARE,573.15,571.45
2026-09-07,15:29,TITAGARH,896.45,890.21
2026-09-07,15:29,VARROC,827.05,821.85
2026-09-07,15:29,VMART,826.2,824.25
2026-09-08,15:29,AARTIIND,503.7,498.42
2026-09-08,15:29,AEROFLEX,573.5,567.58
2026-09-08,15:29,AETHER,1642.9,1621.72
2026-09-08,15:29,AMAGI,576.15,570.95
2026-09-08,15:29,APOLLO,417.9,417.26
2026-09-08,15:29,ARVIND,581.35,574.46
2026-09-08,15:29,ASAHIINDIA,955.6,954.81
2026-09-08,15:29,ASKAUTOLTD,610.15,606.84
2026-09-08,15:29,ASTRAMICRO,1757.3,1745.25
2026-09-08,15:29,ATLANTAELE,1922.3,1909.23
2026-09-08,15:29,AVL,614.6,605.4
2026-09-08,15:29,AXISCADES,1848.6,1830.74
2026-09-08,15:29,BLISSGVS,722.3,714.78
2026-09-08,15:29,BLUEJET,581.5,576.34
2026-09-08,15:29,BLUESTONE,868.7,866.52
2026-09-08,15:29,BRIGADE,687,680.66
2026-09-08,15:29,CANHLIFE,154.16,152.08
2026-09-08,15:29,CARTRADE,3176.7,3171.26
2026-09-08,15:29,CCL,1130.6,1119.75
2026-09-08,15:29,CHALET,897.75,895.58
2026-09-08,15:29,CHENNPETRO,1457.8,1456.87
2026-09-08,15:29,CLEANMAX,1399.2,1379.56
2026-09-08,15:29,CONCORDBIO,1470.5,1464.28
2026-09-08,15:29,CORONA,2093.2,2082.24
2026-09-08,15:29,CYIENTDLM,976.25,940.73
2026-09-08,15:29,DEEDEV,701.6,689.93
2026-09-08,15:29,DEEPINDS,818.7,805.82
2026-09-08,15:29,DEVYANI,137.99,137.52
2026-09-08,15:29,DIACABS,336.25,335.67
2026-09-08,15:29,DYNAMATECH,11584,11555.82
2026-09-08,15:29,E2E,617.6,615.57
2026-09-08,15:29,EBGNG,665.15,653.03
2026-09-08,15:29,ECLERX,1945.1,1931.57
2026-09-08,15:29,EDELWEISS,138.8,135.11
2026-09-08,15:29,ELANTAS,13891,13578.47
2026-09-08,15:29,EMIL,186.02,185.08
2026-09-08,15:29,EMMVEE,331.25,328.73
2026-09-08,15:29,ENGINERSIN,279.2,277.43
2026-09-08,15:29,ESABINDIA,6067,6052.81
2026-09-08,15:29,FCL,58.44,58.35
2026-09-08,15:29,FINCABLES,1302.3,1288.91
2026-09-08,15:29,FINEORG,5196,5145.62
2026-09-08,15:29,GABRIEL,1389.6,1377.05
2026-09-08,15:29,GALAXYSURF,2251.8999,2233.91
2026-09-08,15:29,GARFIBRES,819.15,814.17
2026-09-08,15:29,GESHIP,1383.8,1383.39
2026-09-08,15:29,GMMPFAUDLR,1285.2,1283.24
2026-09-08,15:29,GRANULES,895.35,885.88
2026-09-08,15:29,GRWRHITECH,6975.5,6963.24
2026-09-08,15:29,GUJALKALI,718.75,714.51
2026-09-08,15:29,HAPPYFORGE,2230.3,2218.98
2026-09-08,15:29,HCG,690.6,686.35
2026-09-08,15:29,HOMEFIRST,1237.1,1235.36
2026-09-08,15:29,ICIL,450.85,446.29
2026-09-08,15:29,INDGN,589.2,588.96
2026-09-08,15:29,INGERRAND,4741.7002,4722.04
2026-09-08,15:29,INNOVACAP,1171.8,1171.68
2026-09-08,15:29,INOXINDIA,2215.8999,2191.61
2026-09-08,15:29,JAMNAAUTO,128.92,128.02
2026-09-08,15:29,JINDALSAW,307.6,305.12
2026-09-08,15:29,JUSTDIAL,694.25,692.23
2026-09-08,15:29,KAJARIACER,1250.2,1243.13
2026-09-08,15:29,KISSHT,331,327.41
2026-09-08,15:29,KOVAI,6107,6051.04
2026-09-08,15:29,KRN,1660.2,1633.63
2026-09-08,15:29,KSHINTL,1176.75,1157.15
2026-09-08,15:29,KTKBANK,334.25,332.74
2026-09-08,15:29,KWIL,41.48,41.37
2026-09-08,15:29,LCL,555.8,554.96
2026-09-08,15:29,LGBBROSLTD,1736.7,1723.29
2026-09-08,15:29,LMW,18603,18571.57
2026-09-08,15:29,LUMAXTECH,1955.9,1940.47
2026-09-08,15:29,MANORAMA,2132.8999,2100.21
2026-09-08,15:29,MIDHANI,477,469.52
2026-09-08,15:29,MINDACORP,708.3,702.82
2026-09-08,15:29,MSTCLTD,778.55,774.43
2026-09-08,15:29,MTARTECH,7799.5,7728.81
2026-09-08,15:29,NEOGEN,2213,2206.74
2026-09-08,15:29,NEPHROPLUS,744.1,734.12
2026-09-08,15:29,PCBL,328.8,327.52
2026-09-08,15:29,PGIL,2366.8,2347.21
2026-09-08,15:29,POLYMED,1730.1,1728.34
2026-09-08,15:29,PRECWIRE,480.2,480.1
2026-09-08,15:29,PVRINOX,1231.3,1217.66
2026-09-08,15:29,QPOWER,1519.7,1489.63
2026-09-08,15:29,QUESS,337.5,333.14
2026-09-08,15:29,RATNAMANI,2803.8,2771.21
2026-09-08,15:29,RAYMOND,857.8,843.85
2026-09-08,15:29,RELIGARE,254.61,254.28
2026-09-08,15:29,RPTECH,817.95,817.24
2026-09-08,15:29,SAGILITY,45.7,45.55
2026-09-08,15:29,SANSERA,4033.6001,4028.73
2026-09-08,15:29,SBCL,1105.2,1100.08
2026-09-08,15:29,SENORES,1509.8,1506.58
2026-09-08,15:29,SETL,404.5,397.71
2026-09-08,15:29,SHAILY,3407.8,3372.46
2026-09-08,15:29,SHILPAMED,959.9,953.8
2026-09-08,15:29,SIGMAADV,777.15,755.55
2026-09-08,15:29,SKYGOLD,820,815.05
2026-09-08,15:29,SMARTWORKS,552.65,548.78
2026-09-08,15:29,SOUTHBANK,46.82,46.68
2026-09-08,15:29,SPLPETRO,828.4,813.31
2026-09-08,15:29,SSWL,373.1,368.72
2026-09-08,15:29,STAR,1187.4,1186.41
2026-09-08,15:29,SUDEEPPHRM,1344.2,1338.82
2026-09-08,15:29,SUPRIYA,915.65,912.6
2026-09-08,15:29,TBOTEK,1694.5,1683.92
2026-09-08,15:29,TI,540.35,537.1
2026-09-08,15:29,TMB,926.8,926.37
2026-09-08,15:29,UNIMECH,1629.6,1583.42
2026-09-08,15:29,UTLSOLAR,435.2,429.63
2026-09-08,15:29,VADILALIND,7534.5,7490
2026-09-08,15:29,VARROC,849.45,837.27
2026-09-08,15:29,VOLTAMP,11365,11274.76
2026-09-08,15:29,WABAG,2008.4,2007.56
2026-09-08,15:29,WELSPUNLIV,207.87,207.27
2026-09-08,15:29,WESTLIFE,538.25,531.94
2026-09-09,15:29,AGI,796.15,784.92
2026-09-09,15:29,AMAGI,583.75,574.63
2026-09-09,15:29,APLLTD,817.4,813.04
2026-09-09,15:29,ARTEMISMED,354.3,349.89
2026-09-09,15:29,ASKAUTOLTD,627.25,624.91
2026-09-09,15:29,AVALON,2293.6001,2293.56
2026-09-09,15:29,AZAD,2805,2802.96
2026-09-09,15:29,BAJAJCON,521.45,516.32
2026-09-09,15:29,BALRAMCHIN,700.05,696.84
2026-09-09,15:29,BALUFORGE,541.55,541.53
2026-09-09,15:29,BECTORFOOD,242.05,237.99
2026-09-09,15:29,BLUESTONE,874.4,864.57
2026-09-09,15:29,CARERATING,1724.6,1721.12
2026-09-09,15:29,CEIGALL,376.4,374.14
2026-09-09,15:29,CHENNPETRO,1604.4,1566.19
2026-09-09,15:29,CONCORDBIO,1464.5,1462.82
2026-09-09,15:29,DYNAMATECH,11625,11572.53
2026-09-09,15:29,EBGNG,675.8,675.6
2026-09-09,15:29,ECLERX,1922.6,1919.43
2026-09-09,15:29,ETHOSLTD,2744,2726.3
2026-09-09,15:29,FINCABLES,1353.4,1352.59
2026-09-09,15:29,FIVESTAR,533.05,529.17
2026-09-09,15:29,GALAXYSURF,2288.8999,2275.2
2026-09-09,15:29,GARFIBRES,814.6,814.24
2026-09-09,15:29,GESHIP,1393.4,1391.71
2026-09-09,15:29,GNFC,574.6,565.86
2026-09-09,15:29,GRAPHITE,844.65,843.4
2026-09-09,15:29,GUJALKALI,712.55,711.67
2026-09-09,15:29,HCG,712.55,707.4
2026-09-09,15:29,HONASA,471.05,470.53
2026-09-09,15:29,INDGN,586.35,585.43
2026-09-09,15:29,INNOVACAP,1188.7,1184.52
2026-09-09,15:29,JAMNAAUTO,128.93,128.61
2026-09-09,15:29,JINDALSAW,311.7,310.51
2026-09-09,15:29,JUSTDIAL,678.45,678.32
2026-09-09,15:29,KINGFA,6157.5,6094.22
2026-09-09,15:29,KIRLFER,467.25,466.53
2026-09-09,15:29,KPIL,1408.5,1399.56
2026-09-09,15:29,KWIL,40.84,40.78
2026-09-09,15:29,LUMAXIND,6214,6209.82
2026-09-09,15:29,LUMAXTECH,1990.6,1975.54
2026-09-09,15:29,MAHLIFE,370.1,368.92
2026-09-09,15:29,MAHSEAMLES,676.2,674.38
2026-09-09,15:29,MAXESTATES,546.1,540.96
2026-09-09,15:29,METROPOLIS,602.1,596.23
2026-09-09,15:29,MOREPENLAB,116.54,116.14
2026-09-09,15:29,NAZARA,374.4,373.29
2026-09-09,15:29,NORTHARC,308.35,306.89
2026-09-09,15:29,PAISALO,79.92,79.45
2026-09-09,15:29,PCJEWELLER,13.87,13.81
2026-09-09,15:29,POWERICA,547.1,543.22
2026-09-09,15:29,PRECWIRE,474.35,473.73
2026-09-09,15:29,PRICOLLTD,745.8,744.82
2026-09-09,15:29,PRIVISCL,3537.8999,3520.37
2026-09-09,15:29,QUESS,355,349.88
