MECHANICAL FLAT DUMP of the NSE shareholding-pattern XBRL filing (source: https://nsearchives.nseindia.com/corporate/xbrl/SHP_1694365_16072026051452_WEB.xml).
Filing: Avience Biomedicals Ltd, SHP as on 24-Jun-2026 (listing date), submitted 02-Jul-2026, revised 16-Jul-2026 (remark: combine Resident HUF entries into one Any Other entry, 36,600 shares). Every line is one XBRL fact: element | context | value. Fractions are shares of total (0.6459 = 64.59%). No figure is computed or edited.
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | InsuranceCompanies_ContextI | 64200
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | InsuranceCompanies_ContextI | 0.0117
NumberOfTheLockedInShares | InsuranceCompanies_ContextI | 48600
LockedInSharesAsAPercentageOfTotalNumberOfShares | InsuranceCompanies_ContextI | 0.757
NumberOfEquitySharesHeldInDematerializedForm | InsuranceCompanies_ContextI | 64200
NumberOfSharesUnderSubCategoryOne | InsuranceCompanies_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | InsuranceCompanies_ContextI | 0
NumberOfSharesUnderSubCategoryThree | InsuranceCompanies_ContextI | 0
NumberOfShareholders | NBFCsRegisteredWithRBI_ContextI | 1
NumberOfFullyPaidUpEquityShares | NBFCsRegisteredWithRBI_ContextI | 4800
NumberOfShares | NBFCsRegisteredWithRBI_ContextI | 4800
ShareholdingAsAPercentageOfTotalNumberOfShares | NBFCsRegisteredWithRBI_ContextI | 0.0009
NumberOfVotingRightsHeldBySameClassOfSecurities | NBFCsRegisteredWithRBI_ContextI | 4800
NumberOfVotingRights | NBFCsRegisteredWithRBI_ContextI | 4800
PercentageOfTotalVotingRights | NBFCsRegisteredWithRBI_ContextI | 0.0009
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | NBFCsRegisteredWithRBI_ContextI | 4800
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | NBFCsRegisteredWithRBI_ContextI | 0.0009
NumberOfTheLockedInShares | NBFCsRegisteredWithRBI_ContextI | 0
LockedInSharesAsAPercentageOfTotalNumberOfShares | NBFCsRegisteredWithRBI_ContextI | 0
NumberOfEquitySharesHeldInDematerializedForm | NBFCsRegisteredWithRBI_ContextI | 4800
NumberOfSharesUnderSubCategoryOne | NBFCsRegisteredWithRBI_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | NBFCsRegisteredWithRBI_ContextI | 0
NumberOfSharesUnderSubCategoryThree | NBFCsRegisteredWithRBI_ContextI | 0
NumberOfShareholders | OtherFinancialInstitutions_ContextI | 1
NumberOfFullyPaidUpEquityShares | OtherFinancialInstitutions_ContextI | 1800
NumberOfShares | OtherFinancialInstitutions_ContextI | 1800
ShareholdingAsAPercentageOfTotalNumberOfShares | OtherFinancialInstitutions_ContextI | 0.0003
NumberOfVotingRightsHeldBySameClassOfSecurities | OtherFinancialInstitutions_ContextI | 1800
NumberOfVotingRights | OtherFinancialInstitutions_ContextI | 1800
PercentageOfTotalVotingRights | OtherFinancialInstitutions_ContextI | 0.0003
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | OtherFinancialInstitutions_ContextI | 1800
