date,marketcap,52_wk_high__pct,percentage_trading_above_40w__percentage
2024-04-01,smallcap,,74.5728
2024-04-08,largecap,,85.7576
2024-04-08,midcap,,81.7416
2024-04-08,smallcap,,70.2113
2024-04-15,largecap,,82.4773
2024-04-15,midcap,,76.1236
2024-04-15,smallcap,,64.6499
2024-04-22,largecap,,83.6858
2024-04-22,midcap,,82.0225
2024-04-22,smallcap,,72.5237
2024-04-29,largecap,,83.4337
2024-04-29,midcap,,80.9524
2024-04-29,smallcap,,71.0991
2024-05-06,largecap,,79.5181
2024-05-06,midcap,,72.549
2024-05-06,smallcap,,59.174
2024-05-13,largecap,,85.241
2024-05-13,midcap,,79.0503
2024-05-13,smallcap,,68.339
2024-05-21,largecap,,84.6847
2024-05-21,midcap,,74.6518
2024-05-21,smallcap,,64.5862
2024-05-27,largecap,,79.9401
2024-05-27,midcap,,71.0306
2024-05-27,smallcap,,54.7055
2024-06-03,largecap,,88.024
2024-06-03,midcap,,78.5515
2024-06-03,smallcap,,61.0135
2024-06-10,largecap,,90.4192
2024-06-10,midcap,,88.0223
2024-06-10,smallcap,,72.7273
2024-06-18,largecap,,91.6168
2024-06-18,midcap,,87.5
2024-06-18,smallcap,,74.8988
2024-06-24,largecap,,90.7186
2024-06-24,midcap,,86.9444
2024-06-24,smallcap,,73.1675
2024-07-01,largecap,,92.8144
2024-07-01,midcap,,91.6898
2024-07-01,smallcap,,78.9651
2024-07-08,largecap,,91.3174
2024-07-08,midcap,,91.4365
2024-07-08,smallcap,,77.5319
2024-07-15,largecap,,89.2537
2024-07-15,midcap,,86.1878
2024-07-15,smallcap,,70.9225
2024-07-22,largecap,,90.1493
2024-07-22,midcap,,89.5028
2024-07-22,smallcap,,77.7704
2024-07-29,largecap,,92.8358
2024-07-29,midcap,,89.5028
2024-07-29,smallcap,,78.7859
2024-08-05,largecap,,88.0597
2024-08-05,midcap,,82.8729
2024-08-05,smallcap,,72.7394
2024-08-12,largecap,,88.6567
2024-08-12,midcap,,76.2295
2024-08-12,smallcap,,68.4421
2024-08-19,largecap,,90.4478
2024-08-19,midcap,,83.9237
2024-08-19,smallcap,,78.5003
2024-08-26,largecap,,90.4478
2024-08-26,midcap,,82.8338
2024-08-26,smallcap,,77.5862
2024-09-02,largecap,,86.8657
2024-09-02,midcap,,81.4714
2024-09-02,smallcap,,74.7688
2024-09-09,largecap,,89.881
2024-09-09,midcap,,83.9237
2024-09-09,smallcap,,77.712
2024-09-16,largecap,,86.6469
2024-09-16,midcap,,81.8428
2024-09-16,smallcap,,73.5602
2024-09-23,largecap,,88.724
2024-09-23,midcap,,81.0811
2024-09-23,smallcap,,73.612
2024-09-30,largecap,,82.4926
2024-09-30,midcap,,76.2803
2024-09-30,smallcap,,67.557
2024-10-07,largecap,,78.3383
2024-10-07,midcap,,77.1505
2024-10-07,smallcap,,68.3355
2024-10-14,largecap,,74.7774
2024-10-14,midcap,,76.0753
2024-10-14,smallcap,,64.6104
2024-10-21,largecap,,52.819
2024-10-21,midcap,,53.0831
2024-10-21,smallcap,,45.4899
2024-10-28,largecap,,61.5385
2024-10-28,midcap,,68.5484
2024-10-28,smallcap,,59.9482
2024-11-04,largecap,,59.882
2024-11-04,midcap,,63.1016
2024-11-04,smallcap,,59.5607
2024-11-11,largecap,,44.8378
2024-11-11,midcap,,48.2667
2024-11-11,smallcap,,41.2903
2024-11-18,largecap,,47.6608
2024-11-18,midcap,,48.0106
2024-11-18,smallcap,,43.6211
2024-11-25,largecap,,59.0643
2024-11-25,midcap,,63.2275
2024-11-25,smallcap,,54.472
2024-12-02,largecap,,68.2216
2024-12-02,midcap,,73.2804
2024-12-02,smallcap,,66.5425
2024-12-09,largecap,,62.9738
2024-12-09,midcap,,71.504
2024-12-09,smallcap,,66.5217
2024-12-16,largecap,,49.2711
2024-12-16,midcap,,60.686
2024-12-16,smallcap,,52.795
2024-12-23,largecap,,49.711
2024-12-23,midcap,,57.8947
2024-12-23,smallcap,,51.9207
2024-12-30,largecap,,53.7572
