date,sector,sector_nifty_500_close__high,sector_least_20_gain__column2,sectors_above_key_weekly__4w_ema,sectors_above_key_weekly__20w_ema,sectors_above_key_weekly__30w_ema,sectors_above_key_weekly__40w_ema,sectors_above_key_weekly__52w_ema,money_going_month__column1,ytd_sectoral_advances_nifty__change
2026-09-07,chemicals,20,7.5342,47.7987,58.4906,60.3774,56.6038,52.8302,70,44
2026-09-07,co-working,1.7e+308,0,40,60,60,60,60,1,1.7e+308
2026-09-07,consumer discretionary,20.6897,7.4074,40.2597,47.4026,50,50.6494,49.3506,56,31.0345
2026-09-07,energy,28.5714,16.2162,56.4103,64.1026,61.5385,58.9744,56.4103,20,57.1429
2026-09-07,financials,30.9859,2.6596,42.6606,49.0826,51.3761,49.5413,47.7064,85,43.662
2026-09-07,fmcg,26.9231,3.1008,39.6104,51.2987,51.9481,50.6494,49.3506,66,34.6154
2026-09-07,healthcare,56.25,14.6667,60.4938,70.9877,72.2222,70.3704,70.3704,64,37.5
2026-09-07,i.t,25.641,4.3478,32.5843,40.4494,37.6404,37.0787,35.9551,72,12.8205
2026-09-07,indices,,,17.9245,55.4245,62.9717,66.7453,68.6321,59,0
2026-09-07,industrials,40.4762,9.5238,44.7826,56.087,58.6957,60,60,73,33.3333
2026-09-07,media,25,0,22.9167,29.1667,31.25,31.25,25,22,25
2026-09-07,metals & mining,18.1818,11.215,42.6357,51.1628,55.0388,53.4884,54.2636,47,40.9091
2026-09-07,miscellaneous,0,1.5385,33.3333,42.8571,42.8571,42.8571,40.4762,36,12.5
2026-09-07,n/a,,,34.434,36.3208,37.2642,37.2642,37.2642,10,0
2026-09-07,plastic products,0,9.0909,58.0645,51.6129,38.7097,35.4839,32.2581,16,50
2026-09-07,power & utilities,0,0,12.5,12.5,18.75,21.875,21.875,13,62.5
2026-09-07,realty,26.087,6.338,33.6898,34.7594,31.5508,31.5508,31.016,83,58.3333
2026-09-07,services,38.4615,1.2658,30.7692,35.8974,35.8974,34.188,34.188,52,53.8462
2026-09-07,telecom,66.6667,0,40,50,50,50,50,4,33.3333
2026-09-07,telecom-service,0,0,36.3636,18.1818,18.1818,27.2727,27.2727,4,60
2026-09-07,textiles,50,10.9756,40.3101,44.9612,43.4109,42.6357,40.3101,58,40
2026-09-07,transportation,16.6667,2.3256,36.5385,51.9231,55.7692,55.7692,50,19,50
2026-09-08,aerospace & defence,45.4545,8.8235,70.5882,64.7059,70.5882,70.5882,70.5882,16,54.5455
2026-09-08,auto,27.027,4.0816,38.835,53.3981,56.3107,57.2816,59.2233,17,13.5135
2026-09-08,bank,45.8333,2.7027,31.7073,48.7805,60.9756,60.9756,65.8537,9,30.7692
2026-09-08,building materials,6.25,2.4691,43.75,40.625,38.5417,35.4167,32.2917,40,31.25
2026-09-08,chemicals,20,8.9041,53.4591,60.3774,58.4906,55.3459,52.8302,67,48
2026-09-08,co-working,1.7e+308,0,40,60,60,60,60,1,1.7e+308
2026-09-08,consumer discretionary,24.1379,7.4074,39.6104,49.3506,50.6494,50,50,59,24.1379
2026-09-08,energy,28.5714,21.6216,61.5385,64.1026,61.5385,58.9744,58.9744,21,57.1429
2026-09-08,financials,29.5775,1.0695,38.0734,47.7064,49.0826,47.7064,46.3303,83,42.2535
2026-09-08,fmcg,30.7692,4.6512,39.6104,50,51.2987,50,49.3506,64,38.4615
2026-09-08,healthcare,56.25,14.6667,57.4074,72.8395,72.2222,72.2222,71.6049,68,43.75
2026-09-08,i.t,28.2051,3.6232,29.7753,41.573,38.2022,36.5169,35.3933,73,12.8205
2026-09-08,indices,,,20.7547,53.066,61.3208,66.5094,69.1038,62,100
2026-09-08,industrials,40.4762,10,47.3913,57.8261,60.8696,60,60.4348,71,42.8571
2026-09-08,media,25,0,20.8333,29.1667,31.25,27.0833,25,21,50
2026-09-08,metals & mining,18.1818,9.3458,48.062,55.0388,56.5891,57.3643,55.814,50,45.4545
2026-09-08,miscellaneous,0,0,32.1429,39.2857,41.6667,39.2857,40.4762,38,12.5
2026-09-08,n/a,,,32.0755,34.9057,37.2642,37.2642,37.7358,11,0
2026-09-08,plastic products,0,4.5455,64.5161,45.1613,35.4839,35.4839,35.4839,15,0
2026-09-08,power & utilities,0,0,15.625,15.625,21.875,21.875,25,14,62.5
2026-09-08,realty,21.7391,6.383,30.4813,32.6203,29.9465,30.4813,29.9465,81,41.6667
2026-09-08,services,38.4615,1.2658,34.188,36.7521,37.6068,35.0427,36.7521,51,46.1538
2026-09-08,telecom,66.6667,0,40,50,50,50,50,5,66.6667
2026-09-08,telecom-service,0,16.6667,45.4545,27.2727,27.2727,27.2727,27.2727,5,80
2026-09-08,textiles,50,12.1951,44.9612,44.186,43.4109,43.4109,40.3101,58,40
2026-09-08,transportation,25,2.3256,38.4615,51.9231,53.8462,53.8462,51.9231,17,41.6667
2026-09-09,aerospace & defence,36.3636,8.8235,64.7059,67.6471,70.5882,70.5882,73.5294,16,45.4545
2026-09-09,auto,27.027,4.0816,35.9223,53.3981,54.3689,56.3107,58.2524,19,5.4054
2026-09-09,bank,45.8333,2.7027,26.8293,48.7805,60.9756,63.4146,65.8537,7,30.7692
2026-09-09,building materials,12.5,0,44.7917,40.625,36.4583,34.375,33.3333,41,25
2026-09-09,chemicals,20,10.274,48.4277,57.8616,56.6038,54.717,52.2013,66,40
2026-09-09,co-working,1.7e+308,0,40,60,60,60,60,1,1.7e+308
2026-09-09,consumer discretionary,24.1379,8.1481,37.013,49.3506,50,50,50,54,13.7931
2026-09-09,energy,28.5714,24.3243,61.5385,64.1026,61.5385,61.5385,61.5385,20,57.1429
2026-09-09,financials,21.1268,1.6043,27.5229,45.4128,46.789,46.789,45.8716,77,29.5775
2026-09-09,fmcg,26.9231,4.6875,33.1169,49.3506,48.0519,48.0519,44.8052,53,34.6154
2026-09-09,healthcare,54.1667,16.6667,59.2593,71.6049,72.2222,71.6049,72.2222,67,45.8333
2026-09-09,i.t,20.5128,4.3478,28.0899,39.8876,37.0787,35.3933,34.8315,63,15.3846
2026-09-09,indices,,,24.7642,50.4717,58.2547,60.8491,66.5094,52,100
2026-09-09,industrials,40.4762,10.4762,47.3913,59.5652,60.8696,59.5652,58.6957,77,42.8571
2026-09-09,media,25,0,18.75,31.25,31.25,25,25,20,25
2026-09-09,metals & mining,27.2727,9.3458,53.4884,58.1395,57.3643,55.814,59.6899,51,54.5455
2026-09-09,miscellaneous,0,1.5625,32.5301,38.5542,39.759,39.759,39.759,37,12.5
2026-09-09,n/a,,,35.3774,35.3774,36.3208,37.7358,37.7358,9,50
2026-09-09,plastic products,0,9.0909,45.1613,38.7097,35.4839,35.4839,32.2581,15,0
2026-09-09,power & utilities,0,0,31.25,15.625,21.875,21.875,28.125,15,68.75
2026-09-09,realty,21.7391,6.383,29.4118,33.1551,30.4813,30.4813,28.877,76,33.3333
2026-09-09,services,46.1538,1.25,29.661,35.5932,38.1356,34.7458,34.7458,48,46.1538
2026-09-09,telecom,66.6667,0,40,50,50,50,50,3,33.3333
2026-09-09,telecom-service,0,16.6667,45.4545,36.3636,27.2727,27.2727,27.2727,5,60
2026-09-09,textiles,50,10.8434,40.3101,41.8605,41.0853,42.6357,40.3101,59,40
2026-09-09,transportation,33.3333,2.439,38.4615,50,48.0769,53.8462,48.0769,18,50
2026-09-10,aerospace & defence,36.3636,11.7647,64.7059,67.6471,67.6471,67.6471,73.5294,15,45.4545
2026-09-10,auto,24.3243,5.102,35.9223,52.4272,56.3107,55.3398,58.2524,22,8.1081
2026-09-10,bank,37.5,2.7027,26.8293,48.7805,60.9756,58.5366,63.4146,7,26.9231
2026-09-10,building materials,12.5,2.4691,41.6667,38.5417,35.4167,35.4167,33.3333,42,25
2026-09-10,chemicals,20,8.9041,41.5094,58.4906,55.9748,54.717,52.2013,66,40
2026-09-10,co-working,1.7e+308,0,40,60,60,60,60,1,1.7e+308
2026-09-10,consumer discretionary,24.1379,8.1481,36.3636,48.0519,48.0519,48.0519,49.3506,52,17.2414
2026-09-10,energy,28.5714,24.3243,66.6667,66.6667,64.1026,64.1026,64.1026,21,50
2026-09-10,financials,25.3521,2.6738,30.2752,45.4128,45.4128,43.578,43.1193,72,33.8028
2026-09-10,fmcg,23.0769,3.9063,29.2208,45.4545,48.0519,46.1039,44.1558,58,30.7692
2026-09-10,healthcare,58.3333,15.3333,59.8765,70.9877,73.4568,72.8395,72.2222,64,39.5833
2026-09-10,i.t,20.5128,2.8986,26.4045,36.5169,35.3933,33.1461,33.7079,65,10.2564
2026-09-10,indices,,,19.5755,50.4717,54.0094,58.4906,64.6226,48,0
2026-09-10,industrials,38.0952,10,47.3913,60,60.4348,59.5652,59.1304,77,40.4762
2026-09-10,media,50,0,16.6667,25,25,25,22.9167,19,50
2026-09-10,metals & mining,18.1818,9.3458,45.7364,54.2636,55.814,55.0388,57.3643,49,40.9091
2026-09-10,miscellaneous,0,4.7619,30.1205,34.9398,37.3494,38.5542,37.3494,35,12.5
2026-09-10,n/a,,,32.5472,36.7925,37.2642,37.2642,37.7358,8,0
2026-09-10,plastic products,0,4.5455,41.9355,38.7097,35.4839,35.4839,32.2581,17,0
2026-09-10,power & utilities,0,0,31.25,15.625,18.75,21.875,25,15,62.5
2026-09-10,realty,17.3913,7.0922,27.2727,31.016,28.877,29.9465,28.877,78,29.1667
2026-09-10,services,46.1538,2.5,33.0508,35.5932,36.4407,35.5932,33.8983,48,38.4615
2026-09-10,telecom,33.3333,0,20,50,50,50,50,3,0
2026-09-10,telecom-service,0,16.6667,45.4545,36.3636,36.3636,27.2727,27.2727,5,60
2026-09-10,textiles,50,10.7143,40.3101,42.6357,43.4109,43.4109,40.3101,56,60
2026-09-10,transportation,25,2.439,40.3846,46.1538,48.0769,50,48.0769,13,41.6667
2026-09-11,aerospace & defence,36.3636,11.7647,61.7647,64.7059,67.6471,70.5882,70.5882,14,36.3636
2026-09-11,auto,24.3243,6.1224,31.068,48.5437,53.3981,54.3689,58.2524,24,10.8108
2026-09-11,bank,37.5,2.7027,26.8293,51.2195,56.0976,58.5366,58.5366,7,30.7692
2026-09-11,building materials,12.5,2.4691,35.4167,35.4167,34.375,34.375,32.2917,39,18.75
2026-09-11,chemicals,20,8.9655,38.9937,55.3459,55.3459,54.0881,51.5723,63,36
2026-09-11,co-working,1.7e+308,0,60,60,60,60,60,1,1.7e+308
2026-09-11,consumer discretionary,20.6897,8.6331,32.9114,47.4684,48.1013,46.8354,44.9367,45,17.2414
2026-09-11,energy,28.5714,16.2162,58.9744,64.1026,64.1026,64.1026,64.1026,17,50
2026-09-11,financials,23.9437,2.6596,32.4201,43.379,44.7489,45.6621,45.2055,71,32.3944
2026-09-11,fmcg,23.0769,3.125,33.1169,45.4545,43.5065,45.4545,44.8052,45,23.0769
2026-09-11,healthcare,56.25,15.894,57.0552,70.5521,71.7791,73.6196,71.7791,64,37.5
2026-09-11,i.t,20.5128,3.5971,27.3743,38.5475,39.1061,35.7542,32.4022,62,10.2564
2026-09-11,indices,1.7e+308,0,12.5874,44.5221,49.4172,58.7413,63.4033,38,0
2026-09-11,industrials,38.0952,11.3208,43.5345,59.4828,61.2069,60.3448,59.4828,70,38.0952
2026-09-11,media,50,0,18.3673,24.4898,26.5306,24.4898,22.449,22,75
2026-09-11,metals & mining,13.6364,7.5472,38.7597,48.062,51.1628,53.4884,54.2636,42,31.8182
2026-09-11,miscellaneous,0,3.0303,24.7059,32.9412,36.4706,36.4706,36.4706,32,12.5
2026-09-11,n/a,,,32.4201,36.0731,36.9863,36.5297,36.9863,8,0
2026-09-11,plastic products,0,4.5455,41.9355,38.7097,32.2581,32.2581,32.2581,14,0
2026-09-11,power & utilities,0,0,34.375,15.625,15.625,21.875,25,15,50
2026-09-11,realty,13.0435,6.2937,26.455,27.5132,26.455,25.9259,25.9259,69,25
2026-09-11,services,46.1538,4.878,27.5,35.8333,35.8333,35,31.6667,40,38.4615
2026-09-11,telecom,33.3333,0,30,50,50,50,50,4,0
2026-09-11,telecom-service,0,16.6667,45.4545,36.3636,36.3636,36.3636,27.2727,3,60
2026-09-11,textiles,50,10.8434,34.8837,43.4109,41.0853,42.6357,41.8605,57,40
2026-09-11,transportation,25,2.3256,37.7358,47.1698,49.0566,50.9434,47.1698,12,41.6667
