date,time,abv 10ma,abv 20ma,abv 50ma,abv 200ma
2026-02-13,00:00,38.9628,42.4966,32.905,26.0211
2026-02-16,00:00,34.7489,38.4932,31.4155,26.21
2026-02-17,00:00,43.4265,43.7013,34.7229,27.027
2026-02-18,00:00,46.6117,46.4286,36.6758,27.9762
2026-02-19,00:00,30.1144,35.103,31.1213,25.4462
2026-02-20,00:00,31.5043,35.4367,30.9556,25.1486
2026-02-23,00:00,31.7995,34.5786,31.0251,25.6492
2026-02-24,00:00,24.8513,28.238,26.5446,24.2105
2026-02-25,00:00,28.8066,31.0471,28.898,24.5999
2026-02-26,00:00,33.6837,32.9525,29.7532,24.8629
2026-02-27,00:00,27.7879,28.7477,26.9196,23.766
2026-03-02,00:00,14.1364,18,19.8636,20.3636
2026-03-04,00:00,9.0743,11.4455,15.9143,17.2367
2026-03-05,00:00,17.0164,17.3358,18.6131,18.6588
2026-03-06,00:00,17.6927,16.8263,17.8751,18.8326
2026-03-09,00:00,10.8488,11.8475,12.9823,15.9328
2026-03-10,00:00,24.1002,18.861,17.8588,18.4966
2026-03-11,00:00,25.5464,19.3078,17.9417,18.306
2026-03-12,00:00,25.0114,18.6333,17.4032,17.4943
2026-03-13,00:00,11.3792,10.4233,11.8798,14.5653
2026-03-16,00:00,9.923,9.3339,10.9198,14.6806
2026-03-17,00:00,15.6648,11.9308,12.1585,15.4372
2026-03-18,00:00,39.645,23.7597,16.8867,17.4784
2026-03-19,00:00,16.6439,12.6421,11.7326,14.4611
2026-03-20,00:00,24.9318,18.0164,15.0591,15.5141
2026-03-23,00:00,7.1493,7.1946,8.0995,11.3575
2026-03-24,00:00,17.7727,12.9545,11.2273,13.5455
2026-03-25,00:00,38.8005,22.6715,15.1749,15.1295
2026-03-27,00:00,16.8937,13.5332,11.4441,13.7148
2026-03-30,00:00,10.1626,9.4399,9.7109,12.2855
2026-04-01,00:00,44.676,23.063,15.3149,15.043
2026-04-02,00:00,57.7376,31.7195,17.6471,15.0226
2026-04-06,00:00,74.6733,46.868,22.3975,16.8094
2026-04-07,00:00,76.311,54.7016,26.6275,17.179
2026-04-08,00:00,94.2108,86.341,48.9824,22.8403
2026-04-09,00:00,91.8174,84.4485,49.6383,23.2369
2026-04-10,00:00,95.1087,90.0815,63.7228,26.4493
2026-04-13,00:00,90.6306,86.3063,59.9099,27.2072
2026-04-15,00:00,95.971,93.7528,76.1431,32.3676
2026-04-16,00:00,95.0634,93.7953,80.2989,34.4656
2026-04-17,00:00,96.1051,95.5163,84.3297,37.9076
2026-04-20,00:00,91.0354,92.8732,79.6504,36.5307
2026-04-21,00:00,86.3144,89.1295,78.6488,37.1156
2026-04-22,00:00,86.9641,89.6925,81.2473,40.9268
2026-04-23,00:00,79.6016,87.094,78.9519,40.2772
2026-04-24,00:00,58.8899,77.667,70.5984,36.5134
2026-04-27,00:00,76.7241,85.3879,77.9741,40.8621
2026-04-28,00:00,70.2165,81.5584,76.4069,41.1255
2026-04-29,00:00,67.1144,80.156,76.4298,41.2912
2026-04-30,00:00,56.827,75.6827,72.9085,40.6589
2026-05-04,00:00,64.6425,77.304,75.7106,42.851
2026-05-05,00:00,60.0606,74.6863,73.9939,43.8338
2026-05-06,00:00,75.6383,83.2973,80.7443,46.9061
2026-05-07,00:00,80.9174,85.9801,83.8598,50.4543
2026-05-08,00:00,74.0709,82.4114,81.8496,50.7779
2026-05-11,00:00,51.6989,68.5591,73.9355,46.9247
2026-05-12,00:00,23.6364,40.5195,57.1429,37.8355
2026-05-13,00:00,30.7226,45.132,58.8923,39.6798
2026-05-14,00:00,32.1089,45.6353,57.9084,39.8012
2026-05-15,00:00,28.3737,40.6574,55.8824,38.4083
2026-05-18,00:00,21.0594,30.1034,45.6072,34.6684
2026-05-19,00:00,30.4498,38.3218,50.692,37.4567
2026-05-20,00:00,34.2561,40.7439,50.9516,38.1055
2026-05-21,00:00,42.4492,45.3916,54.0459,39.7663
2026-05-22,00:00,43.8338,46.4301,54.219,40.199
2026-05-25,00:00,58.3907,56.3683,60.1549,43.2014
2026-05-26,00:00,57.0873,56.3959,60.4581,43.6474
2026-05-27,00:00,57.7355,57.1737,61.5817,44.382
2026-05-29,00:00,44.4685,48.4875,56.0069,41.9188
2026-06-01,00:00,34.3239,39.6641,48.7941,39.6641
2026-06-02,00:00,40.7934,43.5533,51.4446,41.3972
2026-06-03,00:00,39.1023,42.2961,49.8489,40.3971
2026-06-04,00:00,43.4239,44.7176,50.0647,41.354
2026-06-05,00:00,42.8756,44.8187,51.0363,41.753
2026-06-08,00:00,27.4569,32.8448,41.7241,38.4914
2026-06-09,00:00,42.5606,42.3875,49.0052,41.3927
2026-06-10,00:00,30.8124,34.529,42.6966,39.2394
2026-06-11,00:00,23.4862,28.2872,38.2353,36.7215
