date,time,breakouts,breakdowns,up close %,down close %,new 52-wk high,new 52-wk low,net nh-nl,15% 52wh,15% 52wl,net 15% h-l,30% 52wh,30% 52 wl,net 30% h-l
2025-04-09,00:00,9.8912,19.9308,33.5,37.2208,0.4451,1.4837,-1.0386,5.094,44.6588,-39.5648,21.2166,67.8042,-46.5875
2025-04-11,00:00,50.963,2.963,42.5388,18.3333,0.4938,0.4938,0,5.8765,36.9877,-31.1111,24.4444,65.0864,-40.642
2025-04-15,00:00,53.6453,2.4631,56.382,18,0.9852,0.2463,0.7389,7.6847,26.0591,-18.3744,28.67,60.0493,-31.3793
2025-04-16,00:00,23.0617,3.9506,44.7537,27.5,1.1358,0.2469,0.8889,8.0494,21.3827,-13.3333,30.2222,58.1235,-27.9012
2025-04-17,00:00,19.0429,4.9827,41.1917,24.7525,1.0853,0.148,0.9373,8.7321,18.6976,-9.9655,30.8831,56.6354,-25.7523
2025-04-21,00:00,29.7537,4.8276,47.351,24.4898,1.5271,0.2463,1.2808,10,13.1034,-3.1034,32.9064,52.7094,-19.803
2025-04-22,00:00,23.9506,4.4938,43.0928,40.6593,1.0864,0.2469,0.8395,9.8765,10.963,-1.0864,33.679,49.679,-16
2025-04-23,00:00,16.0079,8.1028,45.3704,18.9024,0.7411,0.1482,0.5929,10.3261,10.1285,0.1976,34.3379,49.0119,-14.6739
2025-04-24,00:00,16.1147,6.9204,38.0368,33.5714,1.0381,0.2472,0.7909,10.5289,9.6391,0.8898,33.9595,48.6406,-14.6812
2025-04-25,00:00,6.1851,66.0564,24.8,46.4419,0.6432,0.3958,0.2474,8.758,18.6047,-9.8466,30.7274,56.5562,-25.8288
2025-04-28,00:00,14.2224,10.5315,33.218,36.4486,0.6398,0.3937,0.2461,9.1043,18.4547,-9.3504,30.4626,55.7579,-25.2953
2025-04-29,00:00,14.095,7.1217,29.1228,38.8889,0.7418,0.2967,0.4451,8.8526,19.5351,-10.6825,30.1682,55.6874,-25.5193
2025-04-30,00:00,8.1108,23.9367,17.6829,41.5289,0.4451,0.6924,-0.2473,8.1602,25.9644,-17.8042,28.4866,59.2483,-30.7616
2025-05-02,00:00,13.3333,9.4815,25.5556,35.9375,0.5926,0.8395,-0.2469,8,26.963,-18.963,27.5556,60.3951,-32.8395
2025-05-05,00:00,23.3153,6.2961,40.0844,39.0625,0.5903,0.6886,-0.0984,8.5096,23.4629,-14.9533,28.8736,57.1569,-28.2833
2025-05-06,00:00,6.3704,40.642,14.7287,60.7533,0.3951,1.5802,-1.1852,7.4568,32.1481,-24.6914,25.679,62.4691,-36.7901
2025-05-07,00:00,15.6049,16.0988,37.0253,16.5644,0.5432,2.716,-2.1728,7.8025,31.1605,-23.358,26.963,60.7407,-33.7778
2025-05-08,00:00,21.4533,14.9283,16.5899,32.1192,0.7909,1.5324,-0.7415,7.3159,32.9214,-25.6055,26.001,62.3332,-36.3322
2025-05-09,00:00,8.1068,37.4197,32.9268,15.0594,0.346,3.9545,-3.6085,7.0193,35.8379,-28.8186,25.5067,62.8769,-37.3702
2025-05-12,00:00,81.9479,2.6562,73.8896,27.7778,1.2297,0.2951,0.9346,9.6901,20.5116,-10.8214,30.7919,54.6483,-23.8564
2025-05-13,00:00,27.2862,4.6466,45.2899,26.5957,0.9392,0.1483,0.7909,10.1335,17.5976,-7.4642,32.3777,52.5457,-20.1681
2025-05-14,00:00,29.9703,3.1157,49.67,22.2222,1.632,0.0989,1.5331,11.1276,12.8091,-1.6815,34.3719,47.6756,-13.3037
2025-05-15,00:00,23.2938,4.7478,49.0446,38.5417,1.5331,0.0495,1.4837,12.0178,10.8803,1.1375,36.3996,44.362,-7.9624
2025-05-16,00:00,24.5675,5.4375,53.5211,31.8182,1.4829,0.0494,1.4335,12.4073,8.5517,3.8557,38.1117,42.2145,-4.1028
2025-05-19,00:00,30.7768,5.8997,41.3738,39.1667,1.9666,0.1475,1.8191,13.6185,6.883,6.7355,39.0364,38.7906,0.2458
2025-05-20,00:00,13.452,13.7488,30.5147,46.7626,1.3353,0.1978,1.1375,12.7596,9.1988,3.5608,38.3284,42.0376,-3.7092
2025-05-21,00:00,14.088,7.3159,39.6491,37.1622,1.0381,0.2472,0.7909,13.0499,9.1448,3.9051,39.1498,41.127,-1.9773
2025-05-22,00:00,11.8141,7.0687,46.4435,39.1608,1.1864,0.1483,1.0381,12.9016,9.8863,3.0153,38.9521,41.2259,-2.2739
2025-05-23,00:00,16.6172,6.5282,40.1786,36.3636,1.632,0.1484,1.4837,13.1553,8.7043,4.451,40.2077,39.1691,1.0386
2025-05-26,00:00,18.8791,7.7188,41.1458,36.9427,1.7699,0.0983,1.6716,13.766,8.2104,5.5556,40.6588,37.8564,2.8024
2025-05-27,00:00,13.587,5.9289,43.2727,40,1.1364,0.1482,0.9881,13.7846,8.3992,5.3854,41.2055,38.3399,2.8656
2025-05-28,00:00,15.2668,7.6581,46.6019,35.4839,1.6304,0.247,1.3834,14.081,8.6462,5.4348,41.1561,37.1542,4.002
2025-05-29,00:00,15.1037,8.2922,44.1176,44.6429,1.7275,0.3455,1.382,14.2152,8.8845,5.3307,41.8559,37.2162,4.6397
2025-05-30,00:00,15.844,10.612,38.0062,39.5349,2.2211,0.3949,1.8263,14.0178,9.773,4.2448,41.2142,37.463,3.7512
2025-06-02,00:00,18.8328,10.6425,47.1354,32.7189,2.256,0.1962,2.0598,14.7621,9.7106,5.0515,41.9814,37.028,4.9534
2025-06-03,00:00,14.6929,6.4373,34.4482,38.1679,1.4742,0.2948,1.1794,14.4963,10.2703,4.226,41.6216,37.3956,4.226
2025-06-04,00:00,14.7839,6.2377,46.8439,33.0709,1.7191,0.3929,1.3261,14.3418,9.8232,4.5187,42.3379,36.9352,5.4028
2025-06-05,00:00,18.1729,3.389,43.7838,18.8406,2.1611,0.2456,1.9155,15.0295,9.7741,5.2554,42.9764,35.5599,7.4165
2025-06-06,00:00,18.0747,6.1886,44.837,26.9841,2.3576,0.1473,2.2102,15.7662,8.89,6.8762,44.2534,33.9882,10.2652
2025-06-09,00:00,25.5392,4.0196,42.4184,29.2683,2.402,0.2451,2.1569,17.0588,7.402,9.6569,46.2745,30.8333,15.4412
2025-06-10,00:00,17.06,4.179,44.0922,31.7647,2.6549,0.1967,2.4582,17.3058,7.2271,10.0787,46.8535,30.6785,16.175
2025-06-11,00:00,23.0845,5.2554,38.2979,28.0374,2.112,0.1473,1.9646,16.7976,6.5815,10.2161,47.4951,30.1081,17.387
2025-06-12,00:00,11.5593,13.0349,30.2128,37.3585,1.6232,0.1476,1.4757,15.6911,7.4274,8.2636,45.4993,34.0384,11.4609
2025-06-13,00:00,8.3128,20.8067,39.0533,14.4208,1.033,0.5903,0.4427,15.15,8.9523,6.1977,44.2204,37.1864,7.0339
2025-06-16,00:00,11.4425,10.709,47.4359,15.9817,1.5159,0.3912,1.1247,15.599,9.0954,6.5037,44.89,36.3814,8.5086
2025-06-17,00:00,10.9636,9.1445,33.6323,46.2366,1.4749,0.295,1.1799,14.9951,9.7837,5.2114,44.1495,38.9381,5.2114
2025-06-18,00:00,9.4887,7.4238,34.1969,35.0993,1.1799,0.3441,0.8358,14.8476,11.0619,3.7856,42.9695,39.6755,3.294
2025-06-19,00:00,6.5783,22.2877,22.3881,39.4273,0.7855,0.7855,0,13.2548,14.1384,-0.8837,40.2062,44.6244,-4.4183
2025-06-20,00:00,15.4978,6.5228,40.5063,27.8195,0.7847,0.7357,0.049,13.9774,12.8494,1.128,41.1967,42.1775,-0.9809
2025-06-23,00:00,12.1463,10,41.3655,25.8537,1.2195,0.5366,0.6829,14.439,12.8293,1.6098,41.6585,42.439,-0.7805
2025-06-24,00:00,24.5339,4.367,27.8,42.6966,1.1776,0.5888,0.5888,15.211,11.629,3.5819,42.8361,39.4995,3.3366
2025-06-25,00:00,22.5711,2.8459,47.8261,36.2069,1.3739,0.2944,1.0795,16.7321,10.0098,6.7223,44.9951,36.6536,8.3415
