"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtrs"
"4th Sep'26 3:29:00","ASALCBR",61.22,61.22,62.35,62.35,1.13
"4th Sep'26 3:29:00","KSR",59.83,60.67,60.94,60.94,1.12
"4th Sep'26 3:29:00","GALLANTT",68.93,69.83,70,70.03,1.1
"4th Sep'26 3:29:00","VSTL",73.66,73.66,74.62,74.74,1.09
"4th Sep'26 3:29:00","UGROCAP",1.83,1.7,1.99,2.88,1.05
"4th Sep'26 3:29:00","PRIMO",31.35,32.4,32.4,32.4,1.04
"4th Sep'26 3:29:00","INDOWIND",47.16,47.82,48.2,48.2,1.04
"4th Sep'26 3:29:00","TREL",70.34,70.44,70.96,71.36,1.03
"4th Sep'26 3:29:00","TIRUMALCHM",36.13,37.13,37.13,37.13,1
"4th Sep'26 3:29:00","SONAMLTD",57.12,57.27,57.55,58.12,1
"4th Sep'26 3:29:00","GUJALKALI",46.28,46.28,47.28,47.28,1
"4th Sep'26 3:29:00","MONARCH",52.86,53.41,53.86,53.83,0.974
"4th Sep'26 3:29:00","NCC",22.11,22.25,22.81,23.08,0.97
"4th Sep'26 3:29:00","ORIENTHOT",67.55,67.55,68.24,68.52,0.969
"4th Sep'26 3:29:00","DCW",44.62,45.14,45.44,45.59,0.968
"4th Sep'26 3:29:00","KRISHANA",71.96,72.26,72.94,72.93,0.964
"4th Sep'26 3:29:00","TARACHAND",70.68,71.14,71.64,71.64,0.954
"4th Sep'26 3:29:00","ONWARDTEC",39.02,39.09,39.07,39.97,0.948
"4th Sep'26 3:29:00","THOMASCOOK",63.83,63.83,63.83,64.77,0.941
"4th Sep'26 3:29:00","HSCL",51.57,52.5,52.49,52.49,0.922
"4th Sep'26 3:29:00","GMRAIRPORT",66.24,66.24,66.33,67.16,0.921
"4th Sep'26 3:29:00","MGEL",71.46,71.46,72.38,72.38,0.921
"4th Sep'26 3:29:00","PCJEWELLER",37.6,37.19,41.1,38.49,0.892
"4th Sep'26 3:29:00","NGIL",56.4,56.4,57.29,57.29,0.891
"4th Sep'26 3:29:00","UFBL",33.73,34.56,34.59,34.61,0.876
"4th Sep'26 3:29:00","REGAAL",70.45,70.45,71.32,71.32,0.876
"4th Sep'26 3:29:00","TIJARIA",35.26,35.26,35.26,36.14,0.876
"4th Sep'26 3:29:00","ADANIENT",73.97,73.97,74.67,74.84,0.872
"4th Sep'26 3:29:00","VTL",64.21,64.44,65.09,65.08,0.868
"4th Sep'26 3:29:00","SURANAT&P",71.18,71.51,71.89,72.05,0.863
"4th Sep'26 3:29:00","GHCL",18.98,19.83,19.87,19.83,0.853
"4th Sep'26 3:29:00","AURUM",47.04,47.37,47.41,47.89,0.852
"4th Sep'26 3:29:00","ARROWGREEN",64.81,64.81,64.83,65.65,0.839
"4th Sep'26 3:29:00","JSL",61.23,61.23,62.05,62.05,0.818
"4th Sep'26 3:29:00","LIBERTSHOE",58.52,58.46,59.1,59.33,0.814
"4th Sep'26 3:29:00","DELTACORP",33.66,34.47,34.47,34.47,0.803
"4th Sep'26 3:29:00","GOKUL",72.81,72.81,73.54,73.6,0.793
"4th Sep'26 3:29:00","MOLDTECH",49.68,49.71,49.85,50.47,0.785
"4th Sep'26 3:29:00","CHAMBLFERT",60.58,60.85,61.25,61.34,0.764
"4th Sep'26 3:29:00","TEXINFRA",65.8,65.8,66.4,66.55,0.755
"4th Sep'26 3:29:00","NCLIND",40.92,40.95,41.56,41.67,0.748
"4th Sep'26 3:29:00","MAHESHWARI",56.58,56.58,57.15,57.32,0.74
"4th Sep'26 3:29:00","KPIGREEN",48.67,49.25,49.49,49.4,0.73
"4th Sep'26 3:29:00","GLOBAL",72,72.5,72.73,72.73,0.728
"4th Sep'26 3:29:00","DBCORP",73.77,74.25,74.5,74.5,0.723
"4th Sep'26 3:29:00","ECLERX",53.81,54.52,54.52,54.52,0.715
"4th Sep'26 3:29:00","FIBERWEB",46.33,46.42,46.81,47.04,0.714
"4th Sep'26 3:29:00","AEROENTER",51.59,51.59,51.59,52.3,0.713
"4th Sep'26 3:29:00","TOKYOPLAST",68.18,68.8,68.82,68.89,0.712
"4th Sep'26 3:29:00","COMPUSOFT",70.89,70.96,71.06,71.6,0.711
"4th Sep'26 3:29:00","ONESOURCE",29.77,29.93,30.48,30.48,0.705
"4th Sep'26 3:29:00","RUBFILA",57.77,57.77,58.27,58.47,0.702
"4th Sep'26 3:29:00","HALEOSLABS",71.41,71.8,72.11,72.11,0.701
"4th Sep'26 3:29:00","CUPID",45.55,45.55,46.03,46.24,0.691
"4th Sep'26 3:29:00","ORIENTLTD",73,73,73.49,73.68,0.685
"4th Sep'26 3:29:00","IRMENERGY",50.07,50.07,50.07,50.74,0.673
"4th Sep'26 3:29:00","SUPERSPIN",42.8,42.8,42.8,43.46,0.664
"4th Sep'26 3:29:00","TAINWALCHM",67.46,67.51,67.85,68.12,0.659
"4th Sep'26 3:29:00","WELENT",55.48,56.13,56.13,56.13,0.65
"4th Sep'26 3:29:00","PANAMAPET",62.52,63.16,63.16,63.16,0.642
"4th Sep'26 3:29:00","GRASIM",43.11,43.22,43.74,43.74,0.626
"4th Sep'26 3:29:00","RATEGAIN",48.16,48.55,48.77,48.78,0.617
"4th Sep'26 3:29:00","JINDWORLD",61.15,61.77,61.76,61.76,0.616
"4th Sep'26 3:29:00","SPECIALITY",50.1,50.2,50.31,50.71,0.612
"4th Sep'26 3:29:00","CSLFINANCE",47.56,47.56,47.66,48.17,0.605
"4th Sep'26 3:29:00","NAHARSPING",67.43,67.43,67.96,68.03,0.602
"4th Sep'26 3:29:00","NACLIND",53.09,53.74,53.7,53.69,0.599
"4th Sep'26 3:29:00","NRL",73.02,73.02,73.13,73.61,0.585
"4th Sep'26 3:29:00","GOKULAGRO",73.67,74.24,74.24,74.24,0.571
"4th Sep'26 3:29:00","VINCOFE",34.08,34.65,34.65,34.65,0.566
"4th Sep'26 3:29:00","PILANIINVS",58.12,58.24,58.68,58.68,0.561
"4th Sep'26 3:29:00","MBLINFRA",74.01,74.01,74.57,74.57,0.559
"4th Sep'26 3:29:00","ANDHRSUGAR",49.94,50.49,50.49,50.49,0.557
"4th Sep'26 3:29:00","SURYAROSNI",62.47,62.89,63,63.02,0.553
"4th Sep'26 3:29:00","CYBERMEDIA",66.57,66.57,66.57,67.13,0.552
"4th Sep'26 3:29:00","EUROBOND",63.38,63.38,63.93,63.93,0.549
"4th Sep'26 3:29:00","HNDFDS",61.31,61.31,61.31,61.85,0.536
"4th Sep'26 3:29:00","SHOPERSTOP",65.53,65.7,66.06,66.06,0.527
"4th Sep'26 3:29:00","CORDSCABLE",51.92,52.35,52.45,52.45,0.522
"4th Sep'26 3:29:00","RELIANCE",49.11,49.11,49.11,49.62,0.517
"4th Sep'26 3:29:00","KHANDSE",48.27,48.3,48.73,48.78,0.514
"4th Sep'26 3:29:00","SIGIND",72.9,72.9,73.3,73.41,0.511
"4th Sep'26 3:29:00","STARCEMENT",57.59,57.62,58.12,58.1,0.507
"4th Sep'26 3:29:00","HEG",55.78,56.13,56.28,56.28,0.502
"4th Sep'26 3:29:00","MARATHON",55.92,55.92,56.37,56.42,0.499
