"Date","Breakouts","Breakdowns","Up close %","Down close %","New 52-wk high","New 52-wk low","Net nh-nl","15% 52wh","15% 52wl","Net 15% h-l","30% 52wh","30% 52 wl","Net 30% h-l"
"6th May'25",6.36,40.65,14.73,60.8,0.395,1.58,-1.18,7.45,32.22,-24.77,25.65,62.51,-36.85
"5th May'25",23.29,6.29,40.08,39.06,0.59,0.688,-0.098,8.5,23.49,-14.99,28.85,57.2,-28.35
"2nd May'25",13.37,9.47,25.46,35.94,0.592,0.839,-0.247,7.99,26.99,-18.99,27.53,60.43,-32.91
"30th Apr'25",8.1,23.91,17.68,41.53,0.445,0.692,-0.247,8.15,25.99,-17.84,28.46,59.29,-30.83
"29th Apr'25",14.08,7.11,29.12,38.89,0.741,0.296,0.445,8.84,19.57,-10.72,30.14,55.73,-25.59
"28th Apr'25",14.21,10.57,33.22,36.74,0.639,0.393,0.246,9.1,18.49,-9.39,30.43,55.8,-25.37
"25th Apr'25",6.18,66.04,24.8,46.41,0.643,0.396,0.247,8.75,18.64,-9.89,30.7,56.6,-25.9
"24th Apr'25",16.15,6.91,38.23,33.57,1.04,0.247,0.79,10.52,9.68,0.84,33.93,48.69,-14.77
"23rd Apr'25",16.04,8.09,45.54,18.9,0.74,0.148,0.592,10.32,10.17,0.148,34.3,49.06,-14.76
"22nd Apr'25",23.98,4.49,43.21,40.66,1.09,0.247,0.839,9.87,11,-1.13,33.65,49.73,-16.08
"21st Apr'25",29.77,4.82,47.44,24.49,1.53,0.246,1.28,9.99,13.19,-3.2,32.87,52.76,-19.88
"17th Apr'25",19.02,4.98,41.19,24.75,1.08,0.148,0.936,8.72,18.78,-10.05,30.85,56.63,-25.78
"16th Apr'25",23.04,3.95,44.75,27.5,1.13,0.296,0.839,8.04,21.46,-13.42,30.19,58.16,-27.97
"15th Apr'25",53.59,2.46,56.38,18,0.984,0.246,0.738,7.68,26.13,-18.45,28.59,60.09,-31.5
"11th Apr'25",50.91,2.96,42.54,18.33,0.493,0.493,0,5.87,37.05,-31.18,24.42,65.12,-40.7
"9th Apr'25",9.88,19.91,33.5,37.22,0.445,1.53,-1.09,5.09,44.71,-39.62,21.2,67.84,-46.64
"8th Apr'25",58.07,4.79,34.69,24.74,0.346,0.593,-0.247,4.79,41.83,-37.04,22.22,66.81,-44.59
"7th Apr'25",3.5,94.77,28.17,57.42,0.197,23.83,-23.63,3.75,48.64,-44.89,19.78,69.96,-50.17
"4th Apr'25",9.38,54.42,30.53,55.54,0.395,2.47,-2.07,5.68,39.01,-33.33,24.59,64.64,-40.05
"3rd Apr'25",30.27,5.93,50.08,25.83,0.444,0.543,-0.099,7.65,30.42,-22.77,28.84,60.4,-31.56
"2nd Apr'25",23.36,5.43,55.39,16.36,0.395,1.19,-0.79,7.75,36.1,-28.35,27.65,62.22,-34.57
"1st Apr'25",42.27,7.34,54.08,39.6,0.394,3.25,-2.86,7.14,40.59,-33.45,25.91,63.65,-37.73
"28th Mar'25",27.59,18.26,14.85,37.57,0.395,9.08,-8.69,6.96,44.62,-37.66,24.88,65.2,-40.33
"27th Mar'25",22.88,21.2,34.77,47.55,0.247,9.63,-9.39,6.77,43.97,-37.2,25.05,64.38,-39.33
"26th Mar'25",10.42,30.77,18.96,59.55,0.346,5.09,-4.74,6.37,43.06,-36.69,24.64,64.89,-40.25
"25th Mar'25",13.04,36.31,23.48,53.61,0.543,2.17,-1.63,6.72,37.94,-31.23,26.33,61.91,-35.57
"24th Mar'25",35.83,5.67,33.29,32.17,1.23,0.838,0.394,7.64,31,-23.36,28.54,59.09,-30.56
"21st Mar'25",36.2,5.69,44.54,25.22,0.742,0.791,-0.05,6.82,33.98,-27.15,27.25,60.88,-33.63
"20th Mar'25",29.72,6.48,32.61,30.53,0.643,1.04,-0.396,6.43,40.5,-34.08,25.02,63.65,-38.63
"19th Mar'25",48.81,4.25,50.86,13.95,0.841,1.68,-0.841,5.64,42.09,-36.45,24.38,63.75,-39.37
"18th Mar'25",43.64,6.78,49.89,34.31,0.544,4.8,-4.26,5,48.69,-43.69,21.33,66.11,-44.78
"17th Mar'25",17.42,23.54,24.08,49.27,0.543,13.72,-13.18,4.59,53.01,-48.42,19,68.11,-49.11
"13th Mar'25",14.41,15.06,17.87,36.51,0.198,8.52,-8.32,4.26,51.21,-46.95,18.97,68.2,-49.23
"12th Mar'25",14.15,18.16,20.28,37.33,0.445,7.13,-6.68,4.4,50.07,-45.67,19.74,67.64,-47.9
"11th Mar'25",10.64,32.67,30.23,32.12,0.346,5.74,-5.4,4.6,47.77,-43.17,19.9,66.88,-46.98
