"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtr"
"4th Sep'26 3:29:00","MFSL",44.78,45.14,47.88,48.06,3.28
"4th Sep'26 3:29:00","PREMIERENE",10.22,10.02,10.08,13.44,3.22
"4th Sep'26 3:29:00","AEROFLEX",0.389,0.987,1.5,3.6,3.21
"4th Sep'26 3:29:00","TIL",0.038,0.042,2.43,3.2,3.17
"4th Sep'26 3:29:00","SICALLOG",0.064,0.064,3.15,3.15,3.08
"4th Sep'26 3:29:00","BLACKBUCK",45.93,45.81,49.96,48.95,3.02
"4th Sep'26 3:29:00","KIRLOSENG",8.34,8.45,10.79,11.33,2.99
"4th Sep'26 3:29:00","GMRP&UI",17.58,17.45,20.73,20.57,2.99
"4th Sep'26 3:29:00","DCBBANK",10.49,11.93,12.64,13.48,2.98
"4th Sep'26 3:29:00","AGIIL",1.78,0.829,3.98,4.68,2.9
"4th Sep'26 3:29:00","RGL",1.25,2.25,2.02,4.15,2.9
"4th Sep'26 3:29:00","GENSOL",1.98,2.3,0.634,4.88,2.89
"4th Sep'26 3:29:00","CUMMINSIND",18.35,19.43,20.78,21.19,2.84
"4th Sep'26 3:29:00","PUNJABCHEM",3.02,3.01,3.01,5.86,2.84
"4th Sep'26 3:29:00","SGFIN",3.93,3.83,6.54,6.76,2.82
"4th Sep'26 3:29:00","WELCORP",11.8,11.44,11.23,14.61,2.82
"4th Sep'26 3:29:00","MOTISONS",0.086,0.732,2.02,2.89,2.8
"4th Sep'26 3:29:00","POWERINDIA",9.66,10.69,11.68,12.44,2.78
"4th Sep'26 3:29:00","GULFPETRO",14.3,14.32,17.2,17.07,2.77
"4th Sep'26 3:29:00","SIKKO",5,8.01,8.01,7.72,2.71
"4th Sep'26 3:29:00","NUVAMA",16.31,16.39,16.95,19,2.7
"4th Sep'26 3:29:00","AEGISLOG",16.88,17.87,19.56,19.54,2.67
"4th Sep'26 3:29:00","EIMCOELECO",0.6,3.39,3.1,3.25,2.65
"4th Sep'26 3:29:00","BANKINDIA",4.24,5.82,7.26,6.87,2.63
