"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtr"
"4th Sep'26 3:29:00","NURECA",0.075,0.081,0.279,0.108,0.033
"4th Sep'26 3:29:00","ZIMLAB",0,0.019,0,0.031,0.031
"4th Sep'26 3:29:00","KPEL",0.492,0.495,0.658,0.523,0.031
"4th Sep'26 3:29:00","RADHIKAJWE",0,0.003,0.133,0.03,0.03
"4th Sep'26 3:29:00","MUTHOOTFIN",11.58,11.75,12.3,11.61,0.03
"4th Sep'26 3:29:00","MASTERTR",0.002,0.021,0.021,0.032,0.029
"4th Sep'26 3:29:00","IFBAGRO",0.715,0.932,0.919,0.744,0.029
"4th Sep'26 3:29:00","GMRAIRPORT",24.31,25.39,25.21,24.34,0.029
"4th Sep'26 3:29:00","IRIS",1.73,1.73,1.87,1.76,0.028
"4th Sep'26 3:29:00","CHEMBONDCH",0.621,0.727,0.658,0.649,0.028
"4th Sep'26 3:29:00","ORIENTBELL",0.025,0.02,0.025,0.051,0.027
"4th Sep'26 3:29:00","FOCUS",0.001,0.005,0,0.028,0.027
"4th Sep'26 3:29:00","AVONMORE",0.014,0.022,0.064,0.04,0.026
"4th Sep'26 3:29:00","BCONCEPTS",0.006,0,0.002,0.031,0.025
"4th Sep'26 3:29:00","ITDC",0.002,0.001,0.02,0.026,0.025
"4th Sep'26 3:29:00","SCPL",0,0,0,0.025,0.025
"4th Sep'26 3:29:00","STALLION",0.803,0.471,1.78,0.826,0.023
"4th Sep'26 3:29:00","EQUITASBNK",18.54,17.5,17.61,18.57,0.023
"4th Sep'26 3:29:00","DCI",1.14,1.09,1.11,1.16,0.022
"4th Sep'26 3:29:00","XCHANGING",0.004,0.011,0.11,0.026,0.022
"4th Sep'26 3:29:00","SUMIT",0,0.086,0.267,0.021,0.021
"4th Sep'26 3:29:00","BOMDYEING",0.89,0.875,1.04,0.91,0.02
"4th Sep'26 3:29:00","LINC",14.37,14.37,14.28,14.39,0.02
"4th Sep'26 3:29:00","AAKASH",0,0,0,0.02,0.02
"4th Sep'26 3:29:00","AUSOMENT",0.11,0.111,0.11,0.13,0.02
"4th Sep'26 3:29:00","JAYAGROGN",0.043,0.043,0.043,0.062,0.019
"4th Sep'26 3:29:00","SINTERCOM",0.026,0.033,0,0.044,0.018
"4th Sep'26 3:29:00","KRONOX",0.027,0.046,0.082,0.045,0.018
"4th Sep'26 3:29:00","CENTEXT",0.161,0.275,0.139,0.178,0.017
"4th Sep'26 3:29:00","BIRLACABLE",0.006,0.019,0,0.023,0.017
"4th Sep'26 3:29:00","MEDICAMEQ",14.36,14.33,14.4,14.37,0.016
"4th Sep'26 3:29:00","ANANTRAJ",10.72,11.14,10.88,10.74,0.015
"4th Sep'26 3:29:00","SARVESHWAR",0.234,0.234,0.45,0.249,0.015
"4th Sep'26 3:29:00","ALANKIT",0.371,0.442,0.581,0.385,0.014
"4th Sep'26 3:29:00","KOKUYOCMLN",0.088,0.096,0.103,0.102,0.014
"4th Sep'26 3:29:00","NIACL",1.01,0.997,1,1.02,0.014
"4th Sep'26 3:29:00","GEEKAYWIRE",0.006,0.026,0.142,0.019,0.013
"4th Sep'26 3:29:00","PYRAMID",0.96,0.956,0.968,0.974,0.013
"4th Sep'26 3:29:00","RUBYMILLS",0.002,0,0.001,0.015,0.013
"4th Sep'26 3:29:00","HINDCOMPOS",0.003,0,0,0.015,0.013
"4th Sep'26 3:29:00","KAJARIACER",11.57,11.66,10.23,11.58,0.013
"4th Sep'26 3:29:00","BASML",0.189,0.14,0.137,0.201,0.013
"4th Sep'26 3:29:00","JYOTHYLAB",12.12,12.77,12.35,12.13,0.012
"4th Sep'26 3:29:00","BIRLAMONEY",0.069,0.001,0.026,0.08,0.012
"4th Sep'26 3:29:00","ANUHPHR",0,0,0.045,0.012,0.011
"4th Sep'26 3:29:00","NINSYS",0,0.011,0,0.011,0.011
"4th Sep'26 3:29:00","SHREEJISPG",0.447,0.444,0.216,0.458,0.011
"4th Sep'26 3:29:00","IONEXCHANG",4.85,4.68,4.63,4.86,0.011
"4th Sep'26 3:29:00","KAPSTON",0,0.005,0,0.011,0.011
"4th Sep'26 3:29:00","VARDHACRLC",0.024,0.021,0.021,0.034,0.01
"4th Sep'26 3:29:00","WAAREEINDO",0.535,0.535,0.552,0.545,0.01
"4th Sep'26 3:29:00","SETCO",0.075,0.075,0.03,0.085,0.01
"4th Sep'26 3:29:00","BYKE",2.14,2.23,2.6,2.15,0.009
"4th Sep'26 3:29:00","EMAMIPAP",0.53,0.529,0.529,0.539,0.008
"4th Sep'26 3:29:00","NAHARINDUS",0.003,0.003,0.003,0.011,0.008
"4th Sep'26 3:29:00","ARIHANT",0,0,0,0.008,0.008
"4th Sep'26 3:29:00","STEL",0,0.002,0.009,0.008,0.008
"4th Sep'26 3:29:00","AARTECH",0,0,0,0.008,0.008
"4th Sep'26 3:29:00","ABINFRA",0,0.031,0.688,0.007,0.007
"4th Sep'26 3:29:00","KRITI",0.047,0.05,0.118,0.054,0.007
"4th Sep'26 3:29:00","UNIVASTU",0,0,0,0.007,0.007
"4th Sep'26 3:29:00","GOKULAGRO",1.87,1.58,1.51,1.88,0.007
"4th Sep'26 3:29:00","KANORICHEM",0.044,0.003,0.044,0.05,0.006
"4th Sep'26 3:29:00","INDOUS",0,0,0.177,0.006,0.006
"4th Sep'26 3:29:00","GANDHITUBE",1.23,1.23,1.23,1.23,0.006
"4th Sep'26 3:29:00","ONIDA",0.029,0.066,0.059,0.035,0.006
"4th Sep'26 3:29:00","RITCO",0.021,0.064,0.022,0.026,0.005
"4th Sep'26 3:29:00","SAHYADRI",0,0,0,0.005,0.005
"4th Sep'26 3:29:00","BELLACASA",0,0,0,0.005,0.005
"4th Sep'26 3:29:00","KOVAI",1.24,1.31,1.2,1.25,0.005
"4th Sep'26 3:29:00","HARRMALAYA",0.001,0.004,0.002,0.005,0.005
"4th Sep'26 3:29:00","CCAVENUE",5.92,5.67,5.75,5.92,0.004
"4th Sep'26 3:29:00","VIVIMEDLAB",11.01,11.01,11.01,11.01,0.004
"4th Sep'26 3:29:00","ASTEC",0.003,0.042,0.023,0.007,0.004
"4th Sep'26 3:29:00","ANSALAPI",0.244,0.244,0.247,0.247,0.003
"4th Sep'26 3:29:00","OMINFRAL",0.11,0.113,0.11,0.114,0.003
"4th Sep'26 3:29:00","SPAL",2.86,3.21,2.85,2.86,0.003
"4th Sep'26 3:29:00","DPABHUSHAN",0.223,0.22,0.318,0.226,0.003
"4th Sep'26 3:29:00","GUJAPOLLO",0.001,0.054,0.18,0.004,0.003
"4th Sep'26 3:29:00","AARVI",0,0.011,0.002,0.003,0.003
"4th Sep'26 3:29:00","SADHNANIQ",0.036,0.139,0.003,0.039,0.003
"4th Sep'26 3:29:00","TIPSFILMS",0.051,0.046,0.046,0.053,0.002
"4th Sep'26 3:29:00","DONEAR",0,0.044,0,0.002,0.002
"4th Sep'26 3:29:00","ELGIRUBCO",0.003,0.056,0.001,0.005,0.002
"4th Sep'26 3:29:00","EXPLEOSOL",0.127,0.323,0.416,0.129,0.002
"4th Sep'26 3:29:00","WEALTH",0.001,0.003,0.003,0.003,0.002
"4th Sep'26 3:29:00","IFGLEXPOR",0.028,0.041,0.034,0.03,0.002
"4th Sep'26 3:29:00","NDLVENTURE",14.18,14.12,14.19,14.18,0.002
"4th Sep'26 3:29:00","GLOBAL",0.032,0.452,0.404,0.033,0.002
"4th Sep'26 3:29:00","DOLPHIN",4.57,4.57,4.58,4.57,0.002
"4th Sep'26 3:29:00","DELPHIFX",0,0.517,0.023,0.002,0.002
"4th Sep'26 3:29:00","UMIYA-MRO",0,0.002,0.002,0.002,0.002
"4th Sep'26 3:29:00","ATLANTAA",0,0,0.001,0.001,0.001
"4th Sep'26 3:29:00","BIGBLOC",0.212,0.238,0.212,0.213,0.001
"4th Sep'26 3:29:00","PIGL",0,0.004,0.012,0.001,0.001
"4th Sep'26 3:29:00","OSWALAGRO",0.083,0.087,0.11,0.083,0.001
"4th Sep'26 3:29:00","MONEYBOXX",0,0.002,0.005,0.001,0.001
"4th Sep'26 3:29:00","OSWALGREEN",0.005,0.01,0.021,0.006,0.001
"4th Sep'26 3:29:00","FCSSOFT",0.004,0.007,0.005,0.005,0.001
"4th Sep'26 3:29:00","CPEDU",0.049,0.051,0.072,0.05,0.001
"4th Sep'26 3:29:00","IRISDOREME",0,0.001,0.001,0.001,0
"4th Sep'26 3:29:00","INSPIRISYS",0,0,0,0,0
"4th Sep'26 3:29:00","HMT",0,0,0,0,0
"4th Sep'26 3:29:00","PONNIERODE",9.46,9.47,9.61,9.46,0
"4th Sep'26 3:29:00","SVLL",0,0,0,0,0
"4th Sep'26 3:29:00","ACCURACY",0,0,0,0,0
"4th Sep'26 3:29:00","HISARMETAL",0,0,0,0,0
"4th Sep'26 3:29:00","KHAITANLTD",0,0,0,0,0
"4th Sep'26 3:29:00","LAGNAM",0,0,0,0,0
"4th Sep'26 3:29:00","AKG",1.49,1.49,1.49,1.49,0
"4th Sep'26 3:29:00","KSHITIJPOL",0.162,0.162,0.162,0.162,0
"4th Sep'26 3:29:00","RETAIL",0,0,0,0,0
"4th Sep'26 3:29:00","XTGLOBAL",0.002,0.002,0.002,0.002,0
"4th Sep'26 3:29:00","RAMANEWS",0.42,0.42,0.421,0.42,0
"4th Sep'26 3:29:00","DGCONTENT",0,0,0,0,0
"4th Sep'26 3:29:00","KHANDSE",0,0,0,0,0
"4th Sep'26 3:29:00","MANUGRAPH",0,0,0,0,0
"4th Sep'26 3:29:00","ANTGRAPHIC",0.461,0.461,0.461,0.461,0
"4th Sep'26 3:29:00","ACL",0.401,0.401,0.401,0.401,0
"4th Sep'26 3:29:00","MODTHREAD",1.26,1.26,1.26,1.26,0
"4th Sep'26 3:29:00","MUKTAARTS",0,0,0,0,0
"4th Sep'26 3:29:00","TECILCHEM",0.004,0.004,0.004,0.004,0
"4th Sep'26 3:29:00","CEREBRAINT",7.59,7.59,7.59,7.59,0
"4th Sep'26 3:29:00","SMARTLINK",0,0,0,0,0
"4th Sep'26 3:29:00","BAGFILMS",0,0,0,0,0
"4th Sep'26 3:29:00","PRUDMOULI",0,0,0,0,0
"4th Sep'26 3:29:00","LANCORHOL",0,0,0,0,0
"4th Sep'26 3:29:00","INFOMEDIA",0.001,0.001,0.001,0.001,0
"4th Sep'26 3:29:00","MORARJEE",0,0,0,0,0
"4th Sep'26 3:29:00","SPLIL",0.134,0.134,0.134,0.134,0
"4th Sep'26 3:29:00","SHIVATEX",0,0,0,0,0
"4th Sep'26 3:29:00","EDUCOMP",1.49,1.49,1.49,1.49,0
"4th Sep'26 3:29:00","RCOM",0.075,0.075,0.075,0.075,0
"4th Sep'26 3:29:00","INDBANK",0,0,0,0,0
"4th Sep'26 3:29:00","HGM",6.24,6.24,6.24,6.24,0
"4th Sep'26 3:29:00","SITINET",2.05,2.05,2.05,2.05,0
"4th Sep'26 3:29:00","ABCOTS",0.114,0.114,0.114,0.114,0
"4th Sep'26 3:29:00","TFL",0,0,0,0,0
"4th Sep'26 3:29:00","ORIENTALTL",0,0,0,0,0
"4th Sep'26 3:29:00","AMDIND",0,0,0,0,0
"4th Sep'26 3:29:00","SIGIND",0,0,0,0,0
"4th Sep'26 3:29:00","S&SPOWER",0,0,0,0,0
"4th Sep'26 3:29:00","BANG",0,0,0,0,0
"4th Sep'26 3:29:00","AROGRANITE",0,0,0,0,0
"4th Sep'26 3:29:00","TARAPUR",0,0,0,0,0
"4th Sep'26 3:29:00","TTL",0,0,0,0,0
"4th Sep'26 3:29:00","AHLWEST",0.164,0.164,0.164,0.164,0
"4th Sep'26 3:29:00","PRAKASHSTL",0,0,0,0,0
"4th Sep'26 3:29:00","RKDL",0,0,0,0,0
"4th Sep'26 3:29:00","SHEKHAWATI",0,0,0,0,0
"4th Sep'26 3:29:00","KEEPLEARN",0,0,0,0,0
"4th Sep'26 3:29:00","3PLAND",0,0,0,0,0
"4th Sep'26 3:29:00","SETUINFRA",0,0,0,0,0
"4th Sep'26 3:29:00","SIGMA",0,0,0.001,0,0
"4th Sep'26 3:29:00","CMICABLES",0.811,1.01,0.814,0.811,0
"4th Sep'26 3:29:00","SRGHFL",0,0,0,0,0
"4th Sep'26 3:29:00","NIBL",0,0,0,0,0
"4th Sep'26 3:29:00","WILLAMAGOR",0,0,0,0,0
"4th Sep'26 3:29:00","VIJIFIN",0,0,0,0,0
"4th Sep'26 3:29:00","EXXARO",4.02,4.02,4.02,4.02,0
"4th Sep'26 3:29:00","SUPERSPIN",0.002,0.002,0.002,0.002,0
"4th Sep'26 3:29:00","SURYALAXMI",0.213,0.213,0.213,0.213,0
"4th Sep'26 3:29:00","DAMODARIND",0,0,0,0,0
"4th Sep'26 3:29:00","HITECHGEAR",0.002,0.002,0.002,0.002,0
"4th Sep'26 3:29:00","MAHAPEXLTD",0,0,0,0,0
"4th Sep'26 3:29:00","VHLTD",0,0,0,0,0
"4th Sep'26 3:29:00","JOCIL",0,0,0,0,0
"4th Sep'26 3:29:00","GROBTEA",0,0,0,0,0
"4th Sep'26 3:29:00","SEYAIND",0,0,0,0,0
"4th Sep'26 3:29:00","LFIC",0,0,0,0,0
"4th Sep'26 3:29:00","APOLSINHOT",0,0,0,0,0
"4th Sep'26 3:29:00","PODDARMENT",0,0,0,0,0
"4th Sep'26 3:29:00","WIPL",0,0,0,0,0
"4th Sep'26 3:29:00","LAXMICOT",0,0,0,0,0
"4th Sep'26 3:29:00","HECPROJECT",0,0,0,0,0
"4th Sep'26 3:29:00","GVPTECH",0,0,0,0,0
"4th Sep'26 3:29:00","PANSARI",0,0,0,0,0
"4th Sep'26 3:29:00","NITIRAJ",0,0,0,0,0
"4th Sep'26 3:29:00","LIBAS",0,0,0,0,0
"4th Sep'26 3:29:00","MAHESHWARI",0,0,0,0,0
"4th Sep'26 3:29:00","PANACHE",0,0,0,0,0
"4th Sep'26 3:29:00","CCHHL",0.488,0.488,0.488,0.488,0
"4th Sep'26 3:29:00","ACEINTEG",0,0,0,0,0
"4th Sep'26 3:29:00","ARENTERP",0,0,0,0,0
"4th Sep'26 3:29:00","UNIVAFOODS",0,0,0,0,0
"4th Sep'26 3:29:00","ASTRON",0,0,0,0,0
"4th Sep'26 3:29:00","ASHOKAMET",0,0,0,0,0
"4th Sep'26 3:29:00","ARVEE",0,0,0,0,0
"4th Sep'26 3:29:00","SHIVAMILLS",0.32,0.32,0.32,0.32,0
"4th Sep'26 3:29:00","TVVISION",0.003,0.003,0.003,0.003,0
"4th Sep'26 3:29:00","DBSTOCKBRO",0,0,0,0,0
"4th Sep'26 3:29:00","AKSHAR",0,0,0,0,0
"4th Sep'26 3:29:00","JISLDVREQS",0.003,0.003,0.003,0.003,0
"4th Sep'26 3:29:00","SONAMLTD",0,0.021,0.262,0,0
"4th Sep'26 3:29:00","PRITI",0,0,0,0,0
"4th Sep'26 3:29:00","BILVYAPAR",0,0,0,0,0
"4th Sep'26 3:29:00","REPL",0,0,0,0,0
"4th Sep'26 3:29:00","RAJRILTD",0,0,0,0,0
"4th Sep'26 3:29:00","RADAAN",0.277,0.277,0.277,0.277,0
"4th Sep'26 3:29:00","DICIND",0,0,0,0,0
"4th Sep'26 3:29:00","AARON",0,0,0,0,0
"4th Sep'26 3:29:00","RAJMET",0,0,0,0,0
"4th Sep'26 3:29:00","GLFL",0.004,0.004,0.004,0.004,0
"4th Sep'26 3:29:00","PILITA",0,0,0,0,0
"4th Sep'26 3:29:00","GLOSTERLTD",0,0,0,0,0
"4th Sep'26 3:29:00","MFML",0.8,0.8,0.8,0.8,0
"4th Sep'26 3:29:00","TCIFINANCE",0,0,0,0,0
"4th Sep'26 3:29:00","SEMAC",0.042,0.042,0.042,0.042,0
"4th Sep'26 3:29:00","SVPGLOB",0,0,0,0,0
"4th Sep'26 3:29:00","LAKPRE",0.011,0.011,0.011,0.011,0
"4th Sep'26 3:29:00","VIVIDHA",0,0,0,0,0
"4th Sep'26 3:29:00","ARCHIES",0.002,0,0.002,0.002,0
"4th Sep'26 3:29:00","SHREERAMA",0.074,0.091,0.073,0.074,0
"4th Sep'26 3:29:00","CINEVISTA",0.02,0.02,0.02,0.02,0
"4th Sep'26 3:29:00","UMESLTD",1.71,1.71,1.71,1.71,0
"4th Sep'26 3:29:00","HYBRIDFIN",0,0,0,0,0
"4th Sep'26 3:29:00","IMPEXFERRO",0,0,0,0,0
"4th Sep'26 3:29:00","PTL",0,0.001,0,0,0
"4th Sep'26 3:29:00","CYBERMEDIA",0,0,0,0,0
"4th Sep'26 3:29:00","SAKUMA",0,0,0,0,0
"4th Sep'26 3:29:00","SGL",0,0,0,0,0
"4th Sep'26 3:29:00","LOKESHMACH",0,0,0,0,0
"4th Sep'26 3:29:00","DCMFINSERV",0.026,0.027,0.026,0.026,0
"4th Sep'26 3:29:00","SAMBHAAV",0.249,0.313,0.249,0.249,0
"4th Sep'26 3:29:00","TGBHOTELS",0,0,0,0,0
"4th Sep'26 3:29:00","GFSTEELS",0,0,0,0,0
"4th Sep'26 3:29:00","ALPA",0.353,0.357,0.384,0.353,0
"4th Sep'26 3:29:00","NEUEON",0,0,0,0,0
"4th Sep'26 3:29:00","NAGREEKCAP",0.002,0.002,0.002,0.002,0
"4th Sep'26 3:29:00","UMAEXPORTS",0,0,0,0,0
"4th Sep'26 3:29:00","BVCL",0,0,0,0,0
"4th Sep'26 3:29:00","KAUSHALYA",0,0,0,0,0
"4th Sep'26 3:29:00","TPHQ",0.005,0.005,0.005,0.005,0
"4th Sep'26 3:29:00","LOYALTEX",0,0,0,0,0
"4th Sep'26 3:29:00","KRITINUT",0,0,0,0,0
"4th Sep'26 3:29:00","MURUDCERA",0,0.033,0,0,0
"4th Sep'26 3:29:00","KARMAENG",0,0,0,0,0
"4th Sep'26 3:29:00","UEL",0,0,0,0,0
"4th Sep'26 3:29:00","MTEDUCARE",0,0,0,0,0
"4th Sep'26 3:29:00","RSSOFTWARE",0.791,0.846,0.974,0.791,0
"4th Sep'26 3:29:00","DAVANGERE",0,6.99,6.99,0,0
"4th Sep'26 3:29:00","SANWARIA",0,0,0,0,0
"4th Sep'26 3:29:00","AGRITECH",0.022,0.022,0.022,0.022,0
"4th Sep'26 3:29:00","EUROTEXIND",0,0,0,0,0
"4th Sep'26 3:29:00","SOMATEX",0.001,0.014,0.001,0.001,0
"4th Sep'26 3:29:00","ZODIACLOTH",0,0,0,0,0
"4th Sep'26 3:29:00","INCREDIBLE",0,0,0,0,0
"4th Sep'26 3:29:00","WEIZMANIND",0,0,0,0,0
"4th Sep'26 3:29:00","SUPERHOUSE",0.72,0.72,0.72,0.72,0
"4th Sep'26 3:29:00","TNTELE",7.18,7.18,7.18,7.18,0
"4th Sep'26 3:29:00","DTIL",0,0,0,0,0
"4th Sep'26 3:29:00","GUJRAFFIA",0,0,0,0,0
"4th Sep'26 3:29:00","DSKULKARNI",0,0,0,0,0
"4th Sep'26 3:29:00","VINYLINDIA",0,0.001,0.022,0,0
"4th Sep'26 3:29:00","ABMINTLLTD",0,0,0,0,0
"4th Sep'26 3:29:00","JMA",0.046,0.046,0.046,0.046,0
"4th Sep'26 3:29:00","KREBSBIO",0.487,0.487,0.489,0.487,0
"4th Sep'26 3:29:00","RADIOCITY",0,0,0,0,0
"4th Sep'26 3:29:00","NATCAPSUQ",0,0,0,0,0
"4th Sep'26 3:29:00","BALKRISHNA",0,0,0,0,0
"4th Sep'26 3:29:00","LASA",0,0,0,0,0
"4th Sep'26 3:29:00","JETFREIGHT",0,0.031,0,0,0
"4th Sep'26 3:29:00","EIFFL",0,0,0.047,0,0
"4th Sep'26 3:29:00","ORIENTLTD",0,0,0,0,0
"4th Sep'26 3:29:00","AIRAN",0,0.126,0.003,0,0
"4th Sep'26 3:29:00","SHANTI",0,0,0,0,0
"4th Sep'26 3:29:00","BIL",0,7.45,0,0,0
"4th Sep'26 3:29:00","SHRADHA",0,0,0,0,0
"4th Sep'26 3:29:00","AJOONI",0,0,0,0,0
"4th Sep'26 3:29:00","SILLYMONKS",0,0,0,0,0
"4th Sep'26 3:29:00","DIGJAMLMTD",1.79,1.79,1.79,1.79,0
"4th Sep'26 3:29:00","BSHSL",0.001,0.001,0.001,0.001,0
"4th Sep'26 3:29:00","DIL",0,0,0,0,0
"4th Sep'26 3:29:00","EASTSILK",0,0,0,0,0
"4th Sep'26 3:29:00","SALONA",0,0,0,0,0
"4th Sep'26 3:29:00","DANGEE",0,0,0,0,0
"4th Sep'26 3:29:00","AHLADA",0,0,0,0,0
"4th Sep'26 3:29:00","VINNY",0,0,0,0,0
"4th Sep'26 3:29:00","BBTCL",0,0,0,0,0
"4th Sep'26 3:29:00","KAKATCEM",0,0,0,0,0
"4th Sep'26 3:29:00","TOKYOPLAST",0,0,0,0,0
"4th Sep'26 3:29:00","PREMIER",0.002,0.002,0.002,0.002,0
"4th Sep'26 3:29:00","MADHUCON",0,0,0,0,0
"4th Sep'26 3:29:00","ROLLT",0,0,0,0,0
"4th Sep'26 3:29:00","DELTAMAGNT",0,0,0,0,0
"4th Sep'26 3:29:00","ZENITHSTL",0,0,0,0,0
"4th Sep'26 3:29:00","BLUECHIP",0,0,0,0,0
"4th Sep'26 3:29:00","ADROITINFO",0,0,0,0,0
"4th Sep'26 3:29:00","AMNPLST",0,0,0,0,0
"4th Sep'26 3:29:00","ENERGYDEV",0,0.005,0,0,0
"4th Sep'26 3:29:00","CURAA",0,0,0,0,0
"4th Sep'26 3:29:00","PNC",0,0,0,0,0
"4th Sep'26 3:29:00","CREATIVEYE",0,0,0,0,0
"4th Sep'26 3:29:00","NEXTMEDIA",2.45,2.45,2.45,2.45,0
"4th Sep'26 3:29:00","RAJVIR",0,0,0,0,0
"4th Sep'26 3:29:00","ICDSLTD",3.07,3.07,3.07,3.07,0
"4th Sep'26 3:29:00","RAJTV",0.019,0.019,0.019,0.019,0
"4th Sep'26 3:29:00","QUINTEGRA",0,0,0,0,0
"4th Sep'26 3:29:00","ANKITMETAL",0,0,0,0,0
"4th Sep'26 3:29:00","ORBTEXP",0,0.002,0,0,0
"4th Sep'26 3:29:00","BAFNAPH",9.34,9.34,9.34,9.34,0
"4th Sep'26 3:29:00","ALKALI",0,0,0,0,0
"4th Sep'26 3:29:00","ROML",0,0,0,0,0
"4th Sep'26 3:29:00","KALYANIFRG",0,0,0,0,0
"4th Sep'26 3:29:00","IL&FSTRANS",0,0,0,0,0
"4th Sep'26 3:29:00","WELINV",0,0,0,0,0
"4th Sep'26 3:29:00","BEDMUTHA",0,0,0,0,0
"4th Sep'26 3:29:00","FMNL",0,0,0,0,0
"4th Sep'26 3:29:00","BGLOBAL",0,0,0,0,0
"4th Sep'26 3:29:00","HEXATRADEX",0.045,0.045,0.045,0.045,0
"4th Sep'26 3:29:00","DUCON",0,0,0,0,0
"4th Sep'26 3:29:00","SHYAMTEL",0,0,0,0,0
"4th Sep'26 3:29:00","SREEL",6.9,6.9,6.9,6.9,0
"4th Sep'26 3:29:00","HAVISHA",0,0,0,0,0
"4th Sep'26 3:29:00","PARASPETRO",0,0,0,0,0
"4th Sep'26 3:29:00","SHEMAROO",0,0,0,0,0
"4th Sep'26 3:29:00","AMBICAAGAR",0,0,0,0,0
"4th Sep'26 3:29:00","FEL",0.022,0.022,0.024,0.022,0
"4th Sep'26 3:29:00","ASPINWALL",0,0,0,0,0
"4th Sep'26 3:29:00","PKTEA",0,0,0,0,0
"4th Sep'26 3:29:00","NBIFIN",0.167,0.167,0.167,0.167,0
"4th Sep'26 3:29:00","UNITEDTEA",0,0,0.004,0,0
"4th Sep'26 3:29:00","MEP",0.119,0.119,0.119,0.119,0
"4th Sep'26 3:29:00","GANGESSECU",0.034,0.034,0.034,0.034,0
"4th Sep'26 3:29:00","PALASHSECU",0,0,0,0,0
"4th Sep'26 3:29:00","RUDRA",0,0,0,0,0
"4th Sep'26 3:29:00","SHYAMCENT",0.001,0.001,0.001,0.001,0
"4th Sep'26 3:29:00","AKASH",0,0,0,0,0
"4th Sep'26 3:29:00","SANGINITA",0,0,0.187,0,0
"4th Sep'26 3:29:00","SAGARDEEP",0,0,0,0,0
"4th Sep'26 3:29:00","HALEOSLABS",0,0,0,0,0
"4th Sep'26 3:29:00","JAIPURKURT",2.21,2.21,2.21,2.21,0
"4th Sep'26 3:29:00","AGROPHOS",0,0,0,0,0
"4th Sep'26 3:29:00","LEXUS",0,0,0,0,0
"4th Sep'26 3:29:00","VAISHALI",0,0,0,0,0
"4th Sep'26 3:29:00","BANARBEADS",0,0,0,0,0
"4th Sep'26 3:29:00","SIMBHALS",0,0,0,0,0
"4th Sep'26 3:29:00","21STCENMGM",0,0,0,0,0
