"Date","Symbol","% 3 quarter ago","% 2 quarter ago","% 1 quarter ago","% current quarter","Change in % in 3 qtrs","Change in % in 1 qtr"
"4th Sep'26 3:29:00","NIFTYMIDSMLHLTH","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ADDIND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","POEL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PSUBNKBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ELANTAS","NaN","NaN",12.25,12.28,"NaN",0.029
"4th Sep'26 3:29:00","HAZOOR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOM50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VIVOBIOT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LARGEMID50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYDIVOPPS50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQUIDBETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYCONSUMPTION","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY200","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYCOMMODITIES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY500","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY50TR2XLEV","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYSERVSECTOR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SETFNIF50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TOP100CASE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SETFNIFBK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","IDFNIFTYET","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","QGOLDHALF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","RELCNX100","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SBINEQWETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GOLDIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NEXT50IETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","IVZINNIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BSE500IETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GSEC10ABSL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQUIDIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BANKIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CONSUMBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BHARATBOND-APR33","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYSML250MQ100","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY500MOMENTM50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYALPHA50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY100EQLWGT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYGS1115YR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ITBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYAQL30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ALPL30IETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMSITTELCM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY200VALUE30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYTRANSLOGIS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYTOP20EW","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY500EW","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYQLTYLV30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYCORPMAATR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CARRARO","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NITTAGELA","NaN","NaN",0.924,0.95,"NaN",0.025
"4th Sep'26 3:29:00","GROWWN200","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SILVERCASE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MID150","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWMOM50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MON50EQUAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EQUAL50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOINFRA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOTOUR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOMIDMTM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","INTERNET","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYOILANDGAS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY200MOMENTM30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY100ESGSECLDR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYM150QLTY50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MAKEINDIA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","QUALITY30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MIDCAP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOMOMENTUM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GSEC5IETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LOWVOL1","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NV20","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWPOWER","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HILINFRA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SBILIQETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOSILVER","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AONEGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOHEALTH","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOQUALITY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SBIETFIT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCVALUE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCLOWVOL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCPVTBAN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOENERGY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYCASE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EBBETF0433","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SMALL250","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIF100BEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","UTLSOLAR","NaN",4.72,5.6,5.98,"NaN",0.382
"4th Sep'26 3:29:00","MOMNC","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GOLDBND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ASHIKA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCMID150","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NEPHROPLUS","NaN",8.1,8.65,9.05,"NaN",0.4
"4th Sep'26 3:29:00","DIVIDEND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CONSUMIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYBETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TWCGOLDETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SILVERBETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWCHEM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AMAGI","NaN",31.69,37.01,37.12,"NaN",0.104
"4th Sep'26 3:29:00","GOLDADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MONQ50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWPSE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HEALTHCARE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ABSLMSCIN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ABSL10BANK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HSBCGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SENSEXADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYFMCG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYPSUBANK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GOLDBETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CNXMIDCAP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CNXPHARMA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCLIQUID","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MONIFTY500","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ENEXT50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ITETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQUIDSBI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CMRGREEN","NaN","NaN","NaN",4.32,"NaN","NaN"
"4th Sep'26 3:29:00","HEXAGON","NaN","NaN",0.672,6.43,"NaN",5.76
"4th Sep'26 3:29:00","VAML","NaN","NaN","NaN",13.97,"NaN","NaN"
"4th Sep'26 3:29:00","AGL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","COMMOIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ITAXIS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYAXIS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AASTHA","NaN","NaN","NaN",2.38,"NaN","NaN"
"4th Sep'26 3:29:00","KNACK","NaN","NaN","NaN",4.97,"NaN","NaN"
"4th Sep'26 3:29:00","AURUS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ALPINETEX","NaN","NaN","NaN",0,"NaN","NaN"
"4th Sep'26 3:29:00","CEMNTGROWW","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","INDOMIM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HYBRIDETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYBETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SEIL","NaN","NaN",0.164,0.165,"NaN",0
"4th Sep'26 3:29:00","MOMETAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GILT10BETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MIDBANKADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HEALTHADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MIDSELIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TECHNOCRAF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SHANTI-RE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BSLSENETFG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SIEL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SHRJAGP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","JENBURPH","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY50ADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SGRL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HINDALUMI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LICNMID100","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SHRADDHA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AXTEL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","IPRINGLTD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BENARAS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HBPOR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MLKFOOD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ITL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SRIKPRIND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ARCL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MUKESHB","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LKPSEC","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","UDAYJEW","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EKI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TRITONV","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","DEEP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BRIGHTBR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY1","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOSMALL250","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PACIFICI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VOITHPAPR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","UPHOT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LADDERUP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ASIANTNE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","DISAQ","NaN","NaN",8.27,8.31,"NaN",0.04
"4th Sep'26 3:29:00","RTSPOWR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ISTLTD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ALUFLUOR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BPLPHARMA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMULTIMFG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TGVSL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BANKBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","KAMANWALA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SGLRES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VIRAT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SHIPROCKET","NaN","NaN","NaN",70.97,"NaN","NaN"
"4th Sep'26 3:29:00","COCKERILL","NaN","NaN",0,0.114,"NaN",0.114
"4th Sep'26 3:29:00","NIFTY50PR1XINV","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","INDIAVIX","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY50PR2XLEV","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY50VALUE30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY50DIVPOINT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CNXMNC","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","KOTAKNIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GOLD1","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQUIDSHRI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SETFNN50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOM100","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","WELSPLSOL","NaN","NaN",0.003,0.056,"NaN",0.053
"4th Sep'26 3:29:00","IVZINGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LICMFGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NEXT50BETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWEV","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SETF10GILT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","METALIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MODEFENCE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","IBMFNIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EBANKNIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MENNPIS","NaN","NaN",0,0.033,"NaN",0.033
"4th Sep'26 3:29:00","VAL30IETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NV20BEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EMULTIMQ","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EBBETF0430","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MIDCAPIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMS400MQ100","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BHARATBOND-APR31","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYGS15YRPLUS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYTOP10EW","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYGSCOMPSITE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYGS10YRCLN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYSMALLCAP50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYIPO","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYEV","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","3BBLACKBIO","NaN","NaN",1.98,2.15,"NaN",0.169
"4th Sep'26 3:29:00","NIFTYFINSEREXBNK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYTOP15EW","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY50SHARIAH","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BANKBETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYNONCYCCONS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY100ENHESG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYSHARIAH25","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","WPIL","NaN","NaN",2.59,2.77,"NaN",0.186
"4th Sep'26 3:29:00","NIFTY500LMSEQL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CONSUMER","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","URAVIDEF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NEXT30ADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWRAIL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HEXT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","UNIONGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GOLD360","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BAJAJST","NaN","NaN",0.008,0.011,"NaN",0.002
"4th Sep'26 3:29:00","VALUEAXIS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EVIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MONEXT50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SNXT30BEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY500MULTICAP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYHEALTHCARE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYINDDIGITAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYINDIAMFG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SAHLIBHFI","NaN","NaN",0,1.26,"NaN",1.26
"4th Sep'26 3:29:00","AUTOBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SILVERIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SILVER","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SILVERBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWNIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQGRWBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LTGILTCASE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCNEXT50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MNC","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOMENTUM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCSILVER","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VOEPL","NaN","NaN","NaN",0.791,"NaN","NaN"
"4th Sep'26 3:29:00","BNKETFAXIS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SILVERAXIS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOGSEC","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MARSONS","NaN",0,0.145,0.169,"NaN",0.023
"4th Sep'26 3:29:00","GROWWRLTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ELIQUID","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOMENTUM30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SILVER1","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CHOICEGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BANKADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CHEMICAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SBIETFCON","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ESENSEX","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MSCIADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CNL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CONSUMAXIS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GOLDETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SMALLADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWMETAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TECH","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PSUBNKIETF","NaN","NaN","NaN","NaN","NaN","NaN"
