"Date","Symbol","% 3 quarter ago","% 2 quarter ago","% 1 quarter ago","% current quarter","Change in % in 3 qtrs","Change in % in 1 qtr"
"4th Sep'26 3:29:00","ONESOURCE",18.49,18.81,20.61,23.39,4.9,2.77
"4th Sep'26 3:29:00","LALPATHLAB",18.49,19.21,21.39,21.61,3.12,0.216
"4th Sep'26 3:29:00","EXIDEIND",18.46,18.71,19.13,19.3,0.84,0.171
"4th Sep'26 3:29:00","INDUSTOWER",18.24,18.95,19.68,21.45,3.21,1.77
"4th Sep'26 3:29:00","CENTURYPLY",18.14,18.36,19.17,19.41,1.27,0.242
"4th Sep'26 3:29:00","PGEL",18.1,18.83,22.66,23.89,5.79,1.23
"4th Sep'26 3:29:00","BANDHANBNK",17.89,18.84,22.4,27.55,9.66,5.15
"4th Sep'26 3:29:00","SBICARD",17.76,17.85,18.12,18.13,0.368,0.005
"4th Sep'26 3:29:00","DOMS",17.71,18.27,19.14,25.91,8.2,6.77
"4th Sep'26 3:29:00","RAINBOW",17.46,19.49,21.13,22.56,5.1,1.43
"4th Sep'26 3:29:00","DABUR",17.4,18.38,18.56,18.72,1.33,0.158
"4th Sep'26 3:29:00","CHOLAFIN",17.27,17.55,19.91,20.62,3.35,0.706
"4th Sep'26 3:29:00","SANOFICONR",17.21,17.33,17.57,17.86,0.653,0.293
"4th Sep'26 3:29:00","TATAPOWER",16.67,17.53,18.29,18.44,1.77,0.15
"4th Sep'26 3:29:00","MSUMI",16.6,17.19,17.44,17.87,1.27,0.433
"4th Sep'26 3:29:00","AVL",16.46,17.45,19.58,21.67,5.21,2.1
"4th Sep'26 3:29:00","CGPOWER",16.26,17.56,18.08,18.3,2.04,0.221
"4th Sep'26 3:29:00","GMMPFAUDLR",16.21,16.3,17.59,18.42,2.21,0.832
"4th Sep'26 3:29:00","ANUP",15.73,16.11,16.41,16.52,0.798,0.117
"4th Sep'26 3:29:00","RECLTD",15.55,15.91,16.28,17.04,1.48,0.761
"4th Sep'26 3:29:00","HAVELLS",15.53,16.71,17.73,18.26,2.74,0.533
"4th Sep'26 3:29:00","VENUSPIPES",15.14,17.35,17.49,17.81,2.67,0.321
"4th Sep'26 3:29:00","UNITDSPR",14.91,15.37,15.37,17.15,2.25,1.78
"4th Sep'26 3:29:00","ASTRAL",14.9,17.79,19.54,21.31,6.4,1.77
"4th Sep'26 3:29:00","BIKAJI",14.76,16.62,17.28,17.5,2.73,0.215
"4th Sep'26 3:29:00","HDFCLIFE",14.6,15.24,17.25,20.19,5.6,2.94
"4th Sep'26 3:29:00","ASTRAMICRO",14.55,14.76,15.42,16.09,1.54,0.666
"4th Sep'26 3:29:00","AUTOAXLES",14.18,14.58,15.15,15.44,1.26,0.289
"4th Sep'26 3:29:00","TITAN",14.17,15.01,15.04,15.34,1.17,0.301
"4th Sep'26 3:29:00","AAVAS",14.14,14.29,22.14,22.15,8.02,0.015
"4th Sep'26 3:29:00","PGIL",14.02,16.77,18.8,19.17,5.15,0.366
"4th Sep'26 3:29:00","NEULANDLAB",13.94,14.71,15.84,16.51,2.57,0.673
"4th Sep'26 3:29:00","DYNAMATECH",13.85,15.35,15.63,15.86,2.01,0.232
"4th Sep'26 3:29:00","JSWDULUX",13.77,20.58,21.78,21.97,8.2,0.186
"4th Sep'26 3:29:00","GODREJCP",13.58,16.48,18,19.59,6.01,1.59
"4th Sep'26 3:29:00","SWIGGY",13.54,15.95,22.53,27.38,13.84,4.85
"4th Sep'26 3:29:00","POLYMED",13.54,13.84,15.59,16.08,2.54,0.487
"4th Sep'26 3:29:00","TIMETECHNO",13.19,16.7,17.37,17.57,4.38,0.203
"4th Sep'26 3:29:00","MEDANTA",12.98,14,14.77,16.89,3.91,2.13
"4th Sep'26 3:29:00","GALAXYSURF",12.9,13.05,13.1,13.52,0.615,0.417
"4th Sep'26 3:29:00","STYRENIX",12.79,15.75,17.33,17.44,4.65,0.111
"4th Sep'26 3:29:00","PHOENIXLTD",12.73,15.27,16.15,17.39,4.66,1.24
