"Date","Symbol","Current price","Market cap","Category","Sector","Industry","% change","Volume"
"4th Sep'26 3:29:00","BCPL",68.45,114.47,"smallcap","realty","engineering - turnkey services",1,15587
"4th Sep'26 3:29:00","KAVDEFENCE",67.14,403.67,"smallcap","aerospace & defence","telecommunications - equipment",19.57,1505543
"4th Sep'26 3:29:00","SMLT",65.59,89.79,"smallcap","metals & mining","steel - medium / small",1.55,7074
"4th Sep'26 3:29:00","SJVN",65.23,25634.05,"largecap","power & utilities","power generation and supply",0.385,1260938
"4th Sep'26 3:29:00","MADRASFERT",65.12,1049.09,"smallcap","chemicals","fertilizers",-0.015,26810
"4th Sep'26 3:29:00","ROTO",65.03,1225.46,"smallcap","industrials","pumps",1.99,233711
"4th Sep'26 3:29:00","TOUCHWOOD",62.81,69.6,"smallcap","media","miscellaneous",6.1,1237
"4th Sep'26 3:29:00","VIKRAN",60.77,1567.33,"smallcap","realty","transmisson line towers / equipment",5.36,1930821
"4th Sep'26 3:29:00","BRIGHOTEL",59.19,2248.29,"smallcap","services","hotels",0.407,84277
"4th Sep'26 3:29:00","MONEYBOXX",58.8,410.48,"smallcap","financials","finance & investments",2.76,92042
"4th Sep'26 3:29:00","RAJOOENG",51.59,921.79,"smallcap","industrials","engineering",4.99,412844
"4th Sep'26 3:29:00","VARDHACRLC",43.59,350.31,"smallcap","textiles","textiles - manmade",0.74,13445
"4th Sep'26 3:29:00","KOTYARK",33.76,381.73,"smallcap","energy","refineries",4.98,133703
"4th Sep'26 3:29:00","INCREDIBLE",32.54,152.17,"smallcap","metals & mining","steel - medium / small",1.28,5276
"4th Sep'26 3:29:00","DHANBANK",31.86,1257.51,"smallcap","bank","banks - private sector",0.441,349043
"4th Sep'26 3:29:00","RSSOFTWARE",30.61,79.07,"smallcap","i.t","computers - software - medium / small",2.34,50380
"4th Sep'26 3:29:00","NETWORK18",28.38,4376.2,"smallcap","media","entertainment / electronic media software",3.01,3493333
"4th Sep'26 3:29:00","MTNL",26.55,1672.65,"smallcap","telecom","telecommunications - service provider",0.492,518060
"4th Sep'26 3:29:00","MONIFTY100",25.32,17.79,"smallcap","indices","indices",0.596,23737
"4th Sep'26 3:29:00","NAGREEKEXP",24.1,75.31,"smallcap","textiles","textiles - cotton/blended",13.15,411783
"4th Sep'26 3:29:00","SAGARDEEP",23.62,40.29,"smallcap","metals & mining","mining / minerals / metals",-0.589,5256
"4th Sep'26 3:29:00","BLUECOAST",23.49,46.23,"smallcap","services","hotels",1.42,892
"4th Sep'26 3:29:00","PSB",23.23,16483.04,"midcap","bank","banks - public sector",0.781,1431638
"4th Sep'26 3:29:00","YESBANK",22.5,70620.21,"largecap","bank","banks - private sector",-0.177,31739702
"4th Sep'26 3:29:00","AQYLON",22.46,569.88,"smallcap","media","entertainment / electronic media software",4.03,555317
"4th Sep'26 3:29:00","PRIMO",21.27,515.46,"smallcap","chemicals","chlor alkali / soda ash",2.85,157678
"4th Sep'26 3:29:00","ACEINTEG",17.83,18.19,"smallcap","miscellaneous","diversified - medium / small",4.76,17975
"4th Sep'26 3:29:00","AIRAN",15.44,193.03,"smallcap","i.t","computers - software - medium / small",4.32,208770
"4th Sep'26 3:29:00","LAXMICOT",13.73,23.54,"smallcap","textiles","textiles - cotton/blended",8.03,72640
"4th Sep'26 3:29:00","PILITA",8.02,188.47,"smallcap","plastic products","plastics products",0.88,40149
"4th Sep'26 3:29:00","HLVLTD",6.48,427.2,"smallcap","services","hotels",1.09,143901
"4th Sep'26 3:29:00","TREEHOUSE",6.29,26.61,"smallcap","services","miscellaneous",1.13,26470
"4th Sep'26 3:29:00","DCMFINSERV",5.2,11.51,"smallcap","financials","finance & investments",2.16,5995
"4th Sep'26 3:29:00","BAGFILMS",4.51,98.28,"smallcap","media","entertainment / electronic media software",4.4,225253
"4th Sep'26 3:29:00","UNITECH",4.08,1067.45,"smallcap","realty","construction",9.97,14406516
"4th Sep'26 3:29:00","SPCENET",3.41,193.6,"smallcap","services","trading",5.25,1308892
"4th Sep'26 3:29:00","SUVIDHAA",2.42,50.77,"smallcap","i.t","miscellaneous",17.48,651333
"4th Sep'26 3:29:00","MTEDUCARE",1.77,12.78,"smallcap","services","miscellaneous",4.73,30604
"4th Sep'26 3:29:00","SAKUMA",1.62,253.97,"smallcap","services","trading",2.53,721220
"4th Sep'26 3:29:00","RCOM",0.81,224.01,"smallcap","telecom-service","telecommunications - service provider",2.53,3829914
"4th Sep'26 3:29:00","VIVIDHA",0.52,15.22,"smallcap","services","trading",4,80310
"4th Sep'26 3:29:00","SHRENIK",0.29,17.75,"smallcap","building materials","trading",0,346855
