"Date","Symbol","Changeinpercentage"
"4th Sep'26 3:29:00","ZOTA",2.83
"4th Sep'26 3:29:00","MGL",2.83
"4th Sep'26 3:29:00","HEALTHX",2.82
"4th Sep'26 3:29:00","SUDEEPPHRM",2.82
"4th Sep'26 3:29:00","ALPHAGEO",2.81
"4th Sep'26 3:29:00","GOKEX",2.81
"4th Sep'26 3:29:00","WARDINMOBI",2.81
"4th Sep'26 3:29:00","KANCHI",2.8
"4th Sep'26 3:29:00","INFOBEAN",2.79
"4th Sep'26 3:29:00","FEDDERSHOL",2.78
"4th Sep'26 3:29:00","QUICKHEAL",2.77
"4th Sep'26 3:29:00","RADAAN",2.77
"4th Sep'26 3:29:00","KOKUYOCMLN",2.77
"4th Sep'26 3:29:00","COMPEAU",2.76
"4th Sep'26 3:29:00","MONEYBOXX",2.76
"4th Sep'26 3:29:00","DIACABS",2.76
"4th Sep'26 3:29:00","SENCO",2.75
"4th Sep'26 3:29:00","BATLIBOI",2.74
"4th Sep'26 3:29:00","AKASH",2.73
"4th Sep'26 3:29:00","PANCHMAHQ",2.7
"4th Sep'26 3:29:00","SRTL",2.7
"4th Sep'26 3:29:00","SAMBANDAM",2.69
"4th Sep'26 3:29:00","OMPOWER",2.68
"4th Sep'26 3:29:00","SALONA",2.68
"4th Sep'26 3:29:00","AKG",2.68
"4th Sep'26 3:29:00","KPEL",2.67
"4th Sep'26 3:29:00","OSWALGREEN",2.67
"4th Sep'26 3:29:00","3IINFOLTD",2.66
"4th Sep'26 3:29:00","KREBSBIO",2.66
"4th Sep'26 3:29:00","MOTOGENFIN",2.65
"4th Sep'26 3:29:00","GNRL",2.64
"4th Sep'26 3:29:00","RPGLIFE",2.61
"4th Sep'26 3:29:00","CROMPTON",2.6
"4th Sep'26 3:29:00","GENUSPAPER",2.57
"4th Sep'26 3:29:00","MITTAL",2.56
"4th Sep'26 3:29:00","NEUEON",2.56
"4th Sep'26 3:29:00","UNIMECH",2.55
"4th Sep'26 3:29:00","KABRAEXTRU",2.54
"4th Sep'26 3:29:00","HATHWAY",2.53
"4th Sep'26 3:29:00","SREEL",2.53
"4th Sep'26 3:29:00","RCOM",2.53
"4th Sep'26 3:29:00","SAKUMA",2.53
"4th Sep'26 3:29:00","SWIGGY",2.53
"4th Sep'26 3:29:00","REDTAPE",2.51
"4th Sep'26 3:29:00","SIMPLXREA",2.5
"4th Sep'26 3:29:00","GICL",2.5
"4th Sep'26 3:29:00","MBAPL",2.49
"4th Sep'26 3:29:00","TATASTEEL",2.49
"4th Sep'26 3:29:00","GLFL",2.47
"4th Sep'26 3:29:00","IMPAL",2.46
"4th Sep'26 3:29:00","HYUNDAI",2.46
"4th Sep'26 3:29:00","FLFL",2.46
"4th Sep'26 3:29:00","RKSWAMY",2.45
"4th Sep'26 3:29:00","LANDMARK",2.44
"4th Sep'26 3:29:00","RAYMONDLSL",2.44
"4th Sep'26 3:29:00","CYIENTDLM",2.44
"4th Sep'26 3:29:00","TDPOWERSYS",2.43
"4th Sep'26 3:29:00","SHRADDHA",2.42
"4th Sep'26 3:29:00","SHRIKRISH",2.42
"4th Sep'26 3:29:00","HDFCLIFE",2.42
"4th Sep'26 3:29:00","BORANA",2.41
"4th Sep'26 3:29:00","GOKUL",2.41
"4th Sep'26 3:29:00","FIEMIND",2.4
"4th Sep'26 3:29:00","AEPL",2.4
"4th Sep'26 3:29:00","INDIANCARD",2.4
"4th Sep'26 3:29:00","SHREEJISPG",2.39
"4th Sep'26 3:29:00","NIPPOBATRY",2.39
"4th Sep'26 3:29:00","INOXGREEN",2.39
"4th Sep'26 3:29:00","MOTILALOFS",2.39
"4th Sep'26 3:29:00","MEDPLUS",2.38
"4th Sep'26 3:29:00","CEIGALL",2.37
"4th Sep'26 3:29:00","ENKEIWHEL",2.36
"4th Sep'26 3:29:00","SALASAR",2.36
"4th Sep'26 3:29:00","POWERICA",2.36
"4th Sep'26 3:29:00","SAMPANN",2.36
"4th Sep'26 3:29:00","FEDFINA",2.34
"4th Sep'26 3:29:00","RSSOFTWARE",2.34
"4th Sep'26 3:29:00","AGARIND",2.34
"4th Sep'26 3:29:00","FOODSIN",2.34
"4th Sep'26 3:29:00","AKCAPIT",2.33
"4th Sep'26 3:29:00","AYE",2.33
"4th Sep'26 3:29:00","BOSCH-HCIL",2.31
"4th Sep'26 3:29:00","SALZERELEC",2.31
"4th Sep'26 3:29:00","KALYANKJIL",2.31
"4th Sep'26 3:29:00","SMCGLOBAL",2.3
"4th Sep'26 3:29:00","GUJAPOLLO",2.3
"4th Sep'26 3:29:00","UJJIVANSFB",2.29
"4th Sep'26 3:29:00","JNPR",2.28
"4th Sep'26 3:29:00","EDUCOMP",2.27
"4th Sep'26 3:29:00","VENUSPIPES",2.27
"4th Sep'26 3:29:00","RUCHIRA",2.26
"4th Sep'26 3:29:00","PARADEEP",2.26
"4th Sep'26 3:29:00","BSHSL",2.26
"4th Sep'26 3:29:00","VITAL",2.26
"4th Sep'26 3:29:00","MPDL",2.26
"4th Sep'26 3:29:00","TARC",2.25
"4th Sep'26 3:29:00","PANAMAPET",2.25
"4th Sep'26 3:29:00","ACSTECH",2.25
"4th Sep'26 3:29:00","JYOTISTRUC",2.24
"4th Sep'26 3:29:00","CANTABIL",2.23
"4th Sep'26 3:29:00","JTLIND",2.23
"4th Sep'26 3:29:00","SURANAT&P",2.22
"4th Sep'26 3:29:00","HINDZINC",2.22
"4th Sep'26 3:29:00","EBIX",2.22
"4th Sep'26 3:29:00","PRAVEG",2.21
"4th Sep'26 3:29:00","INTLCONV",2.19
"4th Sep'26 3:29:00","SIKA",2.19
"4th Sep'26 3:29:00","ORICONENT",2.19
"4th Sep'26 3:29:00","MOPSE",2.18
"4th Sep'26 3:29:00","VSTL",2.18
"4th Sep'26 3:29:00","DCMFINSERV",2.16
"4th Sep'26 3:29:00","MAXESTATES",2.15
"4th Sep'26 3:29:00","RATNAMANI",2.15
"4th Sep'26 3:29:00","20MICRONS",2.14
"4th Sep'26 3:29:00","TCIEXP",2.14
"4th Sep'26 3:29:00","ORCHPHARMA",2.14
"4th Sep'26 3:29:00","WAAREEENER",2.14
"4th Sep'26 3:29:00","ACCURACY",2.13
"4th Sep'26 3:29:00","OMINFRAL",2.12
"4th Sep'26 3:29:00","HGM",2.11
"4th Sep'26 3:29:00","VOLTAMP",2.11
"4th Sep'26 3:29:00","HALDYNGL",2.11
"4th Sep'26 3:29:00","ISGEC",2.11
"4th Sep'26 3:29:00","MSCI360",2.09
"4th Sep'26 3:29:00","KKCL",2.08
"4th Sep'26 3:29:00","CAPILLARY",2.08
"4th Sep'26 3:29:00","TRANSCOR",2.08
"4th Sep'26 3:29:00","TEXRAIL",2.08
"4th Sep'26 3:29:00","PAVNAIND",2.07
"4th Sep'26 3:29:00","VIYASH",2.07
"4th Sep'26 3:29:00","MMP",2.07
"4th Sep'26 3:29:00","CASTROLIND",2.07
"4th Sep'26 3:29:00","RELIGARE",2.06
"4th Sep'26 3:29:00","SAFARI",2.05
"4th Sep'26 3:29:00","YASHO",2.05
"4th Sep'26 3:29:00","URBANCO",2.05
"4th Sep'26 3:29:00","DELTAMAGNT",2.04
"4th Sep'26 3:29:00","BALAJITELE",2.04
"4th Sep'26 3:29:00","JINDRILL",2.02
"4th Sep'26 3:29:00","NOVARTIND",2.02
"4th Sep'26 3:29:00","BBNPNBETF",2.01
"4th Sep'26 3:29:00","GRMOVER",2
"4th Sep'26 3:29:00","AJMERA",2
"4th Sep'26 3:29:00","AERONEU",2
"4th Sep'26 3:29:00","KHADIM",2
"4th Sep'26 3:29:00","ASTRON",2
"4th Sep'26 3:29:00","ONMOBILE",2
"4th Sep'26 3:29:00","WELINV",2
"4th Sep'26 3:29:00","AMANTA",2
"4th Sep'26 3:29:00","DSKULKARNI",2
"4th Sep'26 3:29:00","RESPONIND",2
"4th Sep'26 3:29:00","NRL",1.99
"4th Sep'26 3:29:00","CORDELIA",1.99
"4th Sep'26 3:29:00","ROTO",1.99
"4th Sep'26 3:29:00","LYKALABS",1.99
"4th Sep'26 3:29:00","MODINATUR",1.99
"4th Sep'26 3:29:00","SANGINITA",1.99
"4th Sep'26 3:29:00","RELINFRA",1.99
"4th Sep'26 3:29:00","MAMATA",1.98
"4th Sep'26 3:29:00","GROWW",1.98
"4th Sep'26 3:29:00","VISHNU",1.97
"4th Sep'26 3:29:00","VIJIFIN",1.97
"4th Sep'26 3:29:00","PALASHSECU",1.97
"4th Sep'26 3:29:00","UNIECOM",1.97
"4th Sep'26 3:29:00","CHEMPLASTS",1.95
"4th Sep'26 3:29:00","OLAELEC",1.95
"4th Sep'26 3:29:00","PARSVNATH",1.95
"4th Sep'26 3:29:00","FABTECH",1.95
"4th Sep'26 3:29:00","CCAVENUE",1.95
"4th Sep'26 3:29:00","VINYLINDIA",1.95
"4th Sep'26 3:29:00","IMPEXFERRO",1.94
"4th Sep'26 3:29:00","AGIIL",1.94
"4th Sep'26 3:29:00","MALLCOM",1.94
"4th Sep'26 3:29:00","IKIO",1.93
"4th Sep'26 3:29:00","MAHASTEEL",1.93
"4th Sep'26 3:29:00","QUINT",1.93
