"Date","Abv 10ma","Abv 20ma","Abv 50ma","Abv 200ma"
"19th Nov'25",29.93,29.93,30.95,34.41
"18th Nov'25",31.48,30.36,31.2,34.98
"17th Nov'25",39.1,36.91,34.82,37.15
"14th Nov'25",34.88,33.89,33.38,35.86
"13th Nov'25",34.78,33.05,33.61,36.8
"12th Nov'25",37.7,34.66,34.66,37.47
"11th Nov'25",28.21,27.88,30.22,35.8
"10th Nov'25",27.54,29.12,31.13,36.16
"7th Nov'25",26.83,29.83,31.89,36.02
"6th Nov'25",23.18,27.5,31.49,35.57
"4th Nov'25",37.21,39.09,39.23,40.54
"3rd Nov'25",48.23,47.2,44.35,42.58
"31st Oct'25",42.94,42.47,41.44,41.16
"30th Oct'25",51.55,48.87,44.87,42.29
"29th Oct'25",55.03,50.8,44.83,42.9
"28th Oct'25",44.2,42.66,40.69,40.92
"27th Oct'25",46.57,43.44,40.5,41.72
"24th Oct'25",44.81,41.91,39.28,40.5
"23rd Oct'25",52.72,45.35,41.13,41.69
"21st Oct'25",59.9,47.91,42.08,42.03
"20th Oct'25",42.36,37.74,36.06,39.65
"17th Oct'25",33.93,33.27,33.65,38.06
"16th Oct'25",41.12,36.98,36.47,39.76
"15th Oct'25",34.09,31.97,34.23,38.22
"14th Oct'25",23.75,26.06,30.67,36.64
"13th Oct'25",33.46,34.16,36.55,39.88
"10th Oct'25",45.5,41.3,39.42,41.91
"9th Oct'25",37.35,36.93,37.21,40.79
"8th Oct'25",34.39,34.86,36.69,40.08
"7th Oct'25",38.66,36.96,38.14,40.59
"6th Oct'25",42.33,38.81,39.18,40.59
"3rd Oct'25",48.32,41.1,40.39,42.18
"1st Oct'25",33.02,31.17,34.58,39.5
"30th Sep'25",20.16,21.87,27.7,35.58
"29th Sep'25",16.68,20.79,28.26,35.54
"26th Sep'25",13.95,20.56,27.94,35.98
"25th Sep'25",26.36,34.94,40.09,41.9
"24th Sep'25",34.94,42.04,46.14,44.76
"23rd Sep'25",42.94,48.85,50,46.28
"22nd Sep'25",49.12,53.87,52.49,48.17
"19th Sep'25",62.53,63.25,57.14,49.64
