"Date","4% advance","4% decline","Net breadth","3% range","5d range","Volume","+15% in 5d","-10% in 5d","10% + 10ema","10% - 10ema"
"19th Mar'26",1.63,22.71,-21.07,26.25,0.863,0.466,0.727,5.81,0.499,1.09
"18th Mar'26",20.91,1,19.91,23.23,1.23,1.43,1.09,3.36,1.18,0.545
"17th Mar'26",7.23,2.82,4.41,34.06,0.637,0.916,0.819,6.91,0.637,1.96
"16th Mar'26",3.35,10.9,-7.56,12.08,0.679,1.58,0.95,5.02,0.588,2.85
"13th Mar'26",1.59,26.86,-25.27,15.27,0.727,1.42,1.14,8.27,0.682,2.45
"12th Mar'26",4.87,4.14,0.728,22.7,0.773,0.919,1.59,3.18,1,0.955
"11th Mar'26",6.09,3.77,2.32,23.15,1,0.809,1.73,1.96,1,1.23
"10th Mar'26",18.47,1.5,16.97,28.8,0.91,0.866,1.27,3.5,0.728,1.27
"9th Mar'26",2.18,22.62,-20.44,16.18,0.816,0.875,0.816,20.17,0.861,3.63
"6th Mar'26",4.83,3.83,1,34.93,0.501,0.383,0.729,9.93,0.455,1.78
"5th Mar'26",8.97,1.96,7.02,25.69,0.319,0.617,0.82,7.97,0.547,2.05
"4th Mar'26",3.32,19.99,-16.67,23.68,0.501,1.09,0.683,12.34,0.41,3.83
"2nd Mar'26",1.72,23.83,-22.11,13.3,0.999,1.38,0.772,8.9,0.545,2.13
"27th Feb'26",3.42,5.43,-2.01,40.53,6.8,0.526,0.959,4.11,0.73,1.05
"26th Feb'26",5.02,2.05,2.97,44.59,7.58,0.407,1.19,4.02,1.05,0.913
"25th Feb'26",4.52,3.84,0.685,41,5.43,0.382,0.959,5.57,0.731,1.46
"24th Feb'26",1.83,7.5,-5.67,38.85,6.35,0.331,1.14,4.3,0.548,1.46
"23rd Feb'26",3.73,4.64,-0.91,37.12,6.82,0.318,1.5,2.14,0.864,0.91
"20th Feb'26",3.7,2.74,0.959,47.4,6.76,0.236,1.46,3.61,1,0.731
"19th Feb'26",2.79,5.58,-2.79,31.12,6.54,0.251,1.1,5.21,1.01,0.777
"18th Feb'26",4.94,2.15,2.79,47.19,4.8,0.314,1.23,4.76,1.23,0.549
"17th Feb'26",7.59,2.1,5.49,40.76,3.98,0.335,1.28,6.04,1.42,0.595
"16th Feb'26",3.69,8.44,-4.74,36.84,3.15,0.351,1.6,6.25,1.14,1.09
"13th Feb'26",2.8,10.82,-8.02,33,3.12,0.487,3.21,2.25,1.51,1.1
"12th Feb'26",4.45,6.74,-2.29,39.87,3.67,0.515,3.67,1.6,2.7,0.458
"11th Feb'26",6.32,4.63,1.7,37.08,3.62,0.668,3.48,1.19,3.21,0.275
"10th Feb'26",9.59,2.71,6.88,36.47,3.26,1.07,4.17,0.963,3.9,0.183
"9th Feb'26",23.21,1.69,21.52,26.63,2.06,1.41,9,0.868,3.79,0.228
"6th Feb'26",4.76,4.76,0,37.06,0.641,0.366,4.4,1.28,1.79,0.412
"5th Feb'26",4.72,5.64,-0.917,34.78,0.779,0.386,4.22,1.56,2.89,0.229
"4th Feb'26",14.43,3.02,11.41,27.76,0.825,0.937,5.04,1.01,3.8,0.229
"3rd Feb'26",30,1.05,28.95,11.18,0.596,2.49,3.3,1.69,3.34,0.458
"2nd Feb'26",4.66,5.17,-0.503,15.13,1.55,0.405,2.19,2.15,0.686,1.01
"1st Feb'26",4.9,12.18,-7.28,12.64,1.37,0.235,2.52,2.38,0.733,0.962
"30th Jan'26",11.33,3.94,7.39,20.28,1.65,0.928,1.79,2.75,1.19,0.917
"29th Jan'26",6.7,5.51,1.19,25.47,2.11,0.821,2.8,2.57,1.47,1.28
"28th Jan'26",22.03,1.7,20.33,26.76,1.79,0.759,1.24,3.07,0.78,1.24
"27th Jan'26",5.99,7.54,-1.55,18.69,1.69,0.979,0.411,13.85,0.457,3.06
"23rd Jan'26",2.66,15.66,-13,19.02,1.75,0.508,0.23,17.18,0.276,3.54
"22nd Jan'26",12.26,2.16,10.1,29.94,1.79,0.519,0.276,9.09,0.321,1.65
"21st Jan'26",2.48,12.3,-9.83,16.85,1.79,2.38,0.505,15.79,0.23,5.28
"20th Jan'26",1.06,28.39,-27.33,17.96,2.99,1.56,0.873,8.59,0.413,2.89
"19th Jan'26",2.33,7.82,-5.49,41.17,5.76,0.452,1.1,3.29,0.732,0.915
"16th Jan'26",4.46,3.82,0.644,41.46,4.65,0.6,0.92,3.36,0.782,0.322
"14th Jan'26",4.6,1.93,2.67,48.83,3.27,0.399,0.828,6.35,0.506,0.414
"13th Jan'26",4.42,1.93,2.48,40.16,2.53,0.384,0.552,6.07,0.46,0.874
"12th Jan'26",3.16,5.87,-2.7,23.97,2.2,1.26,0.504,7.24,0.412,1.24
"9th Jan'26",1.2,9.4,-8.2,31.74,3.68,1,0.783,6.54,0.507,0.783
"8th Jan'26",1.2,10.36,-9.17,31.37,7.28,0.929,1.06,2.44,0.691,0.599
"7th Jan'26",4.97,1.38,3.59,55.68,12.24,0.627,1.89,1.61,1.43,0.322
"6th Jan'26",3.22,2.81,0.414,52.19,12.56,0.67,1.98,0.92,1.47,0.276
"5th Jan'26",4.36,3.67,0.688,46.45,12.93,0.805,1.83,1.01,1.47,0.413
"2nd Jan'26",7.1,1.24,5.85,52.49,14.24,0.734,1.52,1.11,1.38,0.323
"1st Jan'26",4.79,1.43,3.36,59.87,14.54,0.227,1.33,1.38,0.92,0.276
"31st Dec'25",6.36,1.52,4.84,50,11.84,0.668,1.47,1.43,1.11,0.323
"30th Dec'25",4.24,2.81,1.43,50.18,12.44,0.719,1.52,1.61,0.922,0.415
"29th Dec'25",3.12,4.54,-1.42,45.43,14.13,0.711,1.93,1.56,1.24,0.505
"26th Dec'25",3.83,2.4,1.43,53.2,13,0.491,2.44,0.784,1.48,0.231
"24th Dec'25",4.01,1.84,2.17,54.08,11.16,0.555,2.07,0.968,1.15,0.184
"23rd Dec'25",5.21,1.71,3.5,55.42,11.57,0.573,1.52,1.01,1.2,0.231
"22nd Dec'25",9.05,1.7,7.35,50.09,11.31,0.746,1.33,1.33,1.19,0.322
"19th Dec'25",6.28,1.48,4.8,48.55,12,0.504,1.25,1.11,0.923,0.323
"18th Dec'25",3.05,2.77,0.277,50.3,11.87,0.351,1.52,1.71,0.693,0.462
"17th Dec'25",2.26,4.8,-2.54,51.52,15,0.302,2.03,1.48,0.877,0.415
"16th Dec'25",2.63,2.82,-0.185,55.82,14.23,0.291,1.89,0.878,1.2,0.324
"15th Dec'25",5.58,1.98,3.59,53.04,7.19,0.318,2.3,0.83,1.29,0.277
"12th Dec'25",6.44,1.11,5.32,56.02,5.83,0.328,1.02,1.34,0.694,0.278
"11th Dec'25",4.91,1.43,3.47,49.38,5.46,0.268,0.879,1.85,0.602,0.602
"10th Dec'25",3.84,2.59,1.25,36.05,4.81,0.318,0.787,3.1,0.555,0.787
"9th Dec'25",8.99,1.34,7.65,19.75,4.64,0.979,0.742,3.8,0.51,0.649
"8th Dec'25",1.85,18.68,-16.83,20.43,6.98,0.838,0.786,8.88,0.647,1.9
