"Date","Symbol","% 3 qtrs ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtrs"
"4th Sep'26 3:29:00","DIAMONDYD",30.39,32.5,31.95,31.03,0.635
"4th Sep'26 3:29:00","HINDWAREAP",37.47,38.11,37.77,38.09,0.628
"4th Sep'26 3:29:00","IGIL",7.83,7.75,8.39,8.46,0.628
"4th Sep'26 3:29:00","SNOWMAN",44.89,45.35,45.41,45.51,0.627
"4th Sep'26 3:29:00","ACC",14.65,14.88,14.71,15.28,0.626
"4th Sep'26 3:29:00","SAMBHV",38.53,39.51,39.21,39.15,0.622
"4th Sep'26 3:29:00","IGL",9.15,8.68,8.79,9.77,0.622
"4th Sep'26 3:29:00","CEIGALL",9.79,9.97,9.44,10.41,0.619
"4th Sep'26 3:29:00","SMARTWORKS",16.16,16.83,16.76,16.78,0.617
"4th Sep'26 3:29:00","FIRSTCRY",39.81,40.1,39.44,40.43,0.612
"4th Sep'26 3:29:00","PGHH",11.89,11.95,12.13,12.5,0.611
"4th Sep'26 3:29:00","GPTINFRA",16.03,16.95,16.88,16.64,0.611
"4th Sep'26 3:29:00","JSWCEMENT",8.82,9.71,9.46,9.42,0.603
"4th Sep'26 3:29:00","EIDPARRY",29.33,28.74,28.68,29.93,0.603
"4th Sep'26 3:29:00","GODFRYPHLP",14.34,14,15.18,14.94,0.602
"4th Sep'26 3:29:00","BAJAJHCARE",36.7,36.67,36.82,37.3,0.6
"4th Sep'26 3:29:00","MOL",49.39,49.54,49.56,49.99,0.6
"4th Sep'26 3:29:00","BANSWRAS",36.02,36.17,36.62,36.62,0.599
"4th Sep'26 3:29:00","KMSUGAR",42.77,42.82,43.3,43.37,0.596
"4th Sep'26 3:29:00","LANDMARK",26.11,23.9,24.36,26.7,0.593
"4th Sep'26 3:29:00","SOBHA",14.39,14.67,15.06,14.98,0.591
"4th Sep'26 3:29:00","FINEORG",8.41,8.77,8.95,9,0.59
"4th Sep'26 3:29:00","BLUSPRING",26.92,27.39,27.34,27.5,0.586
"4th Sep'26 3:29:00","MCLEODRUSS",89.64,90.22,89.83,90.23,0.584
"4th Sep'26 3:29:00","MAHASTEEL",25.07,24.46,25.58,25.65,0.581
"4th Sep'26 3:29:00","VINATIORGA",11.37,11.1,11.12,11.95,0.579
"4th Sep'26 3:29:00","MUTHOOTFIN",3.69,3.76,3.91,4.27,0.579
"4th Sep'26 3:29:00","IMAGICAA",23.14,23.42,23.39,23.72,0.577
"4th Sep'26 3:29:00","SYRMA",33.18,34.51,34.13,33.76,0.574
"4th Sep'26 3:29:00","RAJVIR",24.47,25.04,25.04,25.04,0.57
"4th Sep'26 3:29:00","TRANSRAILL",19.31,19.55,18.57,19.88,0.565
"4th Sep'26 3:29:00","CARBORUNIV",19.86,19.61,20.43,20.43,0.563
"4th Sep'26 3:29:00","BBL",43.86,44.67,43.83,44.42,0.562
"4th Sep'26 3:29:00","BANCOINDIA",26.5,26.98,26.93,27.06,0.558
"4th Sep'26 3:29:00","LXCHEM",25.31,25.14,25.16,25.87,0.557
"4th Sep'26 3:29:00","ORIENTHOT",28.53,29.94,29.39,29.09,0.554
"4th Sep'26 3:29:00","HEIDELBERG",14.77,14.83,14.9,15.32,0.551
"4th Sep'26 3:29:00","TCIEXP",18.76,18.79,18.78,19.31,0.55
"4th Sep'26 3:29:00","KHAICHEM",23.21,23.47,23.52,23.76,0.549
"4th Sep'26 3:29:00","STOVEKRAFT",35.35,34.98,35.42,35.9,0.544
"4th Sep'26 3:29:00","DATAMATICS",32.36,32.46,32.83,32.9,0.535
"4th Sep'26 3:29:00","CAPACITE",45.89,45.68,45.53,46.42,0.528
"4th Sep'26 3:29:00","VTL",13.15,13.01,12.72,13.68,0.527
"4th Sep'26 3:29:00","BOSCH-HCIL",17.54,15.25,15.2,18.06,0.525
"4th Sep'26 3:29:00","SOLEX",32.75,32.63,32.91,33.26,0.517
"4th Sep'26 3:29:00","TOLINS",29.3,28.82,29.2,29.82,0.517
"4th Sep'26 3:29:00","DCAL",31.22,31.73,31.58,31.73,0.516
"4th Sep'26 3:29:00","BDL",11.34,11.83,12.09,11.85,0.514
"4th Sep'26 3:29:00","INDIGOPNTS",14.62,13.77,15.69,15.13,0.51
"4th Sep'26 3:29:00","PURVA",7.27,7.3,7.72,7.78,0.507
"4th Sep'26 3:29:00","NIRAJ",74.47,75.02,75.02,74.98,0.506
"4th Sep'26 3:29:00","ZUARI",31.45,31.59,31.46,31.94,0.495
"4th Sep'26 3:29:00","SDBL",59.89,59.66,59.36,60.39,0.495
"4th Sep'26 3:29:00","NESCO",20.83,21.26,21.24,21.32,0.495
"4th Sep'26 3:29:00","IFGLEXPOR",12.31,12.24,12.53,12.8,0.492
"4th Sep'26 3:29:00","MOLDTKPAC",35.4,35.66,35.37,35.89,0.492
"4th Sep'26 3:29:00","FLEXITUFF",59.7,59.7,59.7,60.19,0.49
"4th Sep'26 3:29:00","ANTELOPUS",27.77,29.24,29.15,28.26,0.488
"4th Sep'26 3:29:00","TCS",5.18,4.96,5.13,5.67,0.486
"4th Sep'26 3:29:00","PNC",39.8,40.28,40.28,40.28,0.484
"4th Sep'26 3:29:00","VENTIVE",4.12,4.23,4.43,4.6,0.483
"4th Sep'26 3:29:00","BALKRISIND",6.04,6.01,6.06,6.52,0.482
"4th Sep'26 3:29:00","GREENPOWER",73.33,73.28,73.48,73.81,0.482
"4th Sep'26 3:29:00","AVALON",22.55,22.51,22.93,23.03,0.48
"4th Sep'26 3:29:00","DYCL",29.69,30.26,29.65,30.17,0.479
"4th Sep'26 3:29:00","ALOKINDS",22.17,22.12,22.06,22.65,0.478
"4th Sep'26 3:29:00","BLKASHYAP",37.3,37.73,37.74,37.77,0.476
"4th Sep'26 3:29:00","ZODIAC",29.17,29.36,29.63,29.65,0.476
"4th Sep'26 3:29:00","PLATIND",25.41,26.34,25.72,25.88,0.476
"4th Sep'26 3:29:00","SUPREMEIND",14,14.22,14.31,14.48,0.475
"4th Sep'26 3:29:00","VIPCLOTHNG",51.78,51.82,52.12,52.26,0.475
"4th Sep'26 3:29:00","CONCOR",7.02,7.46,7.11,7.49,0.474
"4th Sep'26 3:29:00","SBICARD",3.55,3.42,3.42,4.03,0.474
"4th Sep'26 3:29:00","BCG",80.06,79.98,80.33,80.53,0.47
"4th Sep'26 3:29:00","VSSL",19.7,20.06,20.09,20.16,0.469
"4th Sep'26 3:29:00","METROPOLIS",4.46,4.65,4.85,4.92,0.465
"4th Sep'26 3:29:00","SUTLEJTEX",33.76,33.75,34.11,34.22,0.464
"4th Sep'26 3:29:00","LT",37.17,36.92,37.79,37.63,0.463
"4th Sep'26 3:29:00","DYNPRO",69.48,69.34,69.9,69.94,0.46
"4th Sep'26 3:29:00","M&M",14.57,14.59,14.85,15.03,0.459
"4th Sep'26 3:29:00","UNITECH",92.95,93.08,93.12,93.41,0.458
"4th Sep'26 3:29:00","CONTROLPR",41.83,41.94,42.15,42.29,0.457
"4th Sep'26 3:29:00","PNBGILTS",25.26,25.02,25.48,25.71,0.455
"4th Sep'26 3:29:00","KPIL",10.24,10.68,10.26,10.69,0.45
"4th Sep'26 3:29:00","AEGISVOPAK",1.96,2.06,2.28,2.41,0.449
"4th Sep'26 3:29:00","MHRIL",17.8,17.36,16.94,18.25,0.449
"4th Sep'26 3:29:00","JSWHL",10.81,10.7,10.96,11.25,0.445
"4th Sep'26 3:29:00","ARCHIES",37.53,37.53,37.54,37.98,0.445
"4th Sep'26 3:29:00","JUBLFOOD",6.36,6.16,5.85,6.8,0.442
"4th Sep'26 3:29:00","CAMPUS",10.05,10.02,10.23,10.49,0.442
"4th Sep'26 3:29:00","VIJAYA",3.79,3.71,4.18,4.23,0.438
"4th Sep'26 3:29:00","TNTELE",17.33,17.75,17.77,17.77,0.437
"4th Sep'26 3:29:00","AGARWALEYE",1.5,1.73,1.83,1.93,0.436
"4th Sep'26 3:29:00","MAHLIFE",16.73,16.66,16.81,17.17,0.436
"4th Sep'26 3:29:00","UNICHEMLAB",16.95,16.96,17.08,17.38,0.43
"4th Sep'26 3:29:00","RKFORGE",30.58,31.08,30.4,31.01,0.43
"4th Sep'26 3:29:00","PASHUPATI",20.46,20.41,20.6,20.89,0.428
"4th Sep'26 3:29:00","TASTYBITE",20.14,20.07,20.08,20.57,0.426
"4th Sep'26 3:29:00","RSSOFTWARE",54.65,54.67,55.37,55.07,0.424
"4th Sep'26 3:29:00","CROMPTON",12.9,13.39,13.06,13.32,0.419
"4th Sep'26 3:29:00","SHOPERSTOP",5.9,6.01,6.44,6.32,0.419
"4th Sep'26 3:29:00","SURYODAY",49.22,49.42,49.5,49.63,0.417
"4th Sep'26 3:29:00","SWSOLAR",43.99,44.1,44.11,44.41,0.413
"4th Sep'26 3:29:00","IZMO",60.5,60.99,61.02,60.91,0.412
"4th Sep'26 3:29:00","LMW",53.37,53.43,53.59,53.78,0.408
"4th Sep'26 3:29:00","MAITHANALL",23.54,23.71,23.75,23.94,0.407
"4th Sep'26 3:29:00","FEDFINA",18.4,19.83,19.43,18.8,0.405
"4th Sep'26 3:29:00","AMRUTANJAN",36.84,36.85,37.12,37.25,0.404
"4th Sep'26 3:29:00","COCHINSHIP",21.89,22.39,22.88,22.3,0.403
"4th Sep'26 3:29:00","BALRAMCHIN",17.89,18.65,18.6,18.29,0.401
"4th Sep'26 3:29:00","DCMSRIND",32.21,32.19,32.51,32.61,0.398
"4th Sep'26 3:29:00","MACPOWER",25.42,25.44,26.83,25.82,0.396
"4th Sep'26 3:29:00","SAFARI",13.04,12.72,12.85,13.43,0.395
"4th Sep'26 3:29:00","EUREKAFORB",15.22,15.01,15.51,15.62,0.394
"4th Sep'26 3:29:00","RAMCOIND",40.04,40.78,40.68,40.43,0.389
"4th Sep'26 3:29:00","AWL",13.12,12.64,12.83,13.51,0.386
"4th Sep'26 3:29:00","DDEVPLSTIK",21.42,21.49,21.81,21.8,0.383
"4th Sep'26 3:29:00","GSFC",35.71,36.59,36.12,36.09,0.382
"4th Sep'26 3:29:00","KRISHIVAL",50.98,50.97,51.41,51.35,0.379
"4th Sep'26 3:29:00","KPIGREEN",41.37,41.42,41.61,41.75,0.378
"4th Sep'26 3:29:00","BRNL",47.22,47.91,47.91,47.6,0.377
"4th Sep'26 3:29:00","TARC",26.77,27.05,27.26,27.15,0.376
"4th Sep'26 3:29:00","NDGL",18.98,19.3,19.31,19.35,0.374
"4th Sep'26 3:29:00","SRD",25.98,26.25,26.36,26.36,0.373
"4th Sep'26 3:29:00","GOODYEAR",15.87,15.93,16.01,16.24,0.372
"4th Sep'26 3:29:00","LUXIND",19.91,19.98,20.25,20.28,0.368
"4th Sep'26 3:29:00","ORIENTPPR",58.18,58.22,58.4,58.54,0.365
"4th Sep'26 3:29:00","KALPATARU",4.19,4.19,4.27,4.55,0.363
"4th Sep'26 3:29:00","HUDCO",12.14,11.57,11.74,12.5,0.362
"4th Sep'26 3:29:00","VEEDOL",32.49,32.69,32.8,32.85,0.36
"4th Sep'26 3:29:00","BLUEDART",6.69,7.11,6.91,7.05,0.359
"4th Sep'26 3:29:00","KNAGRI",27.52,27.48,25.88,27.88,0.355
