date,time,group,percentage
2023-10-23,00:00,largecap,74.8428
2023-10-23,00:00,midcap,77.1676
2023-10-23,00:00,smallcap,67.9688
2023-10-30,00:00,largecap,77.918
2023-10-30,00:00,midcap,80.1749
2023-10-30,00:00,smallcap,73.1673
2023-11-06,00:00,largecap,82.9653
2023-11-06,00:00,midcap,83.4783
2023-11-06,00:00,smallcap,74.4666
2023-11-13,00:00,largecap,84.858
2023-11-13,00:00,midcap,84.3931
2023-11-13,00:00,smallcap,76.5747
2023-11-20,00:00,largecap,84.2271
2023-11-20,00:00,midcap,86.7435
2023-11-20,00:00,smallcap,78.3439
2023-11-28,00:00,largecap,88.3281
2023-11-28,00:00,midcap,88.7608
2023-11-28,00:00,smallcap,79.9009
2023-12-04,00:00,largecap,91.8495
2023-12-04,00:00,midcap,89.3678
2023-12-04,00:00,smallcap,80.9591
2023-12-11,00:00,largecap,93.4169
2023-12-11,00:00,midcap,90.5172
2023-12-11,00:00,smallcap,83.404
2023-12-18,00:00,largecap,91.8495
2023-12-18,00:00,midcap,87.3563
2023-12-18,00:00,smallcap,83.1921
2023-12-26,00:00,largecap,94.6708
2023-12-26,00:00,midcap,90.3134
2023-12-26,00:00,smallcap,84.3399
2024-01-01,00:00,largecap,95.6113
2024-01-01,00:00,midcap,88.9831
2024-01-01,00:00,smallcap,88.2435
2024-01-08,00:00,largecap,93.4169
2024-01-08,00:00,midcap,88.7006
2024-01-08,00:00,smallcap,89.3007
2024-01-15,00:00,largecap,90.5956
2024-01-15,00:00,midcap,86.7232
2024-01-15,00:00,smallcap,86.9048
2024-01-23,00:00,largecap,85.3125
2024-01-23,00:00,midcap,86.7232
2024-01-23,00:00,smallcap,84.0195
2024-01-29,00:00,largecap,87.8125
2024-01-29,00:00,midcap,86.7232
2024-01-29,00:00,smallcap,86.3415
2024-02-05,00:00,largecap,83.75
2024-02-05,00:00,midcap,82.7684
2024-02-05,00:00,smallcap,83.6919
2024-02-12,00:00,largecap,86.25
2024-02-12,00:00,midcap,81.9209
2024-02-12,00:00,smallcap,80.9986
2024-02-19,00:00,largecap,86.2928
2024-02-19,00:00,midcap,82.3529
2024-02-19,00:00,smallcap,81.8871
2024-02-26,00:00,largecap,85.9813
2024-02-26,00:00,midcap,79.2717
2024-02-26,00:00,smallcap,78.3895
2024-03-04,00:00,largecap,82.5545
2024-03-04,00:00,midcap,74.7899
2024-03-04,00:00,smallcap,71.6541
2024-03-11,00:00,largecap,76.324
2024-03-11,00:00,midcap,59.3838
2024-03-11,00:00,smallcap,50.8219
2024-03-18,00:00,largecap,79.1277
2024-03-18,00:00,midcap,64.7059
2024-03-18,00:00,smallcap,54.4148
2024-03-26,00:00,largecap,81.6199
2024-03-26,00:00,midcap,64.4258
2024-03-26,00:00,smallcap,50.7138
2024-04-01,00:00,largecap,85.6698
2024-04-01,00:00,midcap,81.2325
2024-04-01,00:00,smallcap,74.5071
2024-04-08,00:00,largecap,85.6698
2024-04-08,00:00,midcap,82.0728
2024-04-08,00:00,smallcap,70.2373
2024-04-15,00:00,largecap,82.6087
2024-04-15,00:00,midcap,76.1905
2024-04-15,00:00,smallcap,64.7059
2024-04-22,00:00,largecap,83.5404
2024-04-22,00:00,midcap,82.3529
2024-04-22,00:00,smallcap,72.5371
2024-04-29,00:00,largecap,83.2817
2024-04-29,00:00,midcap,81.2849
2024-04-29,00:00,smallcap,71.1201
2024-05-06,00:00,largecap,79.257
2024-05-06,00:00,midcap,73.1844
2024-05-06,00:00,smallcap,59.1919
2024-05-13,00:00,largecap,84.8297
2024-05-13,00:00,midcap,79.1086
2024-05-13,00:00,smallcap,68.5098
2024-05-21,00:00,largecap,84.5201
2024-05-21,00:00,midcap,74.7922
2024-05-21,00:00,smallcap,64.7099
2024-05-27,00:00,largecap,79.9383
2024-05-27,00:00,midcap,70.3601
2024-05-27,00:00,smallcap,55.0168
2024-06-03,00:00,largecap,87.963
2024-06-03,00:00,midcap,78.6704
2024-06-03,00:00,smallcap,61.1559
2024-06-10,00:00,largecap,90.1235
2024-06-10,00:00,midcap,88.3657
2024-06-10,00:00,smallcap,72.8064
2024-06-18,00:00,largecap,91.358
2024-06-18,00:00,midcap,87.8453
2024-06-18,00:00,smallcap,74.9664
2024-06-24,00:00,largecap,90.4321
2024-06-24,00:00,midcap,87.2928
2024-06-24,00:00,smallcap,73.2441
2024-07-01,00:00,largecap,92.5926
2024-07-01,00:00,midcap,91.989
2024-07-01,00:00,smallcap,79.0247
2024-07-08,00:00,largecap,91.0494
2024-07-08,00:00,midcap,91.7355
2024-07-08,00:00,smallcap,77.6
2024-07-15,00:00,largecap,88.9231
2024-07-15,00:00,midcap,86.7769
2024-07-15,00:00,smallcap,70.9635
2024-07-22,00:00,largecap,89.8462
2024-07-22,00:00,midcap,90.3581
2024-07-22,00:00,smallcap,77.704
2024-07-29,00:00,largecap,92.6154
2024-07-29,00:00,midcap,90.3581
2024-07-29,00:00,smallcap,78.7135
2024-08-05,00:00,largecap,87.6923
2024-08-05,00:00,midcap,83.7466
2024-08-05,00:00,smallcap,72.7032
2024-08-12,00:00,largecap,88.3077
2024-08-12,00:00,midcap,77.3842
2024-08-12,00:00,smallcap,68.3653
2024-08-19,00:00,largecap,90.1538
2024-08-19,00:00,midcap,85.0543
2024-08-19,00:00,smallcap,78.3641
2024-08-26,00:00,largecap,90.1538
2024-08-26,00:00,midcap,84.2391
2024-08-26,00:00,smallcap,77.3896
2024-09-02,00:00,largecap,86.4615
2024-09-02,00:00,midcap,83.1522
2024-09-02,00:00,smallcap,74.524
2024-09-09,00:00,largecap,89.5706
2024-09-09,00:00,midcap,85.3261
2024-09-09,00:00,smallcap,77.5163
2024-09-16,00:00,largecap,86.2385
2024-09-16,00:00,midcap,82.973
2024-09-16,00:00,smallcap,73.4548
2024-09-23,00:00,largecap,88.3792
2024-09-23,00:00,midcap,82.2102
2024-09-23,00:00,smallcap,73.5065
2024-09-30,00:00,largecap,81.9572
2024-09-30,00:00,midcap,77.628
2024-09-30,00:00,smallcap,67.4434
2024-10-07,00:00,largecap,77.6758
2024-10-07,00:00,midcap,78.7634
2024-10-07,00:00,smallcap,68.1525
2024-10-14,00:00,largecap,74.0061
2024-10-14,00:00,midcap,77.6882
2024-10-14,00:00,smallcap,64.4516
2024-10-21,00:00,largecap,52.5994
2024-10-21,00:00,midcap,53.8874
2024-10-21,00:00,smallcap,45.3901
2024-10-28,00:00,largecap,61.2805
2024-10-28,00:00,midcap,69.086
2024-10-28,00:00,smallcap,59.8841
2024-11-04,00:00,largecap,59.5745
2024-11-04,00:00,midcap,63.9037
2024-11-04,00:00,smallcap,59.4352
2024-11-11,00:00,largecap,44.3769
2024-11-11,00:00,midcap,49.0667
2024-11-11,00:00,smallcap,41.2179
2024-11-18,00:00,largecap,47.2892
2024-11-18,00:00,midcap,48.8064
2024-11-18,00:00,smallcap,43.5339
2024-11-25,00:00,largecap,58.7349
2024-11-25,00:00,midcap,63.7566
2024-11-25,00:00,smallcap,54.4444
2024-12-02,00:00,largecap,68.4685
2024-12-02,00:00,midcap,72.7513
2024-12-02,00:00,smallcap,66.6255
2024-12-09,00:00,largecap,63.0631
2024-12-09,00:00,midcap,71.164
2024-12-09,00:00,smallcap,66.5638
2024-12-16,00:00,largecap,48.9489
2024-12-16,00:00,midcap,60.8466
2024-12-16,00:00,smallcap,52.8069
2024-12-23,00:00,largecap,49.7024
2024-12-23,00:00,midcap,57.7836
2024-12-23,00:00,smallcap,51.9385
2024-12-30,00:00,largecap,53.5714
2024-12-30,00:00,midcap,63.8743
2024-12-30,00:00,smallcap,56.7402
2025-01-06,00:00,largecap,38.3929
2025-01-06,00:00,midcap,44.9086
2025-01-06,00:00,smallcap,36.8486
2025-01-13,00:00,largecap,38.0952
2025-01-13,00:00,midcap,40.625
2025-01-13,00:00,smallcap,35.561
2025-01-20,00:00,largecap,30.3571
2025-01-20,00:00,midcap,29.6875
2025-01-20,00:00,smallcap,29.5302
2025-01-27,00:00,largecap,33.631
2025-01-27,00:00,midcap,30.0518
2025-01-27,00:00,smallcap,29.6522
2025-02-03,00:00,largecap,34.1246
2025-02-03,00:00,midcap,37.0466
2025-02-03,00:00,smallcap,30.464
2025-02-10,00:00,largecap,18.6944
2025-02-10,00:00,midcap,12.6615
2025-02-10,00:00,smallcap,16.9399
2025-02-17,00:00,largecap,21.6617
2025-02-17,00:00,midcap,19.5876
2025-02-17,00:00,smallcap,16.6262
2025-02-24,00:00,largecap,14.5401
2025-02-24,00:00,midcap,8.2262
2025-02-24,00:00,smallcap,12.7801
2025-03-03,00:00,largecap,19.2878
2025-03-03,00:00,midcap,18.2051
2025-03-03,00:00,smallcap,15.748
2025-03-10,00:00,largecap,17.2107
2025-03-10,00:00,midcap,13.0769
2025-03-10,00:00,smallcap,13.1197
2025-03-17,00:00,largecap,33.5312
2025-03-17,00:00,midcap,27.1795
2025-03-17,00:00,smallcap,19.7709
2025-03-24,00:00,largecap,36.7953
2025-03-24,00:00,midcap,25.8974
2025-03-24,00:00,smallcap,20.0721
2025-04-01,00:00,largecap,33.5312
2025-04-01,00:00,midcap,22.5641
2025-04-01,00:00,smallcap,19.6525
2025-04-07,00:00,largecap,34.4214
2025-04-07,00:00,midcap,23.3333
2025-04-07,00:00,smallcap,18.5963
2025-04-15,00:00,largecap,45.9941
2025-04-15,00:00,midcap,35.2941
2025-04-15,00:00,smallcap,29.4258
2025-04-21,00:00,largecap,46.8843
2025-04-21,00:00,midcap,35.8056
2025-04-21,00:00,smallcap,29.4856
2025-04-28,00:00,largecap,47.181
2025-04-28,00:00,midcap,28.9003
2025-04-28,00:00,smallcap,26.969
2025-05-05,00:00,largecap,40.3561
2025-05-05,00:00,midcap,28.133
2025-05-05,00:00,smallcap,22.7056
2025-05-12,00:00,largecap,68.0473
2025-05-12,00:00,midcap,59.2308
2025-05-12,00:00,smallcap,43.9547
2025-05-19,00:00,largecap,67.7515
2025-05-19,00:00,midcap,63.6829
2025-05-19,00:00,smallcap,45.6871
2025-05-26,00:00,largecap,70.4142
2025-05-26,00:00,midcap,65.2174
2025-05-26,00:00,smallcap,46.6429
2025-06-02,00:00,largecap,75.8824
2025-06-02,00:00,midcap,66.5816
2025-06-02,00:00,smallcap,51.3353
2025-06-09,00:00,largecap,70.2941
2025-06-09,00:00,midcap,65.5612
2025-06-09,00:00,smallcap,53.2583
2025-06-16,00:00,largecap,65.8824
2025-06-16,00:00,midcap,55.102
2025-06-16,00:00,smallcap,47.3156
2025-06-23,00:00,largecap,72.7273
2025-06-23,00:00,midcap,70.229
2025-06-23,00:00,smallcap,55.3855
2025-06-30,00:00,largecap,72.7273
2025-06-30,00:00,midcap,71.7557
2025-06-30,00:00,smallcap,58.4461
2025-07-07,00:00,largecap,70.1754
2025-07-07,00:00,midcap,68.6076
2025-07-07,00:00,smallcap,55.6858
2025-07-14,00:00,largecap,73.0994
2025-07-14,00:00,midcap,72.9798
2025-07-14,00:00,smallcap,58.7033
2025-07-21,00:00,largecap,67.3469
2025-07-21,00:00,midcap,61.2091
2025-07-21,00:00,smallcap,51.5734
2025-07-28,00:00,largecap,56.5598
2025-07-28,00:00,midcap,50.8816
2025-07-28,00:00,smallcap,44.7414
2025-08-04,00:00,largecap,52.4781
2025-08-04,00:00,midcap,44.4724
2025-08-04,00:00,smallcap,38.007
2025-08-11,00:00,largecap,54.9419
2025-08-11,00:00,midcap,44.5
2025-08-11,00:00,smallcap,39.9075
2025-08-18,00:00,largecap,63.9535
2025-08-18,00:00,midcap,51.3716
2025-08-18,00:00,smallcap,44.438
2025-08-25,00:00,largecap,50.2907
2025-08-25,00:00,midcap,41.2935
2025-08-25,00:00,smallcap,38.0322
2025-09-01,00:00,largecap,57.2674
2025-09-01,00:00,midcap,52.4752
2025-09-01,00:00,smallcap,42.8571
2025-09-08,00:00,largecap,67.1512
2025-09-08,00:00,midcap,57.4257
2025-09-08,00:00,smallcap,46.3652
2025-09-15,00:00,largecap,73.5465
2025-09-15,00:00,midcap,63.4568
2025-09-15,00:00,smallcap,51.6276
2025-09-22,00:00,largecap,55.6522
2025-09-22,00:00,midcap,44.1975
2025-09-22,00:00,smallcap,40.7281
2025-09-29,00:00,largecap,65.5072
2025-09-29,00:00,midcap,50.9852
2025-09-29,00:00,smallcap,44.7085
2025-10-06,00:00,largecap,68.6957
2025-10-06,00:00,midcap,50.7353
2025-10-06,00:00,smallcap,45.0141
2025-10-13,00:00,largecap,66.474
2025-10-13,00:00,midcap,48.4108
2025-10-13,00:00,smallcap,41.8396
2025-10-20,00:00,largecap,66.954
2025-10-20,00:00,midcap,50
2025-10-20,00:00,smallcap,44.6618
2025-10-27,00:00,largecap,66.6667
2025-10-27,00:00,midcap,51.4634
2025-10-27,00:00,smallcap,45.0586
2025-11-03,00:00,largecap,62.3563
2025-11-03,00:00,midcap,43.4146
2025-11-03,00:00,smallcap,41.1173
2025-11-10,00:00,largecap,65.043
2025-11-10,00:00,midcap,43.5523
2025-11-10,00:00,smallcap,41.458
2025-11-17,00:00,largecap,60.2273
2025-11-17,00:00,midcap,40.146
2025-11-17,00:00,smallcap,36.9795
2025-11-24,00:00,largecap,62.5352
2025-11-24,00:00,midcap,40.7767
2025-11-24,00:00,smallcap,36.8479
2025-12-01,00:00,largecap,58.0282
2025-12-01,00:00,midcap,34.8668
2025-12-01,00:00,smallcap,33.719
2025-12-08,00:00,largecap,54.0845
2025-12-08,00:00,midcap,34.5411
2025-12-08,00:00,smallcap,32.8926
2025-12-15,00:00,largecap,53.9326
2025-12-15,00:00,midcap,34.1346
2025-12-15,00:00,smallcap,32.9128
2025-12-22,00:00,largecap,55.7423
2025-12-22,00:00,midcap,36.3636
2025-12-22,00:00,smallcap,34.281
2025-12-29,00:00,largecap,61.3445
2025-12-29,00:00,midcap,38.9021
2025-12-29,00:00,smallcap,36.7158
2026-01-05,00:00,largecap,51.5406
2026-01-05,00:00,midcap,26.0143
2026-01-05,00:00,smallcap,30.2503
2026-01-12,00:00,largecap,50.7003
2026-01-12,00:00,midcap,25.2983
2026-01-12,00:00,smallcap,29.6518
2026-01-19,00:00,largecap,37.535
2026-01-19,00:00,midcap,15.9524
2026-01-19,00:00,smallcap,19.8267
2026-01-27,00:00,largecap,37.535
2026-01-27,00:00,midcap,19.0024
2026-01-27,00:00,smallcap,20.0433
2026-02-02,00:00,largecap,51.2605
2026-02-02,00:00,midcap,28.673
2026-02-02,00:00,smallcap,28.9046
2026-02-09,00:00,largecap,51.8207
2026-02-09,00:00,midcap,32.9384
2026-02-09,00:00,smallcap,30.7526
2026-02-16,00:00,largecap,50.9804
2026-02-16,00:00,midcap,30.8962
2026-02-16,00:00,smallcap,29.854
2026-02-23,00:00,largecap,51.5406
2026-02-23,00:00,midcap,30.1887
2026-02-23,00:00,smallcap,26.9003
2026-03-02,00:00,largecap,42.8571
2026-03-02,00:00,midcap,24.2353
2026-03-02,00:00,smallcap,18.0891
2026-03-09,00:00,largecap,31.9328
2026-03-09,00:00,midcap,17.8404
2026-03-09,00:00,smallcap,14.0717
2026-03-16,00:00,largecap,32.7731
2026-03-16,00:00,midcap,21.7799
2026-03-16,00:00,smallcap,14.2094
2026-03-23,00:00,largecap,27.7311
2026-03-23,00:00,midcap,20.6089
2026-03-23,00:00,smallcap,12.3733
2026-03-30,00:00,largecap,27.451
2026-03-30,00:00,midcap,23.1308
2026-03-30,00:00,smallcap,12.7128
2026-04-06,00:00,largecap,45.3782
2026-04-06,00:00,midcap,35.6643
2026-04-06,00:00,smallcap,26.4721
2026-04-13,00:00,largecap,55.7423
2026-04-13,00:00,midcap,49.8834
2026-04-13,00:00,smallcap,39.9576
2026-04-20,00:00,largecap,54.902
2026-04-20,00:00,midcap,50
2026-04-20,00:00,smallcap,35.3749
2026-04-27,00:00,largecap,55.1821
2026-04-27,00:00,midcap,54.7945
2026-04-27,00:00,smallcap,40.0404
2026-05-04,00:00,largecap,66.1064
2026-05-04,00:00,midcap,65.0685
2026-05-04,00:00,smallcap,50.2774
2026-05-11,00:00,largecap,56.8627
2026-05-11,00:00,midcap,51.0251
2026-05-11,00:00,smallcap,36.8448
2026-05-18,00:00,largecap,55.1821
2026-05-18,00:00,midcap,52.3918
2026-05-18,00:00,smallcap,38.2516
