date,time,group,% change,ltp
2026-09-21,15:29,NIFTY200,0.1415,13655.7998
2026-09-21,15:29,NIFTY500,0.0854,22860.0508
2026-09-21,15:29,NIFTYAUTO,0.0815,27151.0996
2026-09-21,15:29,NIFTYCHEMICALS,-0.0034,29305.25
2026-09-21,15:29,NIFTYCOMMODITIES,-0.2394,9543.6504
2026-09-21,15:29,NIFTYCONSUMPTION,0.4241,11509.2998
2026-09-21,15:29,NIFTYFINSERVICE,0.0576,25524.6992
2026-09-21,15:29,NIFTYFMCG,0.9548,45900.8984
2026-09-21,15:29,NIFTYHEALTHCARE,1.1015,16796.9004
2026-09-21,15:29,NIFTYHOUSING,1.7e+308,11061.2002
2026-09-21,15:29,NIFTYINDDEFENCE,0.6972,9416.9004
2026-09-21,15:29,NIFTYLARGEMID250,-0.0653,16374.9004
2026-09-21,15:29,NIFTYMEDIA,0.1416,1555.95
2026-09-21,15:29,NIFTYMETAL,-0.6121,12972.7002
2026-09-21,15:29,NIFTYMICROCAP250,-0.1437,26342.8008
2026-09-21,15:29,NIFTYMIDCAP150,-0.3714,22816.8008
2026-09-21,15:29,NIFTYMIDCAP50,-0.0182,17879.6504
2026-09-21,15:29,NIFTYMIDSELECT,0.0241,14504.25
2026-09-21,15:29,NIFTYMIDSMALLCAP400,-0.2587,21183.6992
2026-09-21,15:29,NIFTYOILANDGAS,0.5256,11006.25
2026-09-21,15:29,NIFTYPSUBANK,-0.0619,8312.4004
2026-09-21,15:29,NIFTYPVTBANK,0.2935,27370.0996
2026-09-21,15:29,NIFTYSMALLCAP250,-0.0457,18279.0508
2026-09-21,15:29,NIFTYSMALLCAP50,-0.0854,9948.1504
2026-09-21,15:29,NIFTYTOTALMKT,0.0747,12932.7002
2026-09-22,15:29,BANKNIFTY,-0.4517,56215.5508
2026-09-22,15:29,CNXENERGY,-0.2421,37727
2026-09-22,15:29,CNXINFRA,-0.4129,9020.7998
2026-09-22,15:29,CNXIT,-0.863,28582.0996
2026-09-22,15:29,CNXPHARMA,-0.4128,26909.5996
2026-09-22,15:29,CNXREALTY,0.8959,861.5
2026-09-22,15:29,CNXSMALLCAP,-0.2319,19815.4492
2026-09-22,15:29,INDIAVIX,-2.2222,11
2026-09-22,15:29,NIFTY,-0.3643,23329
2026-09-22,15:29,NIFTY100,-0.3689,24469.75
2026-09-22,15:29,NIFTY200,-0.3105,13613.4004
2026-09-22,15:29,NIFTY500,-0.2881,22794.1992
2026-09-22,15:29,NIFTYAUTO,-0.2387,27086.3008
2026-09-22,15:29,NIFTYCHEMICALS,0.4277,29430.5996
2026-09-22,15:29,NIFTYCOMMODITIES,0.0597,9549.3496
2026-09-22,15:29,NIFTYCONSUMPTION,-0.192,11487.2002
2026-09-22,15:29,NIFTYFINSERVICE,-0.4182,25417.9492
2026-09-22,15:29,NIFTYFMCG,-0.5297,45657.75
2026-09-22,15:29,NIFTYHEALTHCARE,-0.4578,16720
2026-09-22,15:29,NIFTYHOUSING,1.7e+308,11061.2002
2026-09-22,15:29,NIFTYINDDEFENCE,0.5803,9471.5498
2026-09-22,15:29,NIFTYLARGEMID250,-0.2476,16334.3496
2026-09-22,15:29,NIFTYMEDIA,1.2051,1574.7
2026-09-22,15:29,NIFTYMETAL,0.1361,12990.3496
2026-09-22,15:29,NIFTYMICROCAP250,0.4142,26451.9004
2026-09-22,15:29,NIFTYMIDCAP150,-0.1297,22787.1992
2026-09-22,15:29,NIFTYMIDCAP50,-0.0059,17878.5996
2026-09-22,15:29,NIFTYMIDSELECT,0.2761,14544.2998
2026-09-22,15:29,NIFTYMIDSMALLCAP400,-0.1199,21158.3008
2026-09-22,15:29,NIFTYOILANDGAS,-0.4302,10958.9004
2026-09-22,15:29,NIFTYPSUBANK,-0.4944,8271.2998
2026-09-22,15:29,NIFTYPVTBANK,-0.3073,27286
2026-09-22,15:29,NIFTYSMALLCAP250,-0.1009,18260.5996
2026-09-22,15:29,NIFTYSMALLCAP50,-0.4353,9904.8496
2026-09-22,15:29,NIFTYTOTALMKT,-0.2556,12899.6504
