date,time,group,changeinpercentage
2026-09-04,15:29,DIGITIDE,1.5599
2026-09-04,15:29,DIGJAMLMTD,1.1336
2026-09-04,15:29,DISAQ,1.8259
2026-09-04,15:29,DJML,6.9721
2026-09-04,15:29,DOLATALGO,1.2277
2026-09-04,15:29,DOLPHIN,8.7799
2026-09-04,15:29,DONEAR,4.1667
2026-09-04,15:29,DPABHUSHAN,4.0312
2026-09-04,15:29,DRAGARWQ,1.564
2026-09-04,15:29,DRCSYSTEMS,1.6393
2026-09-04,15:29,DREAMFOLKS,0.9046
2026-09-04,15:29,DREDGECORP,1.2096
2026-09-04,15:29,DSKULKARNI,1.9958
2026-09-04,15:29,DSSL,4.995
2026-09-04,15:29,DVL,1.4871
2026-09-04,15:29,DYNAMATECH,1.0579
2026-09-04,15:29,E2E,1.4932
2026-09-04,15:29,EASTWEST,0.8547
2026-09-04,15:29,EBIX,2.2177
2026-09-04,15:29,ECAPINSURE,0.9255
2026-09-04,15:29,ECORECO,0.7126
2026-09-04,15:29,EDELWEISS,0.9795
2026-09-04,15:29,EDUCOMP,2.2727
2026-09-04,15:29,EGOLD,0.7864
2026-09-04,15:29,EIEL,1.7939
2026-09-04,15:29,ELANTAS,0.8668
2026-09-04,15:29,ELCIDIN,1.0235
2026-09-04,15:29,ELGIEQUIP,1.864
2026-09-04,15:29,EMAMIPAP,5
2026-09-04,15:29,EMCURE,3.9306
2026-09-04,15:29,EMETAL,1.2889
2026-09-04,15:29,EMKAY,3.6857
2026-09-04,15:29,EMMBI,0.9205
2026-09-04,15:29,EMPOWER,1.0989
2026-09-04,15:29,EMUDHRA,0.9522
2026-09-04,15:29,ENDURANCE,1.0201
2026-09-04,15:29,ENIL,3.0519
2026-09-04,15:29,ENKEIWHEL,2.3634
2026-09-04,15:29,EPACKPEB,1.6762
2026-09-04,15:29,ERIS,1.3962
2026-09-04,15:29,ESILVER,1.2792
2026-09-04,15:29,ESSARSHPNG,1.3041
2026-09-04,15:29,EXICOM,7.0547
2026-09-04,15:29,FABTECH,1.948
2026-09-04,15:29,FCL,6.4036
2026-09-04,15:29,FEDDERSHOL,2.7826
2026-09-04,15:29,FEDFINA,2.3438
2026-09-04,15:29,FIEMIND,2.4007
2026-09-04,15:29,FILATEX,1.3034
2026-09-04,15:29,FINIETF,0.9188
2026-09-04,15:29,FINKURVE,2.9617
2026-09-04,15:29,FIRSTCRY,0.8339
2026-09-04,15:29,FLFL,2.459
2026-09-04,15:29,FMNL,4.9896
2026-09-04,15:29,FOODSIN,2.3368
2026-09-04,15:29,FRACTAL,0.9848
2026-09-04,15:29,FRONTSP,1.7326
2026-09-04,15:29,FUSION,1.7323
2026-09-04,15:29,GANESHBE,1.6917
2026-09-04,15:29,GANESHCP,3.3408
2026-09-04,15:29,GCSL,1.4403
2026-09-04,15:29,GEEKAYWIRE,0.7486
2026-09-04,15:29,GENCON,5.3588
2026-09-04,15:29,GENESYS,3.7057
2026-09-04,15:29,GENESYS-RE,13.917
2026-09-04,15:29,GENUSPAPER,2.5724
2026-09-04,15:29,GESHIP,1.1894
2026-09-04,15:29,GFLLIMITED,7.0929
2026-09-04,15:29,GICL,2.5
2026-09-04,15:29,GKSL,0.758
2026-09-04,15:29,GLAND,0.8425
2026-09-04,15:29,GLAXO,0.7013
2026-09-04,15:29,GLFL,2.4735
2026-09-04,15:29,GLOBAL,3.5951
2026-09-04,15:29,GLOSTERLTD,0.9733
2026-09-04,15:29,GMBREW,1.0214
2026-09-04,15:29,GMMPFAUDLR,6.9306
2026-09-04,15:29,GMRP&UI,3.9372
2026-09-04,15:29,GNA,3.6198
2026-09-04,15:29,GNFC,1.5919
2026-09-04,15:29,GNRL,2.6365
2026-09-04,15:29,GOACARBON,0.8528
2026-09-04,15:29,GOCLCORP,1.064
2026-09-04,15:29,GOCOLORS,1.2711
2026-09-04,15:29,GODREJIND,0.797
2026-09-04,15:29,GOKEX,2.8073
2026-09-04,15:29,GOKUL,2.4076
2026-09-04,15:29,GOLD1,0.7766
2026-09-04,15:29,GOLDADD,0.7412
2026-09-04,15:29,GOLDAXIS,0.7154
2026-09-04,15:29,GOLDBEES,0.7447
2026-09-04,15:29,GOLDBETA,0.7782
2026-09-04,15:29,GOLDBND,0.7269
2026-09-04,15:29,GOLDCASE,0.7491
2026-09-04,15:29,GOLDETF,0.8298
2026-09-04,15:29,GOLDIAM,1.365
2026-09-04,15:29,GOLDIETF,0.8031
2026-09-04,15:29,GOODLUCK,0.7456
2026-09-04,15:29,GPTHEALTH,2.9217
2026-09-04,15:29,GPTINFRA,1.1003
2026-09-04,15:29,GRADIENTE,1.4981
2026-09-04,15:29,GRAPHITE,1.7053
2026-09-04,15:29,GREENPLY,3.9932
2026-09-04,15:29,GREENPOWER,0.9793
2026-09-04,15:29,GRMOVER,2.0044
2026-09-04,15:29,GROWW,1.9764
2026-09-04,15:29,GROWWCAPM,0.9709
