date,time,group,column1,std deviation,annual std dev,roc
2026-09-04,15:29,ARROWGREEN,2411.2352,3.0509,53.472,41.6935
2026-09-04,15:29,ARTEMISMED,662.9656,2.1903,35.6017,46.3243
2026-09-04,15:29,ARVIND,1580.2026,2.5963,40.2332,91.3322
2026-09-04,15:29,ARVSMART,745.1388,1.8888,33.2885,3.9644
2026-09-04,15:29,ASAHISONG,850.258,3.1215,50.2069,26.1296
2026-09-04,15:29,ASAL,419.8577,2.4243,42.2783,-2.4202
2026-09-04,15:29,ASHIANA,466.3705,1.9915,32.1812,14.6707
2026-09-04,15:29,ASIANENE,1714.7803,3.2756,50.0377,34.0544
2026-09-04,15:29,ASIANHOTNR,478.7742,2.9278,47.0687,16.821
2026-09-04,15:29,ASKAUTOLTD,1200.0359,2.7548,37.7532,17.585
2026-09-04,15:29,ASPINWALL,246.519,2.1628,41.1401,-4.2651
2026-09-04,15:29,ASTERDM,1429.5003,1.6962,29.412,22.7255
2026-09-04,15:29,ASTRAL,675.9893,1.962,30.7414,2.6119
2026-09-04,15:29,ASTRAMICRO,5080.1528,2.8029,42.017,71.4257
2026-09-04,15:29,ATGL,588.5446,2.4864,47.5684,3.7178
2026-09-04,15:29,ATHERENERG,5971.032,3.1254,50.566,217.2124
2026-09-04,15:29,ATLANTAELE,7153.0829,3.4067,1.7e+308,1.7e+308
2026-09-04,15:29,ATUL,3469.8717,1.5155,25.3851,1.3812
2026-09-04,15:29,ATULAUTO,472.2622,2.3673,47.3851,-13.6613
2026-09-04,15:29,AUBANK,613.3519,1.6269,29.5253,53.3919
2026-09-04,15:29,AUROPHARMA,3228.624,1.662,26.5451,58.3277
2026-09-04,15:29,AURUM,267.791,1.9889,35.7442,29.0685
2026-09-04,15:29,AUSOMENT,179.5403,2.5177,51.6416,55.1198
2026-09-04,15:29,AVADHSUGAR,2999.4699,2.9643,43.317,78.2647
2026-09-04,15:29,AVALON,8640.5705,3.5587,53.7064,137.9977
2026-09-04,15:29,AVANTIFEED,269.7755,2.3606,55.6377,23.3645
2026-09-04,15:29,AVG,166.3305,3.0889,56.1461,-26.2634
2026-09-04,15:29,AVL,733.6654,1.7931,35.4296,19.2942
2026-09-04,15:29,AVTNPL,169.8035,2.4842,33.5708,21.522
2026-09-04,15:29,AXISCADES,3468.0109,2.7344,48.4408,19.1258
2026-09-04,15:29,AYMSYNTEX,996.9913,3.2597,46.1168,64.2612
2026-09-04,15:29,AZAD,8596.2279,3.0386,41.8294,76.0794
2026-09-04,15:29,BAFNAPH,1071.288,3.3161,54.8366,193.7351
2026-09-04,15:29,BAJAJ-AUTO,15538.4514,1.4965,23.5189,31.2015
2026-09-04,15:29,BAJAJCON,1313.2178,3.084,50.5883,129.8384
2026-09-04,15:29,BAJAJHLDNG,3063.6579,1.5028,28.9916,-13.6469
2026-09-04,15:29,BAJEL,222.3943,2.2779,42.9803,-8.6745
2026-09-04,15:29,BAJFINANCE,822.6605,1.7791,30.6041,13.1079
