date,time,% below rsi 50,% above rsi 50
2025-11-03,00:00,0.5445,0.4238
2025-11-10,00:00,0.5418,0.4266
2025-11-17,00:00,0.5914,0.3759
2025-11-24,00:00,0.5848,0.381
2025-12-01,00:00,0.6234,0.3415
2025-12-08,00:00,0.6316,0.3344
2025-12-15,00:00,0.6309,0.3326
2025-12-22,00:00,0.6095,0.3525
2025-12-29,00:00,0.5831,0.3806
2026-01-05,00:00,0.6725,0.2946
2026-01-12,00:00,0.6874,0.282
2026-01-19,00:00,0.7936,0.1786
2026-01-27,00:00,0.7823,0.19
2026-02-02,00:00,0.669,0.3036
2026-02-09,00:00,0.6522,0.3212
2026-02-16,00:00,0.6586,0.3167
2026-02-23,00:00,0.6881,0.2876
2026-03-02,00:00,0.7745,0.202
2026-03-09,00:00,0.8245,0.1522
2026-03-16,00:00,0.8165,0.1613
2026-03-23,00:00,0.844,0.1368
2026-03-30,00:00,0.8295,0.1503
2026-04-06,00:00,0.6473,0.3317
2026-04-13,00:00,0.4718,0.508
2026-04-20,00:00,0.5249,0.4535
2026-04-27,00:00,0.4789,0.4692
2026-05-04,00:00,0.3569,0.5913
2026-05-11,00:00,0.5198,0.4278
2026-05-18,00:00,0.5146,0.4343
2026-05-25,00:00,0.4905,0.4607
2026-06-01,00:00,0.5081,0.4435
2026-06-08,00:00,0.5018,0.4529
2026-06-15,00:00,0.4176,0.5373
2026-06-22,00:00,0.4292,0.525
2026-06-29,00:00,0.3838,0.5718
2026-07-06,00:00,0.414,0.5397
2026-07-13,00:00,0.4386,0.5158
2026-07-20,00:00,0.4868,0.4672
2026-07-27,00:00,0.4488,0.5353
2026-08-03,00:00,0.3863,0.5953
2026-08-10,00:00,0.419,0.5602
2026-08-17,00:00,0.4305,0.5453
2026-08-24,00:00,0.4088,0.5257
2026-08-31,00:00,0.4313,0.5007
