date,time,group,sector,market cap,1 week %,vol > yr avg
2026-09-04,15:29,PARACABLES,industrials,smallcap,5.0345,2.5373
2026-09-04,15:29,PARAS,aerospace & defence,midcap,-1.7226,0.3155
2026-09-04,15:29,PGIL,consumer discretionary,midcap,-1.5555,0.557
2026-09-04,15:29,PLAZACABLE,industrials,smallcap,13.8507,1.7978
2026-09-04,15:29,PRECWIRE,metals & mining,midcap,-6.8099,0.8398
2026-09-04,15:29,PREMIERPOL,plastic products,smallcap,1.5981,4.1128
2026-09-04,15:29,QPOWER,industrials,midcap,4.4788,0.3094
2026-09-04,15:29,QUESS,miscellaneous,midcap,-4.7011,1.4134
2026-09-04,15:29,RAIN,miscellaneous,midcap,8.2334,0.9215
2026-09-04,15:29,RAMRAT,metals & mining,midcap,-5.2796,1.7249
2026-09-04,15:29,RATNAVEER,metals & mining,smallcap,3.3226,1.7618
2026-09-04,15:29,RAYMOND,transportation,smallcap,18.1862,3.1601
2026-09-04,15:29,RISHABH,industrials,smallcap,6.7742,1.2725
2026-09-04,15:29,RML,auto,smallcap,15.0173,45.7459
2026-09-04,15:29,ROSSTECH,aerospace & defence,smallcap,4.1554,1.1108
2026-09-04,15:29,RPEL,building materials,midcap,3.3631,2.1354
2026-09-04,15:29,RPTECH,i.t,midcap,-0.5914,0.3206
2026-09-04,15:29,RSWM,textiles,smallcap,12.5663,0.8933
2026-09-04,15:29,RUBYMILLS,textiles,smallcap,9.708,0.5245
2026-09-04,15:29,SAHYADRI,building materials,smallcap,14.1298,12.0858
2026-09-04,15:29,SAILIFE,healthcare,largecap,6.6869,1.0026
2026-09-04,15:29,SAKAR,healthcare,smallcap,15.7817,0.7933
2026-09-04,15:29,SALSTEEL,metals & mining,smallcap,8.2624,1.0543
2026-09-04,15:29,SANGINITA,chemicals,smallcap,11.6113,0.3229
2026-09-04,15:29,SANSERA,auto,largecap,-1.9798,0.4632
2026-09-04,15:29,SBC,textiles,smallcap,9.1343,1.1645
2026-09-04,15:29,SBCL,metals & mining,midcap,6.8528,2.365
2026-09-04,15:29,SCPL,fmcg,smallcap,0.1007,0.2425
2026-09-04,15:29,SENORES,healthcare,midcap,-3.6232,0.4001
2026-09-04,15:29,SETL,industrials,midcap,12.2872,2.6127
2026-09-04,15:29,SGFIN,financials,smallcap,-1.2928,0.4978
2026-09-04,15:29,SGMART,services,midcap,4.4913,1.7e+308
2026-09-04,15:29,SHAILY,plastic products,midcap,0.2416,0.2515
2026-09-04,15:29,SHILPAMED,healthcare,midcap,6.6774,0.7393
2026-09-04,15:29,SHREEJISPG,transportation,midcap,4.2376,2.1675
2026-09-04,15:29,SIGMAADV,aerospace & defence,midcap,-1.8916,0.4187
2026-09-04,15:29,SKIPPER,industrials,midcap,8.2105,16.8174
2026-09-04,15:29,SKYGOLD,consumer discretionary,midcap,-3.6912,0.9635
2026-09-04,15:29,SMARTLINK,i.t,smallcap,-5.8106,0.3451
2026-09-04,15:29,SMLMAH,auto,midcap,21.4403,4.1245
2026-09-04,15:29,SOFTTECH,i.t,smallcap,1.3776,0.4435
2026-09-04,15:29,SOLARINDS,aerospace & defence,largecap,5.1225,0.8559
2026-09-04,15:29,SONACOMS,auto,largecap,-3.1902,0.3565
2026-09-04,15:29,SOTL,energy,midcap,6.8595,0.8968
2026-09-04,15:29,SPECTRUM,industrials,smallcap,11.8806,0.8086
2026-09-04,15:29,SPORTKING,textiles,smallcap,2.8169,0.7235
2026-09-04,15:29,SSWL,auto,midcap,22.4535,1.5943
2026-09-04,15:29,STEELCAS,industrials,smallcap,-4.163,0.7775
2026-09-04,15:29,STLTECH,industrials,largecap,3.475,0.0711
2026-09-04,15:29,STOVEKRAFT,consumer discretionary,smallcap,4.395,0.4134
2026-09-04,15:29,SUVEN,healthcare,smallcap,3.5758,0.622
2026-09-04,15:29,SWANDEF,transportation,midcap,2.6516,0.1332
2026-09-04,15:29,SYRMA,consumer discretionary,largecap,-1.1531,0.3661
2026-09-04,15:29,TARSONS,healthcare,smallcap,0.9932,0.1395
2026-09-04,15:29,TBZ,consumer discretionary,smallcap,59.3802,2.8069
2026-09-04,15:29,TEJASNET,telecom,midcap,11.6332,4.249
2026-09-04,15:29,TFCILTD,financials,midcap,1.9354,0.8996
2026-09-04,15:29,TMB,bank,midcap,5.2367,0.3951
2026-09-04,15:29,UNIMECH,aerospace & defence,midcap,-0.0266,1.595
2026-09-04,15:29,UNIPARTS,industrials,smallcap,0.1031,1.5113
2026-09-04,15:29,UNIVASTU,realty,smallcap,4.8978,0.5812
2026-09-04,15:29,UNIVCABLES,industrials,midcap,-6.9041,1.5798
2026-09-04,15:29,UNIVPHOTO,consumer discretionary,smallcap,7.5321,0.2227
2026-09-04,15:29,VADILALIND,fmcg,midcap,-3.1013,0.3921
2026-09-04,15:29,VALIANTLAB,healthcare,smallcap,6.3422,0.9169
2026-09-04,15:29,VENUSREM,healthcare,smallcap,4.1618,0.4692
2026-09-04,15:29,VERANDA,services,smallcap,0.8228,0.3331
2026-09-04,15:29,VINDHYATEL,realty,smallcap,5.6933,1.5993
2026-09-04,15:29,VISAKAIND,building materials,smallcap,4.1495,2.1111
2026-09-04,15:29,WELCORP,industrials,largecap,9.133,1.3249
2026-09-04,15:29,WELENT,realty,midcap,21.3785,9.887
2026-09-04,15:29,WELINV,financials,smallcap,-1.2615,0.0317
2026-09-04,15:29,WELSPUNLIV,textiles,midcap,9.477,1.7607
2026-09-04,15:29,WHEELS,auto,smallcap,11.4493,2.6143
2026-09-04,15:29,WOCKPHARMA,healthcare,largecap,5.6446,2.8836
2026-09-04,15:29,YASHO,chemicals,smallcap,-4.7179,1.2062
2026-09-04,15:29,YATHARTH,healthcare,midcap,2.4499,0.6098
2026-09-04,15:29,ZIMLAB,healthcare,smallcap,0.0319,0.5499
2026-09-07,15:29,ACMESOLAR,realty,largecap,-1.1603,0.8237
2026-09-07,15:29,ADOR,industrials,smallcap,-1.8096,1.0399
2026-09-07,15:29,AEROENTER,metals & mining,smallcap,9.1108,5.9366
2026-09-07,15:29,AEROFLEX,metals & mining,midcap,3.8515,0.722
2026-09-07,15:29,AETHER,chemicals,largecap,-0.3752,0.3732
2026-09-07,15:29,AKUMS,healthcare,midcap,-1.4496,0.4646
2026-09-07,15:29,ALPHAGEO,miscellaneous,smallcap,0.2161,1.0473
2026-09-07,15:29,AMANTA,healthcare,smallcap,1.9997,1.7e+308
2026-09-07,15:29,ANTELOPUS,energy,smallcap,2.941,6.5034
2026-09-07,15:29,APARINDS,industrials,largecap,1.7622,0.6158
2026-09-07,15:29,APCOTEXIND,chemicals,smallcap,-0.6137,0.8438
2026-09-07,15:29,APOLLO,aerospace & defence,midcap,3.8699,1.1175
2026-09-07,15:29,APOLLOPIPE,plastic products,smallcap,-0.6776,0.172
2026-09-07,15:29,ARROWGREEN,plastic products,smallcap,-1.1055,0.3376
2026-09-07,15:29,ARVIND,textiles,midcap,2.0888,0.718
2026-09-07,15:29,ASAHISONG,chemicals,smallcap,4.9644,1.8011
2026-09-07,15:29,ASIANENE,energy,smallcap,-1.0919,1.1602
2026-09-07,15:29,ATHERENERG,auto,largecap,0.9659,0.9517
2026-09-07,15:29,AVADHSUGAR,fmcg,smallcap,3.7307,1.6652
2026-09-07,15:29,AVALON,consumer discretionary,midcap,7.0973,4.3618
2026-09-07,15:29,AYMSYNTEX,textiles,smallcap,1.4483,1.7713
2026-09-07,15:29,AZAD,aerospace & defence,midcap,3.2658,1.3638
2026-09-07,15:29,BAFNAPH,healthcare,smallcap,1.9943,0.2429
2026-09-07,15:29,BALAMINES,chemicals,midcap,1.6474,1.5867
2026-09-07,15:29,BALRAMCHIN,fmcg,midcap,3.0336,4.6036
2026-09-07,15:29,BHAGERIA,chemicals,smallcap,4.9893,0.6766
2026-09-07,15:29,BHEL,industrials,largecap,-2.2385,0.3165
2026-09-07,15:29,BIRLACABLE,industrials,smallcap,-4.9927,10.0596
2026-09-07,15:29,BLISSGVS,healthcare,midcap,3.0328,0.2421
2026-09-07,15:29,BLSE,i.t,smallcap,-0.1875,0.6618
2026-09-07,15:29,BLUESTONE,consumer discretionary,midcap,3.2335,0.7598
2026-09-07,15:29,BLUSPRING,miscellaneous,smallcap,-1.2738,0.4017
2026-09-07,15:29,BODALCHEM,chemicals,smallcap,9.9987,9.0724
2026-09-07,15:29,CALSOFT,i.t,smallcap,-4.978,0.566
2026-09-07,15:29,CAPLIPOINT,healthcare,largecap,0.1138,0.9448
2026-09-07,15:29,CENTUM,aerospace & defence,midcap,16.1813,12.9846
2026-09-07,15:29,CGCL,financials,largecap,-1.5005,2.2104
2026-09-07,15:29,CHEMBONDCH,chemicals,smallcap,4.9912,0.4762
2026-09-07,15:29,CHENNPETRO,energy,largecap,-1.5149,0.2475
2026-09-07,15:29,COMSYN,industrials,smallcap,-2.3564,0.771
2026-09-07,15:29,CONFIPET,miscellaneous,smallcap,-0.3637,1.2096
2026-09-07,15:29,CONSOFINVT,financials,smallcap,4.9948,1.65
2026-09-07,15:29,CORDSCABLE,industrials,smallcap,-1.1514,3.3695
2026-09-07,15:29,CPPLUS,consumer discretionary,largecap,1.3038,0.6266
2026-09-07,15:29,CUPID,fmcg,largecap,-0.777,0.1845
2026-09-07,15:29,CYIENTDLM,aerospace & defence,midcap,0.9802,0.4272
2026-09-07,15:29,DATAPATTNS,aerospace & defence,largecap,0.1265,0.3514
2026-09-07,15:29,DBOL,fmcg,smallcap,2.0242,1.2179
2026-09-07,15:29,DCBBANK,bank,midcap,0.2582,0.3726
2026-09-07,15:29,DCMNVL,textiles,smallcap,-1.0543,0.9216
2026-09-07,15:29,DEEDEV,metals & mining,smallcap,2.8561,0.2128
2026-09-07,15:29,DEEPINDS,energy,midcap,-0.1589,1.9686
2026-09-07,15:29,DIACABS,industrials,midcap,0.2411,0.2752
2026-09-07,15:29,DIFFNKG,industrials,smallcap,-4.3167,2.5789
2026-09-07,15:29,DIVGIITTS,auto,smallcap,-4.8471,2.2175
2026-09-07,15:29,DOLPHIN,energy,smallcap,6.8843,3.3877
2026-09-07,15:29,DYCL,industrials,smallcap,-5.5032,2.2146
