date,time,group,% 3 qtr ago,% 2 qtr ago,% 1 qtr ago,% current qtr,change in 3 qtr
2026-09-04,15:29,ANTHEM,4.4071,4.1058,4.0219,5.3092,0.9021
2026-09-04,15:29,ANUHPHR,0.0001,0.0002,0.0451,0.0116,0.0115
2026-09-04,15:29,ANURAS,7.6278,7.6048,6.9082,7.7143,0.0865
2026-09-04,15:29,APARINDS,9.2455,9.3519,9.3734,10.7543,1.5088
2026-09-04,15:29,APCOTEXIND,0.594,0.6234,0.6332,0.6926,0.0986
2026-09-04,15:29,APEX,4.8409,4.7436,5.9971,5.8349,0.994
2026-09-04,15:29,APLAPOLLO,40.1059,39.488,43.8597,41.459,1.3531
2026-09-04,15:29,APLLTD,4.0476,4.2401,4.2538,4.1793,0.1317
2026-09-04,15:29,APTECHT,0.3952,0.5833,0.6572,0.4585,0.0633
2026-09-04,15:29,AQYLON,0,0.7143,1.5681,8.3848,8.3848
2026-09-04,15:29,ARCHIDPLY,0,0,0,0,0
2026-09-04,15:29,ARCHIES,0.0015,0,0.0015,0.0015,0
2026-09-04,15:29,ARIHANT,0,0,0,0.0079,0.0079
2026-09-04,15:29,ARROWGREEN,1.0533,1.0721,0.9986,1.1337,0.0804
2026-09-04,15:29,ARTEMISMED,0.3699,12.4686,12.1927,12.2864,11.9165
2026-09-04,15:29,ARTNIRMAN,0,0,0,0,0
2026-09-04,15:29,ARVINDFASN,11.9487,12.1048,11.9747,12.153,0.2043
2026-09-04,15:29,ASAL,0,0.0015,0.0019,0.0934,0.0934
2026-09-04,15:29,ASALCBR,0.479,0.3169,0.3345,0.6854,0.2064
2026-09-04,15:29,ASHAPURMIN,17.8267,19.039,19.3203,19.2244,1.3977
2026-09-04,15:29,ASHIANA,7.8698,7.895,8.2841,8.1843,0.3145
2026-09-04,15:29,ASHIMASYN,0.0391,0.0982,0.1432,0.1372,0.0981
2026-09-04,15:29,ASIANENE,0.9391,1.0858,1.3446,1.3991,0.46
2026-09-04,15:29,ASIANHOTNR,5.6355,5.6472,56.9473,56.9459,51.3104
2026-09-04,15:29,ASIANPAINT,11.6388,12.7779,12.109,13.3177,1.6789
2026-09-04,15:29,ASIANTILES,1.0997,1.7298,1.0478,1.3676,0.2679
2026-09-04,15:29,ASMS,1.3546,1.6763,1.6711,1.494,0.1394
2026-09-04,15:29,ASPINWALL,0,0,0,0,0
2026-09-04,15:29,ASTEC,0.003,0.0422,0.0228,0.0067,0.0037
2026-09-04,15:29,ASTRAMICRO,8.2271,8.029,9.3201,12.5018,4.2747
2026-09-04,15:29,ATALREAL,1.4797,6.1841,3.5848,2.464,0.9843
2026-09-04,15:29,ATLANTAA,0,0,0.0014,0.0012,0.0012
2026-09-04,15:29,ATLASCYCLE,0,0,0,0,0
2026-09-04,15:29,ATULAUTO,0.379,0.375,0.838,0.5296,0.1506
2026-09-04,15:29,AUBANK,34.8303,36.7838,37.5984,36.2058,1.3755
2026-09-04,15:29,AURIONPRO,16.5709,17.7948,17.3103,17.0354,0.4645
2026-09-04,15:29,AUROPHARMA,14.2081,13.9449,15.2371,16.3772,2.1691
2026-09-04,15:29,AURUM,5.8974,5.662,5.6649,5.9477,0.0503
2026-09-04,15:29,AUSOMENT,0.1103,0.1109,0.1103,0.1301,0.0198
2026-09-04,15:29,AUTOAXLES,0.71,0.6821,0.8272,0.7451,0.0351
2026-09-04,15:29,AUTOIND,7.6056,7.7461,7.8021,8.0537,0.4481
2026-09-04,15:29,AVANTEL,0.6681,0.6039,0.5528,1.5315,0.8634
2026-09-04,15:29,AVANTIFEED,31.189,32.1952,31.8406,31.3993,0.2103
2026-09-04,15:29,AVONMORE,0.014,0.0223,0.0642,0.0396,0.0256
2026-09-04,15:29,AVROIND,6.2947,6.456,6.8996,6.8397,0.545
2026-09-04,15:29,AWFIS,26.1111,28.4108,27.4216,27.9909,1.8798
2026-09-04,15:29,AWHCL,12.8092,11.7789,14.7818,13.0779,0.2687
2026-09-04,15:29,AWL,14.1121,21.1466,21.8612,21.0942,6.9821
2026-09-04,15:29,AXISBANK,40.5111,41.1827,40.7052,43.0047,2.4936
2026-09-04,15:29,AXITA,3.7334,5.0108,5.6198,5.3156,1.5822
2026-09-04,15:29,AYMSYNTEX,3.2791,3.1554,3.4195,3.6159,0.3368
2026-09-04,15:29,BAFNAPH,9.3413,9.3413,9.3413,9.3413,0
2026-09-04,15:29,BAJAJCON,10.12,9.6998,16.5881,16.1148,5.9948
2026-09-04,15:29,BAJAJHCARE,1.1185,1.1785,1.9781,2.1889,1.0704
2026-09-04,15:29,BAJAJINDEF,1.5628,1.563,1.5713,6.1119,4.5491
2026-09-04,15:29,BALKRISHNA,0,0,0,0,0
2026-09-04,15:29,BALMLAWRIE,2.2538,2.1607,2.2138,2.3796,0.1258
2026-09-04,15:29,BANARBEADS,0.0003,0.0003,0.0003,0.0003,0
2026-09-04,15:29,BANKA,0,0,0,0,0
2026-09-04,15:29,BANKBARODA,8.3418,8.7102,9.8406,10.1429,1.8011
2026-09-04,15:29,BANKINDIA,4.241,5.8208,7.2632,6.8714,2.6304
2026-09-04,15:29,BASF,4.1401,4.1244,5.3357,5.2122,1.0721
2026-09-04,15:29,BASML,0.1888,0.1404,0.1374,0.2013,0.0125
2026-09-04,15:29,BAYERCROP,3.7931,3.8373,3.8855,3.9662,0.1731
2026-09-04,15:29,BBL,3.6703,3.5682,4.1022,5.8357,2.1654
2026-09-04,15:29,BBOX,4.221,3.4356,3.2631,4.6894,0.4684
2026-09-04,15:29,BBTC,9.2999,9.4209,9.4893,9.4609,0.161
2026-09-04,15:29,BBTCL,0,0,0,0,0
2026-09-04,15:29,BCONCEPTS,0.0056,0,0.0016,0.0311,0.0255
2026-09-04,15:29,BEARDSELL,0,0,0,0,0
2026-09-04,15:29,BEDMUTHA,0,0,0,0,0
2026-09-04,15:29,BELLACASA,0.0004,0.0001,0.0002,0.0052,0.0048
2026-09-04,15:29,BELRISE,7.6676,8.901,8.8675,9.4006,1.733
2026-09-04,15:29,BETA,0.905,1.1355,0.905,1.0208,0.1158
2026-09-04,15:29,BFINVEST,0.6581,0.6587,0.6581,0.7053,0.0472
2026-09-04,15:29,BFUTILITIE,1.548,1.6215,1.568,1.6123,0.0643
2026-09-04,15:29,BGLOBAL,0,0,0,0,0
2026-09-04,15:29,BHAGCHEM,0.0498,0.1962,0.1431,0.0956,0.0458
2026-09-04,15:29,BHAGYANGR,0,0.438,0.4076,0.8609,0.8609
2026-09-04,15:29,BHANDARI,0,0,0,0,0
2026-09-04,15:29,BHARATFORG,13.6234,12.4018,14.1537,15.0447,1.4213
2026-09-04,15:29,BHARATGEAR,1.2305,1.3873,1.4093,1.3454,0.1149
2026-09-04,15:29,BHEL,6.2333,6.2897,7.2253,9.5113,3.278
2026-09-04,15:29,BIGBLOC,0.2117,0.2385,0.2117,0.2127,0.001
2026-09-04,15:29,BIL,0,7.4487,0,0,0
2026-09-04,15:29,BILVYAPAR,0,0,0,0,0
2026-09-04,15:29,BIOCON,6.6123,7.39,13.1962,13.7847,7.1724
2026-09-04,15:29,BIRLACABLE,0.0062,0.0189,0,0.0227,0.0165
2026-09-04,15:29,BIRLAMONEY,0.0688,0.0014,0.0258,0.0804,0.0116
2026-09-04,15:29,BIRLANU,3.8461,4.258,4.4911,4.3595,0.5134
2026-09-04,15:29,BLACKBUCK,45.9346,45.8078,49.9622,48.9513,3.0167
2026-09-04,15:29,BLSE,0.2072,0.9934,0.4531,0.6436,0.4364
2026-09-04,15:29,BLUECHIP,0,0,0,0,0
2026-09-04,15:29,BOHRAIND,0,0,0,0,0
2026-09-04,15:29,BOMDYEING,0.8897,0.8752,1.0377,0.9101,0.0204
2026-09-04,15:29,BORORENEW,4.8122,4.0102,4.2733,6.1379,1.3257
2026-09-04,15:29,BOROSCI,0.0712,0.0685,0.0856,0.2296,0.1584
2026-09-04,15:29,BPCL,16.5347,18.4587,19.5777,16.8439,0.3092
2026-09-04,15:29,BSE,16.2523,17.4516,19.422,21.32,5.0677
2026-09-04,15:29,BSHSL,0.0007,0.0007,0.0007,0.0007,0
2026-09-04,15:29,BSOFT,11.2559,10.9142,13.6461,12.7829,1.527
2026-09-04,15:29,BURNPUR,0,0,0,0,0
2026-09-04,15:29,BVCL,0,0,0,0,0
2026-09-04,15:29,BYKE,2.1449,2.2251,2.6037,2.1536,0.0087
2026-09-04,15:29,CALSOFT,0,0,0,0.0332,0.0332
2026-09-04,15:29,CAMPUS,5.9904,6.1464,6.0692,6.0309,0.0405
2026-09-04,15:29,CANBK,11.8974,14.6152,14.2413,12.6822,0.7848
2026-09-04,15:29,CANFINHOME,12.5181,13.2447,13.3684,13.2272,0.7091
2026-09-04,15:29,CAPACITE,13.9461,14.0906,14.9559,14.1641,0.218
2026-09-04,15:29,CAPILLARY,0,21.4787,20.9591,20.8523,20.8523
2026-09-04,15:29,CAPTRUST,0,0,0,0,0
2026-09-04,15:29,CARBORUNIV,10.8766,10.9796,10.7322,11.1317,0.2551
2026-09-04,15:29,CARYSIL,1.519,1.5485,1.5929,1.6331,0.1141
2026-09-04,15:29,CCAVENUE,5.9184,5.6659,5.7463,5.9226,0.0042
2026-09-04,15:29,CCL,10.6468,10.5292,11.0112,12.0713,1.4245
2026-09-04,15:29,CEIGALL,2.4848,2.8986,3.1353,3.8788,1.394
2026-09-04,15:29,CENTEXT,0.161,0.275,0.1392,0.1782,0.0172
2026-09-04,15:29,CENTRALBK,0.8718,0.844,0.7499,0.9302,0.0584
2026-09-04,15:29,CENTUM,2.857,2.3927,2.368,3.3058,0.4488
2026-09-04,15:29,CESC,11.1548,11.9484,11.6792,11.5373,0.3825
2026-09-04,15:29,CEWATER,15.0827,15.0678,14.3849,15.4068,0.3241
2026-09-04,15:29,CGCL,4.8254,4.5035,5.622,8.2076,3.3822
