Date,Symbol,Changeinpercentage
2026-09-11 15:29,SANSTAR,2.9335
2026-09-11 15:29,MENNPIS,2.9316
2026-09-11 15:29,BLISSGVS,2.9267
2026-09-11 15:29,CINELINE,2.9173
2026-09-11 15:29,BLUESTARCO,2.9062
2026-09-11 15:29,SINGERIND,2.8911
2026-09-11 15:29,LXCHEM,2.8893
2026-09-11 15:29,BROOKS,2.8818
2026-09-11 15:29,GUJAPOLLO,2.8816
2026-09-11 15:29,ZFSTEERING,2.8719
2026-09-11 15:29,SAFARI,2.8703
2026-09-11 15:29,SILINV,2.8381
2026-09-11 15:29,CORDSCABLE,2.8367
2026-09-11 15:29,CNL,2.8169
2026-09-11 15:29,FISCHER,2.7794
2026-09-11 15:29,TOKYOPLAST,2.7731
2026-09-11 15:29,CONTROLPR,2.7489
2026-09-11 15:29,A2ZINFRA,2.748
2026-09-11 15:29,SOTL,2.7471
2026-09-11 15:29,LLOYDSENGG,2.7436
2026-09-11 15:29,MOMSBELIEF,2.7355
2026-09-11 15:29,JAMNAAUTO,2.7302
2026-09-11 15:29,AZAD,2.7258
2026-09-11 15:29,KIRIINDUS,2.7241
2026-09-11 15:29,BNALTD,2.718
2026-09-11 15:29,MOOILGAS,2.7174
2026-09-11 15:29,GENESYS,2.7163
2026-09-11 15:29,GLOBAL,2.7112
2026-09-11 15:29,ARSHIYA,2.7027
2026-09-11 15:29,SHREERAMA,2.7027
2026-09-11 15:29,ARROWGREEN,2.6904
2026-09-11 15:29,SCHNEIDER,2.6864
2026-09-11 15:29,VOLTAMP,2.6822
2026-09-11 15:29,UNIMECH,2.672
2026-09-11 15:29,JBMA,2.6562
2026-09-11 15:29,LUMAXTECH,2.6305
2026-09-11 15:29,MWL,2.6289
2026-09-11 15:29,DSSL,2.6061
2026-09-11 15:29,ANGELONE,2.59
2026-09-11 15:29,KAMANWALA,2.5852
2026-09-11 15:29,YUKEN,2.5836
2026-09-11 15:29,KHAICHEM,2.5626
2026-09-11 15:29,63MOONS,2.5441
2026-09-11 15:29,RUBICON,2.5363
2026-09-11 15:29,ONELIFECAP,2.5352
2026-09-11 15:29,MANAKSTEEL,2.5215
2026-09-11 15:29,MARINE,2.5193
2026-09-11 15:29,MODTHREAD,2.5184
2026-09-11 15:29,PKTEA,2.5178
2026-09-11 15:29,SAYAJIIND,2.5088
2026-09-11 15:29,HATSUN,2.5031
2026-09-11 15:29,VALIANTLAB,2.492
2026-09-11 15:29,RISHABH,2.4767
2026-09-11 15:29,HALDYNGL,2.4757
2026-09-11 15:29,QUINT,2.4726
2026-09-11 15:29,HTMEDIA,2.4671
2026-09-11 15:29,RUDRA,2.45
2026-09-11 15:29,SWANDEF,2.4448
2026-09-11 15:29,NTCIND,2.4374
2026-09-11 15:29,JNPR,2.432
2026-09-11 15:29,HBESD,2.4277
2026-09-11 15:29,NEPHROPLUS,2.4222
2026-09-11 15:29,SAMBHAAV,2.4055
2026-09-11 15:29,LEAPIND,2.3978
