Date,Breakouts,Breakdowns,Up close %,Down close %,New 52-wk high,New 52-wk low,Net nh-nl,15% 52wh,15% 52wl,Net 15% h-l,30% 52wh,30% 52 wl,Net 30% h-l
2026-05-25,27.3743,7.4345,42.8571,38.1503,3.223,0.3868,2.8363,20.2407,12.5483,7.6923,46.9703,41.0829,5.8874
2026-05-22,16.7675,9.5506,34.5361,36.1991,2.4633,0.3457,2.1175,18.7554,14.3475,4.408,45.376,43.5177,1.8583
2026-05-21,24.4166,6.5687,31.8584,35.5263,2.809,0.3457,2.4633,18.3665,14.3475,4.019,45.0303,42.6102,2.4201
2026-05-20,16.5875,10.1944,38.0208,27.5424,1.7711,0.6048,1.1663,17.4514,15.2916,2.1598,44.1469,44.0605,0.0864
2026-05-19,27.3002,7.0842,32.7532,32.3171,1.3823,0.3888,0.9935,16.933,14.4276,2.5054,44.1037,44.406,-0.3024
2026-05-18,10.2796,41.6344,38.9121,28.2025,1.1613,1.2903,-0.129,15.6559,16.4301,-0.7742,42.5806,46.0215,-3.4409
2026-05-15,15.162,14.1253,29.0598,41.2844,1.9006,0.4752,1.4255,17.581,13.3477,4.2333,44.9244,42.2462,2.6782
2026-05-14,17.9111,13.7246,31.3253,28.9308,1.899,0.6042,1.2948,18.7743,12.3004,6.4739,45.2741,40.2676,5.0065
2026-05-13,23.5955,11.5817,30.5861,31.7164,1.2532,0.6914,0.5618,18.6258,12.0138,6.6119,45.5056,39.8876,5.618
2026-05-12,8.9062,49.8054,22.8155,65.3646,1.2105,0.5188,0.6917,18.2447,11.9758,6.2689,45.3524,40.6399,4.7125
2026-05-11,13.9175,25.7302,35.1852,39.8998,3.0498,0,3.0498,21.8213,8.5911,13.2302,49.2698,33.0326,16.2371
2026-05-08,19.249,9.3224,40.3587,33.7963,4.7475,0.0863,4.6612,22.8744,6.1286,16.7458,51.8774,29.1757,22.7018
2026-05-07,26.7502,4.7969,48.6268,24.3243,4.7105,0.1296,4.5808,22.7312,5.8341,16.8971,51.8583,29.0838,22.7744
2026-05-06,26.2316,6.9576,48.9292,24.8447,3.4572,0.1729,3.2844,21.2619,6.6119,14.65,50,32.4114,17.5886
2026-05-05,15.3414,8.7727,43.662,32.5123,2.809,0.2161,2.5929,19.7061,8.5998,11.1063,47.9257,36.1711,11.7545
2026-05-04,28.6882,8.3011,41.2294,32.6425,3.6129,0.2151,3.3978,18.7957,8.129,10.6667,48.129,36.043,12.086
2026-04-30,11.1688,12.8571,34.4961,26.5993,1.7316,0.2597,1.4719,17.8788,8.8745,9.0043,45.8009,38.658,7.1429
2026-04-29,18.174,8.7408,31.4286,35.1485,3.1588,0.0865,3.0723,18.3903,8.3946,9.9957,46.9494,37.2566,9.6928
2026-04-28,16.818,8.0415,35.4756,32.2581,3.0264,0.1729,2.8534,18.1582,8.3874,9.7709,46.8655,36.7488,10.1167
2026-04-27,33.4481,6.8446,45.6885,22.6415,2.7981,0.0861,2.712,18.0801,7.4903,10.5898,46.879,36.892,9.9871
2026-04-24,9.3547,23.3867,28.7037,33.1481,1.819,0.1732,1.6457,16.7172,9.7012,7.016,44.5214,41.9662,2.5552
2026-04-23,15.7007,9.6021,38.5675,34.6847,2.2059,0.0865,2.1194,18.1661,7.0502,11.1159,46.5398,37.3702,9.1696
2026-04-22,19.0311,7.699,47.2727,26.4045,2.5087,0.0865,2.4221,18.0363,6.8772,11.1592,47.2751,35.8997,11.3754
2026-04-21,20.6315,6.3581,36.8973,36.7347,2.7682,0.0433,2.7249,17.1713,6.7042,10.4671,46.0208,38.4083,7.6125
2026-04-20,16.3832,15.9803,34.153,31.6527,3.402,0.0895,3.3124,16.6965,8.1916,8.5049,45.9266,41.8532,4.0734
2026-04-17,27.0466,4.161,45.8194,15.2174,3.3017,0.0452,3.2564,16.9607,6.6033,10.3573,47.4446,38.806,8.6386
2026-04-16,23.6997,6.1058,39.5038,20,2.8042,0.0452,2.7589,15.8752,8.3673,7.5079,45.0023,43.1479,1.8544
2026-04-15,52.8481,2.9385,48.8452,27.6923,2.6221,0.0452,2.5769,15.0995,8.8608,6.2387,43.5353,43.3996,0.1356
2026-04-13,15.9694,38.9114,42.5352,10.6358,1.6644,0.2249,1.4395,13.3153,14.0801,-0.7647,40.2159,51.462,-11.2461
2026-04-10,37.2682,3.166,46.2379,17.1429,1.4021,0.0905,1.3116,13.2972,12.9353,0.3618,40.7508,51.1081,-10.3573
2026-04-09,20.5869,8.623,36.4035,28.2723,1.219,0.0903,1.1287,11.9187,17.3815,-5.4628,38.0135,56.8397,-18.8262
2026-04-08,80.4426,3.3875,63.6159,25.3333,1.2195,0.1807,1.0388,11.5628,16.9377,-5.3749,37.6242,58.4463,-20.822
2026-04-07,23.7923,5.0113,44.7818,26.1261,0.5418,0.4515,0.0903,8.4876,33.3183,-24.8307,31.8736,65.2822,-33.4086
2026-04-06,31.7732,7.3357,50.7082,15.9509,0.6301,0.9451,-0.315,8.6409,37.4887,-28.8479,30.7831,67.1467,-36.3636
2026-04-02,24.4013,38.2738,55.3704,4.9587,0.3163,2.892,-2.5757,7.8626,44.8712,-37.0086,28.3326,69.9051,-41.5725
2026-04-01,86.1023,2.5804,75.0263,28.0702,0.5432,2.0824,-1.5392,7.5147,51.2902,-43.7755,28.1123,71.1634,-43.0512
2026-03-30,11.9982,67.0726,18.4211,71.7552,0.3157,39.0167,-38.7009,5.8187,63.0582,-57.2395,24.0415,74.5151,-50.4736
2026-03-27,9.6599,62.3583,21.5962,67.3455,0.2268,23.6735,-23.4467,6.5306,60.1814,-53.6508,27.0295,72.4717,-45.4422
2026-03-25,52.2686,6.1252,27.4306,31.8519,0.4083,3.4936,-3.0853,8.6661,55.5354,-46.8693,30.2632,70.9165,-40.6534
2026-03-24,52.2015,8.67,34.087,32.4607,0.1816,12.6192,-12.4376,6.4004,58.3296,-51.9292,27.9619,72.3105,-44.3486
2026-03-23,5.4702,79.9729,16.5289,72.866,0.2712,30.9222,-30.651,5.3345,61.0759,-55.7414,25.0452,73.5986,-48.5533
2026-03-20,28.9414,6.8605,24.3328,33.7748,0.4089,6.5879,-6.179,7.8146,54.4298,-46.6152,30.7133,70.1954,-39.4821
2026-03-19,6.7666,42.5068,24.1611,53.312,0.1817,8.9464,-8.7648,7.0845,55.5404,-48.4559,30.0182,70.2543,-40.2361
2026-03-18,45.9545,4.2273,45.4995,24.7312,0.2727,2.8636,-2.5909,9.2727,50.9545,-41.6818,33.5,68.2273,-34.7273
2026-03-17,23.1924,8.9586,31.1765,31.9797,0.3638,9.8226,-9.4588,8.0491,56.0709,-48.0218,30.4229,70.2592,-39.8363
2026-03-16,13.2579,35.1584,25.256,31.0167,0.362,24.4796,-24.1176,7.5566,56.1538,-48.5973,29.4118,71.0407,-41.629
2026-03-13,7.5909,47.8182,21.5569,56.1787,0.4091,15,-14.5909,7.0909,54.7727,-47.6818,30.6818,69.8182,-39.1364
2026-03-12,14.5587,17.2429,33.4375,24.0106,0.6824,9.1902,-8.5077,9.9636,51.9108,-41.9472,34.2129,68.1074,-33.8944
2026-03-11,22.5557,10.0955,27.0161,37.3874,0.7731,3.2287,-2.4557,10.1864,50.3411,-40.1546,34.9704,66.7576,-31.7872
2026-03-10,40.0364,5.1865,46.25,28.9474,0.6824,4.1856,-3.5032,10.919,50.2275,-39.3085,35.6233,65.9691,-30.3458
2026-03-09,7.7063,69.9003,28.8235,32.3606,0.3626,25.0227,-24.66,8.9755,53.2638,-44.2883,32.9556,67.9057,-34.9501
2026-03-06,16.3024,10.2004,29.6089,37.5,0.8197,5.51,-4.6903,10.929,49.8179,-38.8889,35.9745,65.255,-29.2805
2026-03-05,28.4738,8.1093,31.52,24.1573,0.6834,9.4305,-8.7472,11.4351,48.9294,-37.4943,36.9932,64.738,-27.7449
2026-03-04,10.5191,48.0874,31.1688,41.6667,0.2732,19.2168,-18.9435,10.0638,51.0929,-41.0291,35.929,66.2113,-30.2823
2026-03-02,6.5819,74.7163,26.2069,31.9563,0.7263,20.8806,-20.1543,12.3922,48.5247,-36.1325,37.7213,63.9582,-26.2369
2026-02-27,11.5472,13.5555,29.6443,40.404,1.4605,8.0785,-6.618,14.9703,44.5915,-29.6212,40.8489,61.6613,-20.8124
2026-02-26,17.0242,7.3482,29.4906,28.5714,1.7344,5.2487,-3.5144,15.9744,43.3136,-27.3391,42.0812,61.068,-18.9868
2026-02-25,15.2511,10,29.6407,38.3562,2.0091,7.5799,-5.5708,15.3881,43.3333,-27.9452,42.0548,61.7352,-19.6804
2026-02-24,8.3638,19.6984,21.8579,38.051,1.1883,9.1408,-7.9525,14.7623,42.8702,-28.1079,42.2761,62.1115,-19.8355
2026-02-23,15.9691,10.919,23.3618,42.9167,2.0928,4.5951,-2.5023,15.3776,40.8098,-25.4322,44.222,60.737,-16.515
2026-02-20,11.3242,9.0868,32.6613,30.1508,1.0046,4.4749,-3.4703,15.2968,40.1826,-24.8858,44.1553,60.411,-16.2557
2026-02-19,9.3236,14.8995,29.902,37.4233,1.3254,3.2907,-1.9653,15.128,39.6252,-24.4973,44.287,60.5576,-16.2706
2026-02-18,16.278,5.5327,30.3371,38.843,1.4632,1.6918,-0.2286,16.6895,36.9456,-20.2561,45.9534,59.0306,-13.0773
2026-02-17,20.0366,6.1757,37.8995,34.0741,1.4639,2.0586,-0.5947,16.3769,36.505,-20.1281,45.1052,59.5151,-14.4099
2026-02-16,13.4975,19.2886,27.3649,43.7352,1.1856,4.6512,-3.4656,15.4583,38.3037,-22.8454,44.0948,60.6475,-16.5527
2026-02-13,8.7993,25.2521,31.7708,42.8312,0.9166,4.2621,-3.3456,15.4904,35.5637,-20.0733,44.4546,60.0367,-15.582
2026-02-12,12.7406,15.3071,34.8921,44.012,1.9707,2.0165,-0.0458,16.9111,31.5765,-14.6654,47.0211,58.4326,-11.4115
2026-02-11,15.2612,13.1531,41.4414,35.1916,1.8332,0.9166,0.9166,17.5069,29.2851,-11.7782,47.4335,57.7452,-10.3116
2026-02-10,23.9908,7.1101,39.9618,38.0645,2.0183,0.367,1.6514,17.5229,27.9358,-10.4128,47.9817,57.6147,-9.633
2026-02-09,43.3531,6.8068,53.53,24.8322,1.9187,1.2791,0.6396,16.6743,30.2421,-13.5678,46.5053,58.9767,-12.4714
2026-02-06,12.3225,15.2084,38.6617,31.3253,0.7329,2.1072,-1.3743,14.9336,37.9753,-23.0417,42.2813,62.0705,-19.7893
2026-02-05,13.6572,15.7654,34.5638,35.4651,0.8708,1.5124,-0.6416,15.0779,36.6636,-21.5857,42.9881,61.4574,-18.4693
2026-02-04,29.1342,9.0243,49.3711,33.5025,1.0078,1.3743,-0.3665,15.3917,35.5932,-20.2016,44.5717,60.5131,-15.9414
